документ	dokument
посылается после	po
пристутствует в	pristutstvuet v
разработан для	navržen pro
происходит в	se vyskytuje v
посылается до	je odeslán
подписывает	známky
требует	vyžaduje
вебмастер	webmaster
конференц-зал	Konferenční sál
регистрация sigkdd членов	registrace členství v sigkdd
награда	Ocenění
платиновый спонсор	Platinový sponzor
награда за лучшую научную статью	Ocenění za nejlepší výzkum papír
регистрация не членов	registrace členů
последний срок уведомления авторов	konečný termín pro oznámení autorů
автор статьи студент	Autor článku student
программный председатель	Program křeslo
награда за лучшую студенческую статью	Ocenění za nejlepší studentský časopis
программный комитет	Programový výbor
комитет по наградам за лучшую статью	Výbor pro ocenění za nejlepší článek
бронзовый спонсор	Bronzový sponzor
регистация студентов	registrace studentů
член организационного комитета	Člen organizačního výboru
регистрация sigmod членов	registrace členů sigmod
последний срок подачи статей	konečný termín pro podání článků
acm sigkdd	ACM sigkdd
награда за лучшую прикладную статью	Ocenění za nejlepší aplikované článek
спонсорский взнос	sponzorství poplatek
последний срок подачи аннотаций	konečný termín pro předložení přehledů
спонсор награды за лучшую студенческую статью	sponzor ocenění za nejlepší studentský časopis
золотой спонсор	Zlatý sponzor
серебрянный спонсор	Stříbrný sponzor
комитет	Výbor
гостиница	Hotel
экспонент	Vystavovatel
национальность	státní příslušnost
цена	cena
отправить до	Odeslat do
оплачивается	je vyplácena
начало конференции	začátek konference
кем разработан	kdo navrhl
название конференции	Název konference
окончание конференции	konec konference
имя спонсора	jméno sponzora
поиск	Hledat
отправить	Odeslat
кем найден	někdo našel
уведомляет до	oznámí
кем награждён	kdo získal
поддерживается	podporováno
платит	platí
может остановиться в	mohou zůstat v
поддерживает	podporuje
презентуется	je prezentována
дизайн	návrh
hiker	tramp
