onderwerp	topic
teruggetrokken artikel	withdrawn article
artikel presentatie	Article presentation
accomodatie plaats	accommodation place
oproep recensies	call reviews
actief artikel	Active article
persoonlijke historie	personal history
uitgegeven artikel	published article
organisatievergadering	Organization meeting
presentator	Presenter
microelectronica onderwerp	Microelectronics, subject
nog onbeslist artikel	still undecided article
pauze gebeurtenis	pause event
afgewezen artikel	rejected article
welkomstlezing	Welcome reading
vergaderruimte plaats	meeting rooms place
academische gebeurtenis	academic event
medicijnen onderwerp	medications topic
eetpauze	the trip there
programmacommisielid	programmacommisielid
diner plaats	dinner place
electriciteitsoverdracht over lijnen onderwerp	electriciteitsoverdracht about subject lines
geaccepteerd artikel	accepted article
conferentieoord plaats	Conference Center place
satelliet- en ruimtecommunicatie onderwerp	satellite and space communication topic
lezing gebeurtenis	reading event
besturingssystemen onderwerp	operating systems topic
contact informatie	contact information
slides	slides
eet gebeurtenis	eat event
sessievoorzitter	session President
recensieformulier	review form
oproep	call
academische organisatie	academic organisation
conferentie met één recensie laag	Conference with one review layer
cryptografie onderwerp	Cryptography subject
computer netwerken applicaties onderwerp	computer networking applications topic
afwijzingswaardering	rejection rating
multimedia onderwerp	multimedia topic
computer netwerken schakelen onderwerp	computer networks turn off topic
mobiele berekening onderwerp	Mobile computation topic
reistoelage	travel allowance
prestatie onderwerp	performance topic
parallelle en gedistribuëerde berekening onderwerp	parallel calculation and gedistribuëerde topic
sponsoring	sponsorship
programma	program
accepteer als kamerwaardering	accept as room rating
computer netwerken onderwerp	computer networking topic
signaalverwerking onderwerp	signal processing subject
koffiepauze	coffee break
conferentie gebeurtenis	Conference event
cad onderwerp	cad topic
alleen testen onderwerp	only test subject
excursie	excursion
hoort bij gebeurtenis	belongs to event
is menu van	is menu of
gerelateerd aan	related to
gerelateerd aan gebeurtenis	related to event
is gerecenseerd door	is comment from
heeft gerelateerd artikel	has related article
heeft oproep	has call
is recensiehistorie van	is review of history
geleverd door	delivered by
begint	begins
wordt begonnen door	is started by
heeft menu	has menu
heeft deelnemer	participant has
gerelateerd tot artikel	related to article
heeft gerelateerd document	has related document
heeft waardering	appreciates
is aan het recenseren	the review is to
is lid van	is a member of
is plaats van	is location of
heeft programma	has program
heeft recensiegeschiedenis	has review history
is gescheven door	is written by
is onderwerp van	is the subject of
voor gebeurtenis	for event
is leverancier van	is a supplier of
deelnemer van	participant of
begindatum	start date
heeft naam	has name
heeft submissie instructies	has submission instructions
heeft submissie deadline	has submission deadline
heeft biografie	has biography
manuscript moet klaar zijn op	manuscript must be ready on
heeft kosten som	has cost sum
heeft begindatum/tijd	has start date/time
einddatum	end date
artikel moet klaar zijn op	article should be ready on
heeft plaats	has place
heeft lid	has Member
heeft einddatum/tijd	has end date/time
registratie moet klaar zijn op	registration must be ready on
heeft kosten munteenheid	has cost currency
pamflet	pamphlet
conferentie banket	Conference banquet
onderzoeksinstelling	research institution
beoordeeld artikel	reviewed article
industrie sessie	industry session
(bijgedragen) lezing	(contributed) reading
staf van instelling	staff of setting
voorzitter snelcursus	President crash course
programma brochure	programme brochure
organiserende instelling	organising institution
toegewezen artikel	assigned item
workshop sessie	workshop session
drukklaar artikel	ready-to-print article
snelcursus abstract	crash course in abstract
poster artikel	poster article
lid organisatiecommissie	Member Organization Commission
artikel auteur	article author
wetenschappelijk artikel	scientific article
voorzitter sessie	President session
bundel	bundle
poster sessie	poster session
workshop artikel	workshop article
onderzoeksonderwerp	research topic
demonstratie sessie	demonstration session
vroeg geregistreerde deelnemer	early registered participant
gewoon artikel	just article
dokument	dokument
positieve recensie	positive review
industriëel artikel	industrial article
lezing abstract	reading abstract
voorzitter workshop	President workshop
deel met meerdere autheurs	share with multiple authors
voorzitter demonstraties	President demonstrations
laat geregistreerde deelnemer	Let registered participant
sessie	session
demonstratie artikel	Demo part
conferentie reis	Conference travel
ingediend artikel	submitted article
gast spreker	guest speaker
lid stuurgroep	Member of the Steering Group
lezing	reading
negatieve recensie	negative review
wetenschappelijke gebeurtenis	scientific event
uitgever conferentiebundel	Publisher Conference bundle
neutrale recensie	neutral review
voorzitter organisatiecommissie	President organizing Committee
individuele presentatie	individual presentation
website	website
gewone sessie	ordinary session
mogelijke recensent	possible reviewer
academische instelling	academic institution
presentatie van artikel	presentation of article
deel bevat artikel	part contains article
bevat gebeurtenis	contains event
geciteerd door	quoted by
heeft gebeurtenis	has event
organiseert (technisch)	organizes (technical)
gehouden in	held in
georganiseerd door	organized by
technische organisatie door	technical organization by
uitgever van	Publisher of
gebeurtenis op lijst	event on list
organiseert	organizes
artikel in deel	article in part
heeft deel	has part
inverse van deel van 7	inverse of part of 7
organiseert (wetenschappelijk)	organizes (scientific)
heeft recensent	has reviewed
recensie geschreven door	review written by
heeft bijgewerkte versie	has updated version
recensent van artikel	Reviewer of article
plaats van	place of
heeft recensie	has review
onderwerp behandeld door	subject handled by
bijgewerkte versie van	updated version of
gaat over	is about
recensie van artikel	review of article
citaties	citations
deel van	part of
artikel gepresenteerd als	article presented as
wetenschappelijke organisatie door	Scientific Organization by
onderdeel van gebeurtenis	part of event
auteur van	author of
beamer	beamer
conferentie activiteit	Conference activity
conferentie restaurant	Conference restaurant
audiovisuele uitrusting	audiovisual equipment
registratiekosten student	student registration fee
iasted lid	iasted Member
cheque	cheque
video presentatie	video presentation
computer	computer
coctail receptie	coctail reception
simuleren	simulate
reisdag	travel day
bewijs van aanwezigheid	proof of presence
betalingsdocument	payment document
activiteit voor de conferentie	activity for the Conference
hotel presentator	hotel presenter
registratiekosten niet-lid	non-member registration fee
eendaags presentator	one-day presenter
een conferentie dag	a conference day
snelcursus spreker	crash course in speaker
iasted niet-lid	iasted non-member
kosten voor extra reis	cost for extra travel
toehoorder	listener
conferentiebundel cd	Conference cd bundle
tijd	time
publicatie	publication
arbeider niet-spreker	worker not-speaker
hotel informatie formulier	hotel enquiry form
transparant	transparent
transport voertuig	transport vehicle
korte inleiding voorzitter	brief introduction President
sponsor	sponsor
powerpoint presentatie	power point presentation
geld	money
kosten	cost
technisch committee	technical committee
conferentie stad	Conference city
auto	car
videospeler	video player
arbeider lector	worker lector
manuscript accepteren	accept script
inleiding	introduction
staat	State
manuscript afwijzen	manuscript rejection
tweepersoonskamer	Double room
technische activiteit	technical activity
lector	lector
sponsor staat	sponsor State
presentator universiteit	Presenter University
conferentiebundel boek	Conference book bundle
sponsor bedrijf huis	sponsor company home
deadline hotel reservering	deadline hotel booking
vertrek	departure
huren	hire
pendelbus	shuttle bus
presentator stad	host city
hotelkamer	hotel room
registratiekosten niet-auteur	registration fees are non-author
inschrijving	registration
overschrijving	Bank transfer
busje	Van
conferentie dagen	Conference days
registratiekosten lid	Member registration fee
registratiekosten aanwezige auteur boek	author book present registration fee
plenaire lezing	plenary lecture
onderzoek	Research
deadline	deadline
sessie kamer	session room
taxi	taxi
student lector	student lector
sociaal programma	social program
conferentie vliegveld	Conference Airport
spreker voorstellen	speaker proposals
registratie deadline	registration deadline
manuscript ontvangen	manuscript received
kaart	map
definitief manuscript	final manuscript
dagvullende rondleiding	one day tour
modelleren	modeling
gebouw	building
auteur conferentiebundel cd inbegrepen	author Conference bundle cd included
student niet-spreker	student non-speaker
hoofdkantoor	Head Office
conferentiezaal	Conference room
onderdeel	part
eenpersoonskamer	single room
presentator huis	Presenter home
activiteit	activity
submissie	submission
recencent	Amazon reviewer
conferentie hotel	Conference hotel
reis stad	travel city
spreker lezing	speaker reading
auteur informatie formulier	author information form
activiteit na de conferentie	activity after the Conference
belasting	tax
afgevaardigde	delegate
munteenheid	currency
sponsor stad	sponsor town
formulier	form
overhead projector	overhead projector
creditcard	credit card
niet-spreker	non-speaker
registratieformulier	registration form
deadline aankondiging acceptatie	acceptance deadline announcement
hotel kosten	hotel costs
toegevoegde waarde belasting	value added tax
welkomsttoespraak	welcome speech
conferentie wandelaar	Conference Walker
fooi	Tip
auteur conferentiebundel boek inbegrepen	author Conference book bundle included
conferentie staat	Conference State
algemene lezing spreker	General Lecture speaker
submissie deadline	submission deadline
presentator staat	Presenter is
email lijst	email list
registratiekosten aanwezige auteur cd	author registration fee, using existing cd
visum	Visa
spreker	speaker
conferentie gebouw	Conference building
vertrekbelasting	departure tax
eerste manuscript	first manuscript
deadline drukklaar manuscript	ready-to-print manuscript deadline
tijdzone	time zone
registratiekosten	registration fees
uitnodigingsbrief	invitation letter
is voorzien van	features
krijgen	get
is ontworpen voor	is designed for
is verbonden met	is connected to
wordt betaald met	is paid with
doorgaan	continue
wordt gebruikt door	is used by
schrijven	To write
voorbereiden	preparing
tekenen	signs
is gelegen in	is located in
is getekend door	has been signed by
is aanwezig	is present
wordt betaald voor	is paid for
is geschreven door	is written by
spreken in	speaking in
wordt bezet door	is occupied by
wordt gebruikt voor	is used for
bezetten	occupy
wordt gehouden in	is held in
is aanwezig bij	is present at
wordt gehouden na	is held after
wordt bezocht door	is visited by
betalen	charged
wordt betaald door	is paid by
wordt verzonden voor	is sent for
wordt gehouden voor	is held for
wordt voorbereid door	is prepared by
wordt gegeven aan	is given to
is nodig voor	is needed for
geven	give
wordt verzonden door	is sent by
verzenden	send
nodig hebben	need
is gemaakt van	is made of
klaar tot	ready to
wordt betaald in	is paid in
wordt verzonden na	is sent after
is gedateerd	is dated
heeft bedrag	has amount
deadline inlichting auteur	deadline information author
prijs best studenten artikel	price best student article
registratie geen lid	registration is not a Member
bedrag	amount
registratie sigkdd lid	sigkdd Member registration
platina sponsor	Platinum sponsor
deadline indiening artikel	article submission deadline
prijs best toegepast artikel	price best applied article
best studenten artikel sponsor	best student article sponsor
programmaccommissie	programmaccommissie
prijs best onderzoeksartikel	price best research paper
deadline indiening abstract	deadline abstract submission
prijs	price
auteur van studenten artikel	author of students article
zilver sponsor	Silver sponsor
registratie sigmod lid	sigmod Member registration
auteur van artikel	author of article
best artikel prijzencommissie	best article Awards Committee
sponsorbijdrage	sponsorship
algemeen voorzitter	General President
webmaster	webmaster
acm sigkdd	acm sigkdd
registratie studenten	registration students
brons sponsor	Bronze sponsor
hotel	hotel
tentoonsteller	Exhibitor
goud sponsor	Gold sponsor
betaalmiddel	method of payment
naam van sponsor	name of sponsor
naam van conferentie	name of Conference
stad van conferentie	City of Conference
einde van conferentie	end of Conference
toegekend door	awarded by
indienen tot	submitting to
ontworpen door	designed by
mag verblijven in	is allowed to stay in
verkrijgen	getting
inlichting tot	information to
betaald door	paid by
ontwerp	design
gepresenteerd door	presented by
indienen	submitting
gehouden door	held by
houdt	keeps
gezocht door	wanted by
zoeken	Search
begin van conferentie	start of Conference
belangrijke data	important dates
heeft een recentie referentie expertise	has a review reference expertise
heeft een onderwerp een ingediende contributie	has a topic a submitted contribution
stel maximaal aantal artikelen	set maximum number of articles
vul recentie criteria	fill review criteria
dien artikel	submit article
vul conferentie details	complete Conference details
spreken	speak
is gelegen	is located
wordt betaald	is paid
wordt gehouden	is held
mag verblijven	is allowed to stay
