bod	出价
wordt verzonden na	发送后
is gedateerd	被日
heeft bedrag	有量
registratie sigmod lid	会员注册数据
deadline inlichting auteur	截止日期信息的作者
prijs best studenten artikel	价格最好的学生文章
registratie geen lid	登记不是成员
best artikel prijzencommissie	最佳文章奖委员会
auteur van artikel	文章的作者
sponsorbijdrage	赞助
bedrag	金额
algemeen voorzitter	大会主席
registratie sigkdd lid	旗舰会员注册
platina sponsor	白金赞助商
deadline indiening artikel	文章提交截止日期
webmaster	网站管理员
acm sigkdd	acm
prijs best toegepast artikel	价格最好的应用文章
best studenten artikel sponsor	最佳学生条保荐机构
registratie studenten	注册学生
programmaccommissie	programmaccommissie
prijs best onderzoeksartikel	价格最好的研究论文
deadline indiening abstract	摘要提交截止日期
brons sponsor	铜牌赞助商
prijs	价格：
hotel	酒店
tentoonsteller	参展商
goud sponsor	黄金赞助商
auteur van studenten artikel	学生篇文章的作者
zilver sponsor	银牌赞助商
betaalmiddel	付款方法
naam van sponsor	赞助商的名称
naam van conferentie	会议的名称
stad van conferentie	城的会议
einde van conferentie	会议结束
toegekend door	被授予
indienen tot	提交
ontworpen door	由设计
mag verblijven in	被允许呆在
verkrijgen	获取
inlichting tot	到信息
betaald door	由支付
ontwerp	设计
gepresenteerd door	提出了一种由
indienen	提交
gehouden door	通过举行
houdt	保持
gezocht door	被通缉
zoeken	搜索
begin van conferentie	会议的开始
heeft een recentie referentie expertise	已审查参考专业知识
heeft een onderwerp een ingediende contributie	有一个主题提交的贡献
stel maximaal aantal artikelen	设置文章的最大数目
vul recentie criteria	填充审查标准
dien artikel	提交文章
vul conferentie details	完整的会议详细信息
spreken	发言
is gelegen	位于
wordt betaald	支付
wordt gehouden	是举行
mag verblijven	获准逗留
