偏爱	Präferenz
出版商	Verlage
会议征稿通知	Conference Call for papers
长摘要	Lange Zusammenfassung
书面投稿	Schriftliche Vorlage
会议费用	Konferenzkosten
晚付费申请人	Verspätete Zahlung der Antragsteller
投稿合作作者	Vorlage Autoren
海报	Poster
付费申请人	An die Klägerin gezahlt
征集参与者通知	Erfassung Teilnehmer Benachrichtigung
拒收稿件	Abgelehnte Manuskripte
轨道	Spuren
会议通知	Konferenz-und Datenschutz
委员会成员	Die Mitglieder des Ausschusses
重要日期	Wichtige Termine
照相制版稿件	Fotogravur-Manuskripte
组委会	Das Organisationskomitee
有一个卷册	Es ist ein volume
有一个电子邮箱	Haben Sie ein elektronisches Postfach
有名	Berühmte
有一个录用通知日期	Es gibt eine Benachrichtigung über die Annahme
有一个照相制版提交日期	Anmeldetag haben eine photomechanischen
有一个发行日题	Habe eine Problem-Datum-problem
有一个名字	Haben Sie einen Namen
有性别	Sex haben
有一个投稿	Haben Sie eine Vorlage
有一个委员会联合主席	Es ist eine Co-Vorsitzender eines Ausschusses
有一个isbn	Es gibt eine ISBN
有一个摘要投稿日期	Einen Termin für Abstracteinreichung
被分配给审稿参考	Manuskript ist der Verweis zugewiesen
有一个研讨会教程主席	Es gibt einen Seminar-Kurs-Vorsitzender
有研讨会	Seminar
有重要日期	Wichtige Termine
有一个结束日期	Es gibt ein Enddatum
有一个地点	Ein Urlaubsziel
有一个全文投稿日期	Eine Volltext-Eingabedatum
有一个网址	Es gibt eine Adresse
有一个度	Es gibt einen Grad
有一个专长	Haben Sie ein Gutachten
有一个开始日期	Es gibt ein Startdatum
有姓	Vorname
是由之作	Von der Arbeit
有一个审稿意见	Es ist eine Peer-review
有一个研讨会教程主题	Ein Tutorial Workshop-Themen
是会议卷册的一部分	Ist Bestandteil der Tagungsband
曾是一个组织委员会	War früher ein Organisationskomitee
有一个摘要	Gibt es eine Zusammenfassung
有一个程序委员会	Haben ein Programm Komitee
有一个主题或者投稿	Gibt es ein Thema oder einen Beitrag
曾是一个成员	Verwendet, um ein Mitglied sein
曾是一个委员会联合主席	Verwendet, um eine Ko-Vorsitzender eines Ausschusses
有一个指导委员会	Es gibt ein Steering Committee
受邀于	Wurden aufgefordert
有一个审稿参考或者专长	Hatte einen Peer-Verweis oder Know-how zu überprüfen
有一个组织委员会	Ein Organisationskomitee
有成员	Mitglieder
曾是一个指导委员会	Wurde ein Lenkungsausschuss
曾是一个委员会主席	War Vorsitzender des Ausschusses
是投至	In umgewandelt wird
属于审稿人	Gehört zu den Bewertungen
评审	Bewertung
有轨道	Spuren
有教程	Lernprogramm
曾是一个研讨会主席	War Vorsitzender des Seminars
是第一部分	Ist der erste Teil der
有一个审稿专长	Es ist eine Peer-Review-expertise
属于一个会议卷册	Die Zugehörigkeit zu einem Tagungsband
属于一个审稿参考	Unter einen Peer-Review-Verweis
发行	Problem
作报告	Erstellen eines Berichts
曾是一个委员会	Ein Ausschuss wurde
邀请联合审稿人	Laden und der Rezensent im gemischten
有一个委员会主席	Es ist Vorsitzender des Ausschusses
有部分	Einige
有投稿	Vorlage haben
曾是一个程序委员会	Einmal ein Programm Komitee
有一个委员会	Es ist ein Ausschuss
是一个会议部分的主题	Ist ein Teil des Themas der Konferenz
有一个出版商	Ein Verleger
参加者	Teilnehmer
招待会	Rezeption
宴会	Bankett
大学	Universität
标准	Standard
学生	Studenten
审稿活动	Peer-Review-Aktivitäten
成员	Mitglieder
照相制版活动	Fotogravur-Aktivitäten
社交活动	Soziale Aktivitäten
审稿结果活动	Peer-review-Ergebnisse der Tätigkeiten
旅游	Tourismus
公司	Firma
活动	Aktivitäten
城市	Stadt
报名注册活动	Registrierung-Aktivitäten
科学工作者	Wissenschaftliche Mitarbeiterin
管理活动	Management-Aktivitäten
助理	Assistent
学者	Gelehrte
志愿者	Freiwillige
短论文	Die kurzen Aufsatz
国家	National
投稿活动	Beitrag-Aktivitäten
工作活动	Tätigkeiten
开始于	Beginnt mit
最少选项	Minimale Optionen
有传真号码	Fax-Nummer
有国家	National
处理	Verarbeitung
有关键词	Schlüsselwörter
有街道名	Straßennamen
平行于	Parallel zu den
有管理活动	Management-Aktivitäten
审稿	Gutachter
撰写	Schrieb
专家于	Experten in
受雇于	Beschäftigte der
就学于	Studium an der
联系电子信箱	Kontakt e-Mail-Adresse
备注	Notizen
有电话号码	Gibt es eine Reihe
有增值税	Mehrwertsteuer
最多选项	Die meisten Optionen
有标题	Hat einen Titel
有邮编	PLZ
提前注册	Melden Sie sich im voraus
有简略标题	Einen kurzen Titel
有主页	Homepage
结束于	Endet am
场所	Ort
有电子信箱	E-Mail
缺省项目	Standardprojekt
紧接着	Kurz danach
有主题	Thema
有城市	Stadt
操作系统主题	Betriebssystem-Themen
自由活动	Kostenlose Aktivitäten
计算机网络度量主题	Messung Netzwerkthemen
活跃论文	Aktive Artikel
拒收级别	Ablehnung-Ebene
无线通信主题	Drahtlose Kommunikation Themen
接受级别	Akzeptables Niveau
幻灯片集	Foliensatz
住宿地点	Unterkünfte
论文报告	Papier-Präsentationen
光学计算机网络主题	Optische Computer Netzwerkthemen
单级会议	Einstufige Konferenz
用餐地点	Restaurants
据用论文	Nach dem Papier
征集手稿通知	Sammlung Manuskript und Datenschutz
参与者主题	Teilnehmer in Themen
学术组织	Wissenschaftlichen Vereinigungen
酒会	Cocktail-Empfang
被评价论文	Bewertung Aufsatz
学术活动	Akademische Aktivitäten
通信主题	Kommunikation-Themen
并行和分布式计算主题	Parallele und verteilte IT-Themen
信号处理主题	Signal-Verarbeitung-Themen
性能主题	Leistung Themen
计算机网络应用主题	Netzwerk-Anwendungen-Themen
计算机网络安全主题	Computer-Netzwerk-Security-Themen
用餐休息	Mahlzeit-Pause
会场	Der Veranstaltungsort
个人发表历史	Persönliche Geschichte
参与者	Teilnehmer
未决定论文	Ausstehende Papiere
结束报告	Ende des Berichts
文本审稿问题	Manuskript-Text-problem
计算机网络传感器主题	Netzwerk Sensoren Thema
加密主题	Themen zu verschlüsseln
测试主题	Testthema
联系信息	Kontaktinformationen
卫星和空间通信主题	Raum und Satelliten-Kommunikation-Thema
会间休息	Sitzung Pause
会议晚宴	Konferenz-dinner
数字化审稿问题	Digitalisierte Handschrift Probleme
两级会议	Zwei Ebenen treffen
通信理论主题	Gegenstand der Kommunikationstheorien
欢迎报告	Begrüßt den Bericht
撤回的论文	Zurückziehen Papiere
审稿级别	Peer-Review-Ebene
会议分场会议	Konferenz-Breakout-sessions
计算机网络企业主题	Netzwerk Enterprise theme
非政府组织	Nicht-Regierungs-Organisationen
计算机网络主题	Themen der Computer-Netzwerke
程序	Programm
审稿问题	Peer-Review-Fragen
计算机网络交换机主题	Computer-Netzwerk-switches-Themen
cad主题	CAD-Design
报告活动	Bericht über Aktivitäten
计算机网络管理主题	Computer-Netzwerk-Management-Themen
工业组织	Industrieorganisationen
安全性主题	Sicherheitsthemen
地点	Lage
报告人	Lautsprecher
个人审稿历史	Persönliche Bewertung Geschichte
个人历史	Persönliche Geschichte
无线电通信主题	Radio-Themen
组织会议	Organisatorische Sitzung
分场会议主席	Vorsitzender des Breakout-sessions
审稿表格	Peer-Review-Formular
休息活动	Rest-Aktivität
密码学微电子主题	Kryptographie-Mikroelektronik-Themen
旅行补助	Reisestipendien
医学主题	Medizinische Themen
通知	Benachrichtigung
餐饮场所	Restaurants
非学术会议	Nicht-akademischen Konferenzen
可接受级别	Akzeptables Niveau
出版的论文	Erschienenen Papiere
城府组织	Geheime Organisationen
电力线传输主题	Power Line Übertragung Thema
用餐活动	Restaurants Veranstaltungen
征集审稿人通知	Aufruf für Bearbeiter informieren
会议主席	Präsidentin der Konferenz
会议活动	Konferenzaktivitäten
游览	Tour
技术程序委员会	Technische Programme Committee
计算机体系结构主题	Computer-Architektur-Themen
菜单	Menü
弱拒收级别	Geringe Ablehnung Ebene
多媒体主题	Multimedia-Thema
赞助	Sponsoring
移动计算主题	Mobile computing Themen
有花费数目	Habe
注册到期	Anmeldung ist abgelaufen
有截稿日期	Unter einer Frist
结束日期	End-Datum
有投稿指示	Vorlage Anweisungen
是菜单	Ist das Menü
论文到期	Papiere fällig
有名称	Haben Sie einen Namen
手稿到期	Manuskript aufgrund
有电话	Habe ein Telefon
有开始日期时间	Start DatumUhrzeit
有传记	Biografie
开始日期	Startdatum
有结束日期时间	Ende Datum/Uhrzeit
有电子邮箱	Elektronisches Postfach
有花费货币	Ausgegebene Geld
是成员	Ist Mitglied von
是之审稿历史	Ist die Manuskript-Geschichte
被提供	Werden angeboten
启动	Start
有通知	Und Datenschutz
有菜单	Mit Menü
有程序	Hat das Programm
被启动于	Wurde ins Leben gerufen
有相关文件	Zugehörige Dateien
属于活动	Mit dem aktiven
相关活动	Damit verbundene Tätigkeiten
撰写自	Selbst zu schreiben
是主题	Ist das Thema
为活动	Für die aktive
有相关论文	In Verbindung stehende Artikel
相关	Im Zusammenhang mit
相关论文	Entsprechenden Papiere
出席	Zu besuchen
被审稿于	Peer-Review in
有评级	Bewertung
有审稿历史	Eine Geschichte-Manuskripte
是提供者	Ist der Anbieter
有参与者	Haben die Teilnehmer
在此举办	Host
有地点	Lage
投稿论文	Vorlage-Papiere
海报展示会	Posterausstellung
海报论文	Poster-Papiere
研究所	Institut
研讨会论文	Seminararbeiten
否定意见	Negative Stellungnahme
学术机构	Akademische Einrichtungen
记录集	Recordset
正规分场会议	Informelle Breakout-sessions
论文集出版商	Verfahren der Verlage
中性意见	Neutraler Kommentar
分配的论文	Zugewiesene Arbeit
完注册与会者	Registrierung der Teilnehmer zu beenden
会议旅游	Kongress-Tourismus
提前注册与会者	Teilnehmer registrieren
研讨会分场会议	Breakout-sessions
教程主席	Vorsitzender des Lernprogramms
特邀报告摘要	Sonderbericht Zusammenfassung
论文作者	Die Autoren
实用型论文	Praktische Diplomarbeit
组织委员会主席	Vorsitzender des Ausschusses für organisatorische
合适的审稿人	Geeignete Bewertungen
演示论文	Demo-Papiere
会议论文	Konferenzbeiträge
会议宴会	Tagungs- und Banketträumlichkeiten
被审论文	Testversion-Papiere
教程摘要	Tutorial Übersicht
科学活动	Wissenschaftliche Tätigkeit
肯定意见	Die positive Stellungnahme des
分场会议	Breakout-sessions
演示会主席	Vorsitzender der demo
赞助者主席	Sponsor-Vorsitzender
代理工作人员	Agentur Personal
组织代理	Handeln
位置	Lage
实用性主题分场会议	Praktikumsthema Breakout-sessions
网站	Webseite
多作者卷册	Multi-Autoren-Bände
演示会	Demo
研究主题	Forschungsthemen
个人报告	Einzelne Berichte
程序手册	Verfahrenshandbuch
照相制版论文	Fotosatz-Papier
传单	Flyer
组织委员会成员	Mitglieder des Ausschusses für organisatorische
大会分场会议	Konferenz-Breakout-sessions
正规论文	Regelmäßige Papiere
录用文章报告	Akzeptiert Zeitungen berichten
包括主题	Einschließlich der Themen
列表活动	Liste der Aktivitäten
是更新版本	Ist die aktualisierte version
学术上组织	Wissenschaftlichen Vereinigungen
有审稿人	Rezensent
由之组织	Von Organisation
论文位于卷	Papiere im Volumen
审稿意见撰写于	Schriftliche Bemerkungen zu
是之一部分	Ist Teil des
所报告论文	Gemeldet von Papieren
是出版商	Verlage
论文报告形式	Papier Meldeformulare
是论文审稿人	Ist die Papier-Bewertungen
有更新版本	Eine aktualisierte version
举办于	Statt auf die
有活动	Aktivitäten
是子活动于	Ist eine untergeordnete Aktivität in
是部分于	Ist Teil des
位于	Befindet sich in der
技术上组织	Technische Organisationen
主题被包括于	Themen in einbezogen werden
活动列表于	Liste der Aktivitäten in
论文审稿意见	Papier-Kommentare
学术上由之组织	Akademische Organisation
技术上由之组织	Technisch von Organisation
卷册包括论文	Volumenkörper enthalten Papiere
是作者	Ist der Autor
参考于	Verweis auf
参考	Referenz
有审稿意见	Kommentare
鸡尾酒会	Cocktail-party
旁听者	Zuschauer
液晶投影机	LCD-Projektor
支票	Überprüfen
报告人城市	Lautsprecher-Stadt
不做报告的学者	Keine Meldung von Gelehrten
汽车	Automotive
学者演讲者	Gelehrter Redner
会议旅行者	Sitzung Traveler
学生演讲者	Student-Lautsprecher
会议国家	Conference national
会议大楼	Das Konferenzgebäude
作者与会者光盘注册费	Autor Anmeldegebühr des Teilnehmers CD
讲座	Vortrag
技术委员会	Der technische Ausschuss
宾馆预定截止日期	Hotel Reservierung Termin
代表	Im Auftrag von
截稿日期	Der Zeitpunkt des Abschlusses
获得会记录光盘的作者	Erhalten Sie eine CD-R-Schriftsteller
出席记录	Zuschauerrekord
最后定稿	Finalisiert
研究	Studie über die
技术活动	Technische Tätigkeiten
注册截止日期	Anmeldeschluss
报告人国家	Lautsprecher-Länder
单日报告人	Ein-Tages-Lautsprecher
注册	Registrierung
幻灯片报告	Folie-Bericht
非报告人	Menschen, die nicht melden
离境税	Ausreisegebühr
建筑物	Gebäude
会议录光盘	Conference Proceedings CD
酒电费	Wein-Tarife
不做报告的学生	Keine Meldung von student
演讲者	Lautsprecher
非iasted会员	Sind IASTED Mitglieder
赞助公司的房子	Unternehmen Haus
非会员注册费	Nicht-Mitglied Anmeldegebühr
录用通知截止日期	Benachrichtigung Frist
会议日	Sitzungstag
赞助人	Patron
全会讲座演讲者	Plenarvortrag Lautsprecher
会议大厅	Konferenzsaal
欢迎致词	Grußwort
额外旅行费用	Zusätzliche Reisekosten
报告人讲座	Lautsprecher-Vortrag
会员注册费	Mitglied Anmeldegebühren
视听设备	Audiovisuelle Geräte
表格	Tabelle
iasted会员	IASTED Mitglied
邮件列表	Mailing-Liste
录像带播放器 	Video-player 
讲演者介绍	Lautsprecher-Einführung
截止日期	Fälligkeitsdatum
教程主讲人	Tutorial-Moderatorin
卡	Karte
接收投稿	Empfangene Einsendungen
初稿	Der erste Entwurf
非作者注册费	Non-Autor Anmeldegebühr
货币	Währung
银行转帐	Banküberweisung
分场会议主席的简短介绍	Kurze Darstellung des Präsidenten der Breakout-sessions
信用卡	Kreditkarte
作者信息表	Autor-Informationsblatt
附加税	Zusätzliche Steuern
注册费	Anmeldegebühren
旅游城市	Touristenstädte
赞助者国家	Sponsor der nationalen
宾馆注册表	Hotel-Registrierung
单人间	Einzelzimmer
注册表	Registrierung
会议日期	Treffen-Termine
会议餐厅	Konferenz-Esszimmer
投影仪	Projektor
交通工具	Verkehr
时间	Zeit
介绍	Einführung
宾馆房间	Hotelzimmer
卡车	LKW
时区	Zeitzone
透明度	Transparenz
班车	Shuttle
付款文件	Der Zahlungsdatei
税	Steuer
拒收投稿	Abgelehnte Anträge
会议宾馆	Konferenzhotels
赞助者城市	Sponsoren-Stadt
计算机	Computer
会前活动	Vor Beginn der Arbeiten
出租车	Taxi
会议录	Tagungsband
分场会议室	Breakout-Tagungsräume
出版物	Publikationen
获得会议录书的作者	Zugang zum Tagungsband und Autor
钱款	Das Geld ist
全会讲座	Plenarvorträge
报告人的大学	Sprecher der Universität
住宾馆的报告人	Sprecher des Hotels
作者与会者注册费	Autor Anmeldegebühren
建模	Modellierung
项目	Projekt
离开	Verlassen
邀请信	Einladungsschreiben
录用投稿	Rekrutierung-posting
主办事处	Hauptbüro
模拟	Simulation
全日游	Ganztägiger Ausflug
旅游日	Tag des Tourismus
租赁	Vermietungen
晚宴	Abendessen
会议城市	Treffen der Städte
双人间	Doppelzimmer
视频报告	Video-Bericht
费用	Gebühr
小费	Tipp
报告人的房子	Sprecher des Repräsentantenhauses
照相制版截止日期	Fotomechanischen Frist
签证	Visum
会议机场	Konferenz-Flughafen
会后活动	Aktivitäten nach
学生注册费	Student-Anmeldegebühr
作报告于	Wie berichtet in
之后发送	Nach dem
由之参观	Durch den Besuch
由之签名	Sigel der
给	Geben
占用	Aufgreifen
由之准备	Durch die Vorbereitung
截至	Stand:
注明日期于	Datum in
有总计	Insgesamt
与之连接	Verbinden Sie mit
经过	Nach
由之发送	Durch das Senden
由之给予	Indem man
被用于	Verwendet werden, um
之前举办	Statt vor dem
需要	Müssen
之前发送	Vor dem Senden
获得	Zugang
支付	Zahlung
支付于	In Zahlen
由之占用	Belegt durch die
由之支付	Durch Zahlung
为之支付	Zahlen für
用于	Verwendet für
签名	Signatur
为之设计	Für design
由之组成	Bestehend aus
以之配备	Ausgestattet mit
发送	Senden
之后举办	Nach der
由之写	Geschrieben von der
准备	Vorbereiten
写	Schrieb
sigmod成员注册费	SIGMOD Mitglieder Anmeldegebühren
宾馆	Hotel
组织委员会	Das Organisationskomitee
网站管理员	Website-administrator
非成员注册费	Nicht-Mitglied Anmeldegebühr
参展者	Aussteller
sigkdd成员注册费	SIGKDD Mitgliedschaft Anmeldegebühr
计算机协会知识发现和数据挖掘会议	Computer Society Conference auf Wissensentdeckung und Datamining
最佳应用论文奖	Paper Award/beste Anwendung
总办事处	Headoffice
最佳学生论文奖	Best Student Paper award
奖	Award
摘要截稿日期	Abstract deadline
铜牌级赞助者	Bronze Level Sponsoren
赞助费	Sponsoring-Gebühren
全文截稿日期	Volltext der Fristen
赞助者	Sponsoren
录用论文作者通知截止日期	Akzeptierte Papier Autor Benachrichtigung Frist
最佳论文奖委员会	Best Paper Award Komitee
最佳研究论文奖	Beste Papier-Forschungspreis
金牌纪赞助者	Alter Gold-Sponsoren
银牌级赞助者	Silber Level sponsor
听众	Das Publikum
白金级赞助者	Platin-Ebene Sponsoren
最佳学生论文赞助者	Best Student Paper Sponsoren
学生论文作者	Student-Autoren
直到录用通知日期	Bis erklären die Annahme
寻找	Auf der Suche nach
获奖	Die mehrfach ausgezeichnete
付费	Zahlen
制定	Satz
由之付费	Zu Lasten der
由之寻找	Durch die auf der Suche nach
承办	Hosting
制定于	Im aufgestellten
获奖于	Gewann
投稿截止于	Papier-Einsendeschluss für
电子信件	E-Briefe
价格	Preis
会议结束日期	Treffen-Enddatum
会议名称	Name der Besprechung
赞助者名称	Sponsor-name
可位于	Gefunden werden können
颁奖给	Derzeit vergibt an
由之承办	Gehosted von der
由之作报告	Berichtet, durch die die
国籍	Nationalität
会议开始日期	Konferenzbeginn
