aceptar	Хорошо
tema, computación móvil	Тема, мобильные вычисления
currículum vitae	Биографические данные
tema, conexión en las redes de computadoras	Тема, подключение к компьютерным сетям
organización de gobierno	Организации правительства
ratio de rechazos	соотношение отвергает
artículo aceptado	принятые статьи
tema, comunicaciones	Тема, коммуникации
convocatoria	вызов
ong	НПО
conferencia de un nivel	уровень Конференции
tema, transmisión mediante cable eléctrico	Тема, передачи через кабель питания
conferencia de dos niveles	два уровня Конференции
pregunta sobre la revisión textual	спросил о текстового обзора
el artículo tiene que estar entregado antes de	элемент должен быть доставлен до
tiene fecha límite de entrega	имеет срок
cuesta	склон
tiene hora y fecha de comienzo	имеет дату и время начала
tiene hora y fecha de finalización	время и Дата завершения
es tema de	является предметом
asitente a	Помощник
es miembro de	является членом
tiene asistentes	у посетителей
pertenece al acontecimiento	принадлежит к событию
tiene miembro	имеет член
proporcionado por	предоставляемые
tiene ratio	имеет коэффициент
es revisado por	Это рассматривается
tiene artículo relacionado	имеет связанные статьи
está revisando	Она изучает
se relaciona con	связанные с
inicia	начинается
es ubicación de	расположение
es iniciado por	Он инициируется
tiene menú	меню
está escrito por	написана
relacionado con el artículo	связанные статьи
es menú de	меню
tiene documento relacionado	связанных документов
es proveedor de	является поставщиком
tiene convocatoria	есть вызов
es el historial de revisiones de	История редакции
para el acontecimiento	для события
relacionado con el acontecimiento	связанные события
tiene historial de revisiones	есть история правок
tiene programa	имеет программу
fecha de finalización	Дата завершения
el registro tiene que estar hecho antes de	регистрация должна быть произведена до
fecha de comienzo	Дата начала
el manuscrito tiene que estar entregado antes de	рукописи должны быть доставлены раньше
tiene moneda	имеет валюты
tiene instrucciones de envío	есть инструкции по транспортировке
tiene biografía	собственная биография
página web	веб-страница
sesión de talleres	сессия семинаров
conferencia principal	Основные конференции
participante con inscripción no anticipada	участник без предварительной регистрации
actas	записи
versión definitiva del artículo	окончательный вариант статьи
miembro de la organización	Член Организации
agencia de organización de congresos	Конгресс Организации агентства
programa de mano	Программа ручной
folleto	Брошюра
artículo de conferencia	Конференции статьи
sesión de pósters	Постерная сессия
artículo revisado	пересмотренная статья
artículo de experiencias en la industria	Статья опыт в промышленности
participante del congreso	участник Конгресса
contribución a conferencia	вклад Конференции
sesión de conferencia	Сессии Конференции
autor de la contribución	Автор вклад
miembro del comité organizador	Член организационного комитета
centro de investigación	Научно-исследовательский центр
evento	события
sesión	сессия
artículo sobre demostración	Статья на демонстрации
resumen de conferencia invitada	Резюме лекции приглашенных
organizador de tutorial	Организатор учебник
miembro del comité científico	Член научного комитета
artículo asignado a revisor	Статья назначен рецензент
candidato a revisor	Рецензент кандидат
tema de investigación	Тема исследования
artículo de póster	Статья плакат
organizador de los talleres	Организация семинаров
sesión de congreso	сессия Конгресса
organizador de la sesión de pósters	Организатор сессии плакат
cosa	вещь
institución académica	научное учреждение
evaluación negativa	отрицательная оценка
presidente del comité organizador	Председатель организационного комитета
sesión de demostraciones	демо сессия
seminario	Семинар
artículo de taller	Мастерская статьи
artículo en conferencia principal	Статья в основной Конференции
evaluación positiva	положительная оценка
acontecimiento científico	Научные события
actas de congreso	Материалов Конгресса
participante con inscripción anticipada	участник с предварительной регистрации
editor de las actas	Производство редактор
evaluación neutra	нейтральная оценка
resumen de tutorial	Обзор учебник
moderador de la sesión	Модератор сессии
volumen de varios autores	объем различных авторов
lugar de celebración	место проведения
sesión industrial	промышленные сессия
presentación individual	отдельные презентации
versión actualizada de	обновленная версия
organización científica por	Научная организация
artículo en actas	Статья в разбирательстве
parte de	часть
tema tratado por	предмет
tiene evento	событие
es revisión de	Обзор
referencia	Ссылка
revisión escrita por	Обзор написан
parte de evento	часть мероприятия
tiene revisión	Обзор
artículo presentado como	Статья представлена как
organiza técnicamente	организует технически
organiza	организует
inversa de parte de 7	Обратный часть 7
es revisor de artículo	является составителем обзоров для статьи
organiza científicamente	организует научно
tiene parte	имеет часть
tiene versión actualizada	обновил версию
autor de	Автор
volumen contiene artículo	том содержит статьи
evento en la lista	список событий
presentación de artículo	представление статьи
organización técnica por	техническая организация
referenciado en	ссылка в
tiene revisor	имеет рецензент
editor de	Редактор
celebrado en	в
enumera eventos	списки событий
lugar de	место
organizado por	организован
envío	Доставка
fecha límite	Крайний срок
conferenciante	Лектор
alquilando	Аренда
tasas de registro para los no autores	Регистрационный взнос для non авторы
cheque	проверить
conferenciante plenario	пленарное заседание докладчик
transferencia bancaria	Банковский перевод
estudiante no orador	Студент не спикер
actividad técnica	техническая деятельность
introducción	Введение
manuscrito final	окончательный вариант рукописи
presentador durante un día	Ведущий в день
excursión por la ciudad	Экскурсия по городу
fecha límite de registro	Крайний срок для регистрации
edificio de la conferencia	здания для конференций
hotel de la conferencia	Конференц-отель
hora	время
sala principal de la conferencia	Главный зал конференции
actividad	деятельность
formulario	форма
edificio	здание
tarjeta de crédito	Кредитная карта
día de excursión	дневная экскурсия
rechazando el manuscrito	отвергая рукопись
estado del moderador	Статус модератора
tasas de registro par aestudiantes	плата за регистрацию aestudiantes
oficina principal	Главный офис
introducción del conferenciante	внедрение в спикера
comité técnico	Технический Комитет
habitación de hotel	номер отеля
tasas de registro para miembros	Регистрационный взнос для членов
sala de sesiones	номер сессии
ordenador	компьютер
reproductor de video casete	видео магнитофон
cd de las actas	производство CD
tasas	Тарифы
trabajador no orador	работник не спикер
ciudad de la conferencia	на Конференции город
casa del moderador	Дом Модератор
proyector lcd	ЖК-проектор
conferencia de un día de duración	Однодневная конференция
taxi	такси
conferencia plenaria	Пленарном заседании Конференции
tasas de salida	темпы вывода
tasas del registro	Регистрационный взнос
tasas por un viaje extra	дополнительные поездки цены
fecha límite de envío de la versión definitiva	Крайний срок для представления окончательного варианта
tasas de autor, asistente y libro	книги, автора и помощник
documento de pago	платежный документ
no orador	Не оратор
habitación individual	Одноместный номер
impuesto sobre el valor añadido	налог на добавленную стоимость
visa	Визы
actividad antes de la conferencia	деятельность до Конференции
tarjeta	Карта
aeropuerto de la conferencia	Аэропорт конференции
incluye el cd de las actas para autores	Она включает в себя cd транскрипции для авторов
tasas de registro para los no miembros	регистрационные сборы для не членов
habitación doble	Двухместный номер
restaurante de la conferencia	Ресторан конференции
equipo audiovisual	аудиовизуальное оборудование
formulario de información sobre el autor	Информация о форме автор
transparencia	прозрачность
libro de las actas	разбирательства
autobús de ida y vuelta	автобус туда и обратно
investigación	Исследования
dinero	деньги
excursionista de la conferencia	туристы конференции
tasas de autor, asistente y cd	Автор, помощник ставки и cd
estado	Государство
actividad después de la conferencia	деятельность после Конференции
breve introducción al presidente de la sesión	Краткое введение в Председателя сессии
incluye las el libro de las actas para autores	включает в себя книгу рекордов для авторов
ciudad del presentador	город-хозяин
presentación power point	презентации Power point
miembro de iasted	Член iasted
zona horaria	Часовой пояс
orador en tutorial	Учебник динамик
vehículo de transporte	транспортное средство
delegado	Делегат
fecha límite de envío de propuestas	Крайний срок для представления предложений
oyente	слушатель
coche	автомобиль
salida	выход
fecha límite de la notificación de aceptación	срок для уведомления о принятии
proyector	проектор
record de asistencia	рекорд посещаемости
moneda	Валюта
propina	Подсказка
saludo de bienvenida	Приветствие
manuscrito inicial	первоначальный манускрипт
simulando	Имитация
formulario de registro al hotel	Форма регистрации Гостиницы
recibiendo el manuscrito	получение рукопись
días de duración de la conferencia	дни конференции
conferenciante estudiante	Студент динамик
aceptando el manuscrito	принимая рукопись
estado del patrocinador	Состояние спонсора
presentador del hotel	Ведущий отель
universidad del moderador	Университет Модератор
conferenciante trabajador	работник лектор
furgoneta	Ван
orador	спикер
coctail de bienvenida	Приветственный коктейль
registro	регистрация
ciudad del patrocinador	Город спонсора
estado en que tiene lugar la conferencia	Заявить, что Конференция проходит
publicación	публикации
tasas del hotel	Цены отеля
no miembro de iasted	не член iasted
formulario de registro	Регистрационная форма
presentación por vídeo	видео презентации
empresa del moderador	Компания Модератор
carta de invitación	Письмо-приглашение
fecha límite de reserva en el hotel	Крайний срок бронирования отелей
lista de correos	список рассылки
excursión de todo el día	Все экскурсии
patrocinador	Спонсор
modelando	моделирование
fechado en	от на
está presente	присутствует
utilizado para	используется для
hecho de	изготовлены из
enviar	Отправить
preparar	подготовить
firmado por	подписано
ocupado por	оккупирована
pasar por	пройти мимо
estar equipado por	быть оборудованы для
utilizado por	используется
preparado por	подготовленный
tiene lugar después de	имеет место после
pagado en	выплачивается в
estar conectado con	быть связаны с
firmar	знак
pagado con	заплатил с
estar designado por	быть назначен
se necesita para	необходима для
enviado después de	После
tiene lugar antes de	происходит перед
pagar	оплатить
ocupar	дело с
está presente en	присутствует в
dado a	для
enviado por	Прислал
necesitar	необходимость
tiene cantida de	количество
hacer hasta	сделать до
enviado antes de	Отправлено до
pagado por	оплачены
tiene lugar en	имеет место в
visitado por	посетил
hablar en	говорят в
dar	Давать
escribir	Написать
obtener	Получить
pagado para	заплатил за
situado en	расположен в
fecha límite de envío de resúmenes	Крайний срок подачи тезисов
patrocinador de platino	Платиновый спонсор
exhibidor	Экспонента
presidente del programa	программы кафедры
patrocinador de plata	Серебряный спонсор
tasas de registro	регистрационные сборы
autor del artículo	Автор статьи
tasas del patrocinador	Спонсор ставки
registro para estudiantes	Регистрация для студентов
premio al mejor artículo de investigación	приз за лучший научно-исследовательский документ
comité de concesión del premio al mejor artículo	Комитет по премии Лучшие статьи
premio al mejor artículo de aplicaciones	Приз за лучший доклад на приложения
estudiante autor del artículo	Автор студент
patrocinador de oro	Золотой спонсор
premio	Премия
fecha límite de envío de artículos	Крайний срок подачи статей
premio al mejor estudiante	Премия за лучший студент
fecha límite de notificación al autor	Дата уведомления автора
patrocinador de bronce	Бронзовый спонсор
patrocinador del premio al mejor artículo de un estudiante	Спонсор приза за лучший доклад на студента
acm sigkdd	ACM sigkdd
tasas para miembros de sigkdd	Тарифы для членов sigkdd
tasas para no miembros	Тарифы для не членов
hotel	Отель
recibido por	полученные
buscar	Найти
enviar hasta	отправить до
puede quedarse en	Вы можете остановиться в
presentado por	представлено
nombre del patrocinador	имя спонсора
principio de la conferencia	Начало конференции
recibir	получить
premiado por	награжден
precio	Цена
nombre de la conferencia	Название конференции
nación	нация
final de la conferencia	конец конференции
buscado por	Разыскивается
notificación hasta el	уведомление
diseñado por	Дизайн
diseñar	Дизайн
