论文全文	Полные статьи
有参与者	У участников
在此举办	Хост
有地点	Местоположение
完注册与会者	Окончание регистрации участников
会议旅游	Конференция Туризм
实用型论文	Практический тезис
教程摘要	Краткий учебник
肯定意见	Положительное мнение
代理工作人员	Персонал Агентства
位置	Местоположение
实用性主题分场会议	Практические темы секционных заседаний
网站	Веб-сайт
演示会	Демо
研究主题	Темы исследований
海报论文	Постерных докладов
研究所	Институт
研讨会论文	Документы семинара
正规分场会议	Неофициальные секционных заседаний
论文集出版商	Труды издателей
中性意见	Нейтральный комментарий
教程主席	Председатель руководства
被审论文	Судебных документов
赞助者主席	Председатель спонсора
组织代理	Исполняющий обязанности
照相制版论文	Фотонабор бумага
传单	Флаер
投稿论文	Представление документов
海报展示会	Выставка плаката
否定意见	Негативное мнение
学术机构	Научные учреждения
分配的论文	Назначенные диссертации
研讨会分场会议	Секционных заседаний
特邀报告摘要	Специальный доклад резюме
组织委员会主席	Председатель организационного комитета
合适的审稿人	Подходит Отзывы
科学活动	Научная деятельность
演示会主席	Председатель демо
多作者卷册	Multi-автора томов
程序手册	Руководство по процедурам
组织委员会成员	Члены организационного комитета
大会分场会议	Секционных заседаний Конференции
正规论文	Регулярные доклады
录用文章报告	Принимаются работы доклады
记录集	Набор записей
提前注册与会者	Регистрация участников
论文作者	Авторы
演示论文	Демо материалы
会议论文	Документы Конференции
会议宴会	Встреча и банкет
分场会议	Секционных заседаний
个人报告	Отдельные доклады
包括主题	Включая темы
列表活动	Перечень мероприятий
是更新版本	Обновленная версия
学术上组织	Академические организации
有审稿人	Рецензент
由之组织	По организации
论文位于卷	Документы в объеме
审稿意见撰写于	Письменные комментарии к
是之一部分	Является частью
所报告论文	Представленные документы
是出版商	Издатели
论文报告形式	Бумага, формы отчетности
是论文审稿人	Это бумага Отзывы
有更新版本	Обновленная версия
举办于	Состоявшемся
有活动	Деятельность
是子活动于	Деятельность ребенка в
是部分于	Является частью
位于	Расположен в
技术上组织	Технических организаций
主题被包括于	Темы должны быть включены в
活动列表于	Перечень видов деятельности в
论文审稿意见	Документ комментарии
学术上由之组织	Академические организации
技术上由之组织	Технически Организацией
卷册包括论文	Тома включают документы
是作者	Является автором
参考于	Ссылка на
参考	Ссылка
有审稿意见	Комментарии
鸡尾酒会	Коктейль-приём
旁听者	Зрителей
支票	Проверить
作者与会者光盘注册费	Автор регистрационный взнос участника CD
代表	От имени
截稿日期	Дата закрытия
最后定稿	Завершена
报告人国家	Спикер страны
单日报告人	Динамик один день
幻灯片报告	Доклад слайд
会议录光盘	Конференция разбирательства CD
全会讲座演讲者	Пленарные лекции динамики
报告人讲座	Спикер лекция
录像带播放器 	Видео плеер 
初稿	Первый проект
货币	Валюта
注册费	Регистрационные сборы
宾馆注册表	Отель реестра
时间	Время
透明度	Прозрачность
拒收投稿	Отклоненные материалы
会议宾馆	Конгресс-отели
计算机	Компьютер
分场会议室	Секционных залов
报告人的大学	Спикер университета
住宾馆的报告人	Спикер отеля
双人间	Двухместный номер
液晶投影机	ЖК-проектор
报告人城市	Спикер город
汽车	Автомобильные
学生演讲者	Студент динамик
会议国家	Национальная конференция
会议大楼	Здания для конференций
技术委员会	Технический Комитет
出席记录	Рекорд посещаемости
研究	Исследование по вопросу о
注册	Регистрация
不做报告的学生	Не о студент
录用通知截止日期	Срок уведомления
会议日	День встречи
赞助人	Покровитель
会议大厅	Конференц-зал
表格	Таблица
邮件列表	Список рассылки
讲演者介绍	Введение динамика
会议餐厅	Обеденный зал
宾馆房间	Номер отеля
全会讲座	Пленарные лекции
建模	Моделирование
离开	Отпуск
视频报告	Видео отчет
会议机场	Аэропорт конференции
学生注册费	Студент регистрационный взнос
会议旅行者	Встречи путешественника
宾馆预定截止日期	Крайний срок бронирования отеля
技术活动	Технические мероприятия
非报告人	Люди, которые не сообщают
演讲者	Спикер
赞助公司的房子	Компаний-спонсоров дом
额外旅行费用	Дополнительные путевые расходы
会员注册费	Член регистрационные сборы
接收投稿	Полученные материалы
非作者注册费	Non автор регистрационный взнос
信用卡	Кредитная карта
附加税	Дополнительные налоги
旅游城市	Туристические города
注册表	Реестр
投影仪	Проектор
介绍	Введение
班车	Трансфер
付款文件	Файла платежа
税	Налог
出版物	Публикации
模拟	Моделирование
旅游日	День туризма
租赁	Аренда
晚宴	Ужин
会议城市	Встреча городов
费用	Плата
照相制版截止日期	Фотомеханический срок
不做报告的学者	Не о учёных
学者演讲者	Ученый динамик
讲座	Лекция
获得会记录光盘的作者	Получить писатель CD-r
注册截止日期	Крайний срок регистрации
离境税	Выезд налог
建筑物	Здание
酒电费	Вина тарифы
非iasted会员	Являются членами IASTED
非会员注册费	Не являющиеся членами регистрационный взнос
欢迎致词	Приветственное слово
视听设备	Аудиовизуальное оборудование
iasted会员	IASTED член
截止日期	Дата
教程主讲人	Учебник ведущий
卡	Карта
银行转帐	Банковский перевод
分场会议主席的简短介绍	Краткое выступление президента секционных заседаний
作者信息表	Автор информационный лист
赞助者国家	Спонсор Национального
单人间	Одноместный номер
会议日期	Сроки проведения совещаний
交通工具	Транспорт
卡车	Грузовик
时区	Часовой пояс
赞助者城市	Спонсоры города
会前活动	До активности
出租车	Такси
会议录	Труды конференции
获得会议录书的作者	Доступ к Конференции и автор
钱款	Деньги
作者与会者注册费	Автор регистрационные сборы
项目	Проект
邀请信	Письмо-приглашение
录用投稿	Набор проводки
主办事处	Главный офис
全日游	Тур на полный день
小费	Подсказка
报告人的房子	Спикер палаты
签证	Визы
会后活动	Деятельность после
作报告于	Как сообщалось в
之后发送	После
由之参观	По адресу
由之签名	Подписано
给	Давать
占用	Занимают
由之准备	Путем подготовки
截至	По состоянию на
注明日期于	Дата в
有总计	В общей сложности
与之连接	Связаться с
经过	После
由之发送	Отправив
由之给予	Дав
被用于	Использоваться для
之前举办	Проведена до
需要	Необходимость
之前发送	Перед отправкой
获得	Доступ к
支付	Оплата
支付于	Оплатить в
由之占用	Оккупирована
由之支付	По оплате
为之支付	Платить за
用于	Используется для
签名	Подпись
为之设计	Для дизайна
由之组成	Состоит из
以之配备	С
发送	Отправить
之后举办	После
由之写	Автор
准备	Подготовить
写	Написал
sigmod成员注册费	SIGMOD членов регистрационные сборы
组织委员会	Организационный Комитет
非成员注册费	Не являющиеся членами регистрационный взнос
sigkdd成员注册费	SIGKDD членский взнос
计算机协会知识发现和数据挖掘会议	Конференция общества компьютера на обнаружение знаний и интеллектуального анализа данных
最佳学生论文奖	Лучшая Студенческая премия бумаги
奖	Премия
摘要截稿日期	Абстрактный срок
铜牌级赞助者	Бронзовый уровень авторов
赞助者	Спонсоры
金牌纪赞助者	Золотой возраст авторов
学生论文作者	Студент авторов
宾馆	Отель
网站管理员	Администратор веб-сайта
参展者	Участников
最佳应用论文奖	Лучшая бумага приложения
总办事处	Головной офис
赞助费	Спонсорство сборы
全文截稿日期	Полный текст сроки
录用论文作者通知截止日期	Срок уведомления автор признанных бумаги
最佳论文奖委员会	Лучшая бумага премии Комитета
最佳研究论文奖	Лучшая бумага исследования
银牌级赞助者	Серебряный спонсор уровня
听众	Аудитория
白金级赞助者	Платиновый уровень авторов
最佳学生论文赞助者	Лучшие студенческие бумаги спонсоры
直到录用通知日期	До уведомления о принятии
寻找	Ищете
获奖	Наградами
付费	Оплатить
制定	Набор
由之付费	Оплачены
由之寻找	Глядя
承办	Хостинг
制定于	Составлен в
获奖于	Победа в
投稿截止于	Крайний срок подачи бумаги для
电子信件	Электронные письма
价格	Цена
会议结束日期	Дата окончания встречи
会议名称	Имя встречи
赞助者名称	Имя спонсора
可位于	Может быть расположен
颁奖给	Настоящее награды
由之承办	Хостинг
由之作报告	Сообщает
国籍	Гражданство
会议开始日期	Дата начала Конференции
