документ	document
тема измерения в компьютерных сетях	le thème de la mesure dans les réseaux informatiques
меню	menu
тема архитектура компьютера	le thème de l'architecture de l'ordinateur
тема безопасность компьютерных сетей	le thème de la sécurité des réseaux informatiques
тема производительность	le thème de la performance
отклонённая статья	article mis au rebut
тема обработка сигналов	le thème du traitement des signaux
перерыв на питание	une pause pour se nourrir
оценка отклонить	évaluation de rejet
доклад по статье	le rapport sur l'article
тема мобильные вычисления	le thème de l'informatique mobile
место проведения конференции	lieu de la Conférence
оценка рецензирования	résultat examen
тема антенны	Thème download
опубликованная статья	article publié
тема радио связь	le thème des communications radio
тема коммутация компьютерных сетей	thème de commutation de réseaux informatiques
заключительное слово	le dernier mot
тема безопасность	le thème de la sécurité
член tpc	Membre du code pénal
неакадемчический этап	stade neakademčičeskij
тема криптография	le thème de la cryptographie
государственная организация	Organisation
этап перерыв	coupure de phase
персональная история	antécédents personnels
тема передача по линиям электропередач	Thème de transmission par courant porteur
двухуровневая конференция	deux niveaux Conférence
отозванная статья	article retiré
тема промышленные компьютерные сети	le thème du réseau informatique industrielle
тема компьютерные сети	le thème des réseaux informatiques
приглашение принять участие в рецензировании	invitation à participer à l'examen
секция конференции	section Conférence
одноуровневая конференция	Conférence moniste
этап конференции	phase de la Conférence
контактная информация	informations de contact
тема медицина	le thème de la médecine
численный рецензионный вопрос	la question de la revue numérique
место	lieu
оценка принять	score à
тема параллельные и распределённые вычисления	le thème de l'informatique parallèle et distribuée
тема теория коммуникаций	le thème de la théorie de la communication
оцененные статьи	articles nominales
бланк рецензирования	formulaire d'examen
вступительное слово	un mot d'introduction
приглашение к публикации манускриптов	invitation à publier des manuscrits
персональная история статьи	articles d'histoire personnelle
место проживания	lieu de résidence
организационное собрание	Réunion de bienvenue
председатель секции	Chef de section
спонсорство	parrainage
тема микроэлектроника	le thème de la microélectronique
инициируется	est lancée
кем предоставлена	que donné
дата и время начала	date de début et l'heure
история рецензирования	Examen de l'histoire
инициирует	initiés
относится к этапу	se réfère à la phase de
относится к	se réfère à la
отностится к статье	Profitez de l'article
является местом проведения	est le site de la
связанная статья	article connexe
регистрация до	inscription à
статья до	article à
последняя дата подачи заявки	Date limite d'appliquer
дата и время окончания	date de fin et temps
манускрипт до	manuscrit de
валюта	monnaie
сумма	le montant de
правила подачи заявки	modalités d'application
биография	Biographie
посетитель	visiteur
принадлежит этапу	appartient à la scène
для этапа	pour la phase
кем написана	Ce qui est écrit
кем рецензируется	qui est soumis à une
связанный документ	le document lié
предоставляет	fournit
объявление	Ad
оценка	score
конференц-банкет	Banquet de la Conférence
автор статьи	l'auteur de l'article
председатель оргкомитета	Président du Comité organisateur
полная статья	lire l'article
поданая статья	article podanaâ
председатель демонстраций	Président des manifestations
научная тема	le thème scientifique
положительная рецензия	critique positive
демонстрационная статья	Article de démo
академический институт	Institut universitaire
рекламный листок	Flyer
организационнное агенство	Agence organizacionnnoe
производственная статья	fabrication article
сборник трудов	procédure
издатель сборника трудов	Editeur livre fonctionne
научное мероприятие	manifestation scientifique
мероприятие	événement
секция полных статей	Section des articles complets
член агенства	Organismes membres
веб-сайт	Site Web
статья в окончательной версии	article paru dans la version finale
доклад	rapport
статья конференции	Article Conférence
председатель семинаров	Président du séminaire
стендовая статья	section affiche
потенциальный рецензент	relecteur potentiel
член оргкомитета	Membre du Comité organisateur
научно-исследовательский институт	Institut de recherche scientifique
секция стендов	Section des stands
закреплённая статья	quel article
секция демонстраций	démonstrations de section
индивидуальная презентация	présentation privée
поздно зарегистрированный участник	membre enregistré fin
производственная секция	section de production
член научного совета	Membre du Conseil scientifique
светское мероприятие	un événement séculaire
нейтральная рецензия	examen neutre
экскурсия конференции	tour de la Conférence
часть	partie
аннотация к обучающему курсу	Résumé du cours de formation
университет	Université
статья на семинаре	article lors du séminaire
выпуск с несколькими составителями	problème avec plusieurs writers
отрицательная рецензия	critique négative
досрочно зарегистрированный участник	début participant inscrit
обработанная статья	article traitée
секция семинаров	ateliers de la section
программный буклет	Brochure du programme
аннотация к приглашённому докладу	Résumé de rapport de priglašënnomu
председатель обучающих курсов	le Président du cours de formation
статья в выпуске	article dans ce numéro
кем организован	l'OMS a organisé
обновлённая версия	la version mise à jour
мероприятие в списке	l'événement dans la liste
содержит ссылку в	contient une référence à la
организует	organise
научно организовывает	le scientifique et organisateur
инверсия часть 7	Inverser la partie 7
мероприятние	meropriâtnie
презентация статьи	présentation d'articles
кем научно организовано	Quel scientifique et organisée
выпуск содержит статью	numéro contient un article
рецензия на статью	Article de revue de livre
технически организовано	organisé sur le plan technique
часть мероприятия	cadre de l'événement
список мероприятий	une liste d'événements
адресует тему	aborde le sujet
ссылается	références
рецензия написана	examen écrit par
технически организовывает	techniquement organise
статья представленная как	article présenté comme
рецензент статьи	Réviseur d'articles
город спонсора	Sponsor de la ville
микроавтобус	minibus
чаевые	Astuce
член iasted	IASTED membre
пригласительное письмо	lettre d'invitation
ресторан конференции	Conférence de restaurant
докладчик пленарного доклада	le Rapporteur de la séance plénière du rapport
принятие манускрипта	acceptation du manuscrit
спонсор	sponsor
налог на отправление	administration fiscale
видео презентация	vidéo de présentation
дневной тур	après-midi visite
гостиничный регистрационный бланк	Formulaire d'inscription Hôtel
страна конференции	pays Conférence
город экскурсии	visites guidées de ville
студент-докладчик	étudiant-journaliste
деньги	argent
форма	formulaire
получение манускрипта	réception du manuscrit
представление докладчика	Mode Présentateur
потолочный проектор	projecteur de plafond
welcome address	Allocution de bienvenue
работник-не докладчик	l'employé n'est pas le rapporteur
главный оффис	bureau principal
первоначальный манускрипт	le manuscrit original
автор, диск сборника трудов включёны	l'auteur, un disque de œuvres inclus
cтрана спонсора	commanditaire du pays
банковский перевод	Virement bancaire
подача	aliments pour animaux
налог	impôt
мероприятие после конференции	événement après la Conférence
город конференции	Conférence de la ville
сертификат участия	certificat de participation
не авторский регистрационный взнос	Aucun frais d'inscription d'auteur
гостиничный взнос	Frais d'hôtel
комната секции	partition de la salle
здание	bâtiment
последний срок подачи	la date limite pour le dépôt de la demande
дом  спонсорской компании	Promoteur de maison
техническое мероприятие	épreuve technique
страна докладчика	le rapporteur de pays
последний срок окончательной версии манускрипта	Date limite pour la version finale du manuscrit
светская программа	programme laïque
аудиовизуальное оборудование	matériel audiovisuel
последний срок бронирования гостиницы	Date limite de réservation hôtel
автомобиль	voiture
мероприятие конференции	événement Conférence
симуляция	simulation
работник-докладчик	travailleur-Rapporteur
время	temps
исследование	étude
взнос	contribution
один день докладчик	un jour il
пригородный автобус	lignes de bus suburbaines
не член iasted	pas encore membre de l'iasted
житкокристаллический проектор	Žitkokristalličeskij projecteur
окончательный манускрипт	le manuscrit final
диск сборника трудов	CD compilation de œuvres
последний срок регистрации	la date limite d'inscription
такси	taxi
членский регистрационный взнос	cotisation d'inscription
двуспальный гостиничный номер	Double chambre d'hôtel
доклад докладчика	rapport du rapporteur
список рассылки	liste de diffusion
транспортное средство	véhicule
автор, книга сборника трудов включены	l'auteur, le livre est un recueil de œuvres incorporées
чек	vérifier
докладчик обучающего курса	Rapporteur du stage
часовой пояс	fuseau horaire
податель в гостинице	donneur dans l'hôtel
карта	carte
коктейль-вечеринка	soirée cocktail
ужин-банкет	Souper-banquet
вступление	entrée
предмет	vue
регистрация	enregistrement
последний срок	la date limite pour
аэропорт конференции	Conférence de l'aéroport
мероприятие до конференции	événement-Conférence
регистрационный взнос	frais d'inscription
гостиничный номер	chambre d'hôtel
регистрационный взнос автор, участник, книга	frais d'inscription, auteur, contributeur
даты конференции	dates de la Conférence
студент-не докладчик	l'étudiant n'est pas le rapporteur
пленарный доклад	rapport plénière
презентация powerpoint	présentation PowerPoint
дом докладчика	Haut-parleurs de maison
информационная форма об авторе	formulaire de demande de renseignements au sujet de l'auteur
делегат	délégué
кредитная карта	carte de crédit
kонференц-зал	Salle de conférence
день экскурсии	excursions d'une journée
виза	Visa
студенческий регистрационный взнос	les frais d'inscription étudiant
регистрационный бланк	formulaire d'inscription
последний срок уведомления о принятии	la date limite pour la notification d'acceptation
документ об оплате	preuve du paiement
слушатель	écouteur
прокат	Location
технический комитет	le Comité technique
моделирование	modélisation
налого на добавленную стоимость	valeur ajoutée fiscale
прозрачность	transparence
отклонение манускрипта	rejet du manuscrit
не членский регистрационный взнос	aucun frais d'adhésion
не доскладчик	pas de doskladčik
публикация	publication
conference hiker	randonneur de conférence
регистрационный взнос aвтор, участник	frais d'inscription auteur, exposant
один день конференции	une journée de conférence
здание конференции	Conférence de bâtiment
краткое вступление председателя секции	une brève introduction de la section
университет докладчика	Université du Rapporteur
отправление	l'administration de
книга сборника трудов	la collection de livres, de œuvres
город докладчика	Journaliste de la ville
одноместный гостиничный номер	Chambre individuelle hôtel
гостиница конференции	Conférence de l'hôtel
проигрыватель видео кассет	lecteur de cassette vidéo
компьютер	ordinateur
взнос за дополнительную поездку	frais de voyage supplémentaire
кем посылается	qui est envoyé
занимает	prend
связан с	est associé
используется	utilisé
до	jusqu'à
запланировано на	à la demande pour
кем подписывается	qui s'abonne
присутствует во время	présent lors de la
получает	Obtient le
производится из	produit à partir de
происходить после	se produit après la
посылает	envoie
кем оплачивается	qui est payé
чем оплачивается	versé
кем пишется	Ce qui est écrit
оборудован	caractéristiques
оплачивает	paie
кем посещается	qui est visité
требуется для	est nécessaire pour
используется для	sert à
даёт	donne
кем используется	qui utilise
готовит	se prépare
кем готовится	qui se prépare
находится в	est en
кем представлен	présenté par
докладывает в	rapport à la
где оплачивается	cas échéant
кому представлен	qui soumis
чем занимается	En quoi consiste
происходить до	surviennent avant
за что оплачивается	Ce qui est payé
посылается после	envoyé après la
пристутствует в	pristutstvuet dans
разработан для	conçu pour les
происходит в	se produit en
посылается до	est envoyé à la
подписывает	signes
требует	nécessite
регистрация sigkdd членов	SIGKDD inscription
награда	Prix
платиновый спонсор	Commanditaire platine
награда за лучшую научную статью	Prix du meilleur article de recherche
регистрация не членов	inscription des membres de la
последний срок уведомления авторов	la date limite pour la notification des auteurs
автор статьи студент	l'auteur de l'article de l'élève
программный председатель	Président du programme
комитет по наградам за лучшую статью	Comité des prix pour le meilleur article
бронзовый спонсор	Commanditaire Bronze
регистация студентов	enregistrement des étudiants
регистрация sigmod членов	inscription membres SIGMOD
награда за лучшую прикладную статью	Award de la meilleure application article
последний срок подачи аннотаций	la date limite de soumission des résumés
спонсорский взнос	frais de parrainage
золотой спонсор	Commanditaire or
серебрянный спонсор	Commanditaire argent
вебмастер	Webmaster
конференц-зал	Salle de conférence
награда за лучшую студенческую статью	Award de la meilleure communication de l'étudiant
программный комитет	Comité du programme
член организационного комитета	Membre du Comité organisateur
последний срок подачи статей	la date limite de soumission des articles
acm sigkdd	ACM sigkdd
спонсор награды за лучшую студенческую статью	parrainer le prix pour la meilleure communication de l'étudiant
комитет	Comité
гостиница	Hôtel
экспонент	Exposant
национальность	la nationalité de la
цена	prix
отправить до	Envoyer à
оплачивается	est payé
начало конференции	début de la Conférence
кем разработан	qui a conçu
название конференции	Titre de la Conférence
окончание конференции	fin de la Conférence
имя спонсора	nom du promoteur
поиск	Rechercher
отправить	Envoyer
кем найден	toute personne trouvée
уведомляет до	communique à la
кем награждён	qui reçu
поддерживается	prise en charge
платит	paie
может остановиться в	peut rester dans
поддерживает	prend en charge
презентуется	est présenté
дизайн	conception
hiker	randonneur
