документ	documento
первоначальный манускрипт	el manuscrito original
автор, диск сборника трудов включёны	el autor, un disco de obras incluidas
делегат	Delegado
cтрана спонсора	patrocinador del país
банковский перевод	Transferencia bancaria
подача	alimentación
налог	impuestos
мероприятие после конференции	evento después de la Conferencia
город конференции	Conferencia de ciudad
сертификат участия	certificado de participación
кредитная карта	tarjeta de crédito
kонференц-зал	Sala de conferencias
не авторский регистрационный взнос	No hay cuota de inscripción de autor
виза	Visa
день экскурсии	excursiones de un día
студенческий регистрационный взнос	la cuota de inscripción de estudiante
гостиничный взнос	Hotel tarifa
регистрационный бланк	formulario de inscripción
комната секции	partición de habitación
последний срок уведомления о принятии	el plazo para la notificación de aceptación
документ об оплате	comprobante de pago
слушатель	oyente
здание	edificio
технический комитет	el Comité técnico
прокат	Alquiler
моделирование	modelado
налого на добавленную стоимость	valor agregado impuesto
последний срок подачи	el plazo para la presentación de la solicitud
прозрачность	transparencia
дом  спонсорской компании	Empresa patrocinadora de casa
техническое мероприятие	evento técnico
отклонение манускрипта	rechazo del manuscrito
не членский регистрационный взнос	No hay cuota de membresía
не доскладчик	No doskladčik
страна докладчика	el Relator de país
последний срок окончательной версии манускрипта	fecha límite para la versión final del manuscrito
светская программа	programa secular
аудиовизуальное оборудование	equipos audiovisuales
публикация	publicación
conference hiker	excursionista de conferencia
последний срок бронирования гостиницы	Fecha límite de reservación de Hotel
автомобиль	coche
мероприятие конференции	evento Conferencia
регистрационный взнос aвтор, участник	cuota de inscripción del autor, expositor
один день конференции	Conferencia de un día
симуляция	simulación
работник-докладчик	trabajador-Relator
здание конференции	Building Conference
время	tiempo
исследование	estudio
краткое вступление председателя секции	una breve introducción de la sección
взнос	contribución
один день докладчик	un día él
университет докладчика	Universidad de ponente
отправление	la administración de
книга сборника трудов	la colección de libros de obras
пригородный автобус	autobús suburbano
город докладчика	Reportero ciudad
не член iasted	No es miembro de la iasted
житкокристаллический проектор	Žitkokristalličeskij proyector
окончательный манускрипт	el manuscrito final
диск сборника трудов	CD recopilatorio de obras
одноместный гостиничный номер	Habitación individual
гостиница конференции	Hotel Conference
проигрыватель видео кассет	video cassette player
последний срок регистрации	el plazo de inscripción
такси	taxi
компьютер	computadora
взнос за дополнительную поездку	tarifa de viaje adicional
членский регистрационный взнос	cuota de inscripción
двуспальный гостиничный номер	Habitación doble
кем посылается	¿Quién es enviado
занимает	Toma
связан с	se asocia con
используется	usado
до	hasta
запланировано на	programado para
кем подписывается	quien suscribe
присутствует во время	presente durante la
получает	Obtiene el
производится из	producido a partir de
происходить после	ocurrir después de la
посылает	envía
кем оплачивается	¿Quién es pagado
чем оплачивается	que paga
кем пишется	Lo que está escrito
оборудован	características
оплачивает	paga
кем посещается	¿Quién es visitado
требуется для	se requiere para
используется для	se utiliza para
даёт	da
кем используется	¿Quién usa
готовит	se prepara
кем готовится	¿Quién está preparando
находится в	está en
кем представлен	presentado por
докладывает в	Informe en el
где оплачивается	donde pagar
кому представлен	quien presentó
чем занимается	¿Qué significa
происходить до	ocurren antes de
за что оплачивается	Lo que se paga
посылается после	enviado después de la
пристутствует в	pristutstvuet en
разработан для	diseñado para
происходит в	se produce en
посылается до	se envía a la
подписывает	signos
требует	requiere
регистрация sigkdd членов	registro de membresía sigkdd
награда	Premio
платиновый спонсор	Patrocinador platino
награда за лучшую научную статью	Premio al mejor trabajo de investigación
регистрация не членов	registro de miembros de la
последний срок уведомления авторов	el plazo para la notificación de autores
автор статьи студент	el autor del artículo del estudiante
программный председатель	silla de programa
комитет по наградам за лучшую статью	Comité de premios por mejor artículo
бронзовый спонсор	Patrocinador Bronce
регистация студентов	registro de estudiantes
регистрация sigmod членов	registro de miembros SIGMOD
награда за лучшую прикладную статью	Premio al mejor artículo aplicada
последний срок подачи аннотаций	el plazo para la presentación de resúmenes
спонсорский взнос	cuota de patrocinio
золотой спонсор	Sponsor Gold
серебрянный спонсор	Sponsor Silver
вебмастер	webmaster
конференц-зал	Sala de conferencias
награда за лучшую студенческую статью	Premio mejor trabajo de estudiante
программный комитет	Comité de programa
член организационного комитета	Miembro del Comité Organizador
последний срок подачи статей	la fecha límite para la presentación de artículos
acm sigkdd	ACM sigkdd
спонсор награды за лучшую студенческую статью	patrocinador de premios para el mejor papel de estudiante
комитет	Comité
гостиница	Hotel
экспонент	Expositor
национальность	la nacionalidad de la
цена	precio
отправить до	enviar a
оплачивается	se paga
начало конференции	Inicio de la Conferencia
кем разработан	¿Quién diseñó
название конференции	Título de la Conferencia
окончание конференции	final de conferencia
имя спонсора	nombre del patrocinador
поиск	Búsqueda de
отправить	Enviar
кем найден	Nadie encontró
уведомляет до	notificará a la
кем награждён	quien otorgó
поддерживается	apoyado
платит	paga
может остановиться в	puede permanecer en
поддерживает	soporta
презентуется	se presenta
дизайн	diseño
индивидуальная презентация	Presentación privada
научная тема	el tema científico
положительная рецензия	crítica positiva
поздно зарегистрированный участник	último miembro registrado
hiker	excursionista
