ملخص البحث	Resumen de la búsqueda
فندق المقدم	Hotel previsto
مبلغ من المال	La cantidad de dinero
رسالة الدعوة	Carta de invitación
الدولة	Estado
البند (بشكل عام)	Artículo (generalmente)
محاضرة العامة	Conferencia pública
مؤتمر في يوم واحد  	Conferencia de un día  
متنزه المؤتمر	El parque de la Conferencia
محاضرة	Conferencia
محاضر	Profesor
نشاط رفض مخطوطة	Activamente rechazar un manuscrito
رسوم التسجيل لغير عضو	Cuota de inscripción no miembros
فندق المؤتمر	Conferencia Hotel
المدينة حيث يأتي منها المقدم	La ciudad de donde viene el presentador
اليوم المسندة من أجل رحلة	El día asignado para viaje
الدولة الراعي	Estado Pastor
تأشيرة	Visa
استمارة التسجيل المؤتمر	Formulario de inscripción Conferencia
استراحة القهوة	Coffee break
استمارة المعلومات الكاتب	Formulario de información del escritor
غيض	Punta
المقدم الذي يقدم فقط في يوم واحد	Sólo en un día presentó
آخر موعد	Fecha límite de
مركبة النقل	ATV
شاحنة صغيرة	Carro pequeño
محاضرة ملقاة من قبل متحدث	Conferencia abandonada por altavoz
غرف الفندق المزدوجة	Habitaciones dobles
استمارة	Formulario de solicitud
قرص المتابعة	El disco de seguimiento
نشاط يجري قبل مؤتمر	Actividad llevada a cabo por el
العملة	Moneda
مطارالمؤتمر	Mtaralmo'tmer
آخر موعد للارسال	La fecha límite para el envío de
الساعة	En
جامعة المقدم	La Universidad presentada
الرعاية	Cuidado
عرض باور بوينت	Presentación de PowerPoint
الكاتب الذي سيستلم محضر الابحاث على شكل قرص	El escritor recibirá minutos de investigación en un
الراعي	Pastor
بطاقة	Tarjeta
مأدبة عشاء	Cena
حافلات مكوكية	Autobuses
قائمة البريد الالكتروني	Lista de correo electrónico
الضرائب	Impuestos
عضو في iasted	Miembro de la iasted
رسوم التسجيل من غير الكاتب	Matrícula del escritor no
مطعم المؤتمر	Conferencia de restaurante
فندق استمارة التسجيل	Formulario de registro de Hotel
التسجيل	Registro
كلمة ترحيبية	Bienvenida
منطقة زمنية	Zona horaria
مكان	Lugar
غرفة الفندق	Habitación de Hotel
سجل الحضور	Registro de asistencia
نشاط النمذجة	Modelado de la actividad
أي نوع من وثيقة	Cualquier tipo de documento
المتحدث إعطاء محاضرة أمام الكنيست	Altavoz para dar una Conferencia ante la Knéset.
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر مقابل استلام محضر الابحاث على شكل قرص	Cuotas de inscripción pagadas por el presente escritor en comparación con registro de recepción de la investigación en la forma de un disco
غير المتحدث	Pero el altavoz
المتحدث	Altavoz
المدينة التي هي مكان من أجل الرحلة	La ciudad es el lugar para el viaje
النشاط الفني	Actividad artística
مغادرة	Licencia
رسوم فندق	Tarifas de Hotel
المخطوطة الأولية  	Manuscrito inicial  
نشاط يجري بعد مؤتمر	Actividad realizada después de la Conferencia
(مندوب (شخص يسجيل ويزور المؤتمر	(Delegado (ysgil y visita la Conferencia
نشاط تأجير سيارة	Actividad de alquiler de coches
المخطوط النهائي	El manuscrito final
مشغل شريط فيديو 	Reproductor de vídeo 
 الفيديوعرض التقديمي	 Presentación de Alvidioard
المكتب الرئيسي	Oficina principal
تستعد / يعد	Los engranajes son
يعطي	Dar
يحتاج	Necesidades de
يحصل 	Obtiene 
يحصل	Obtiene
تم انعقاده في	Se realizó en
(يشغل (يعيش، يقيم	((En vivo, que funciona
تم إرساله قبل	Enviado por
تم استخدامه من اجل	Se utiliza para
تم كتابته من قبل	Publicado por
تم دفعه مع	Pagado con
تم إرساله بعد	Enviado después de
يرسل	Enviar
تم اعطاءه من قبل	Está dada por
تم دفعه من اجل	Pagados a
تم توقيعه من قبل	Firmado por el
تم إرساله من قبل	Enviado por
تم اعطاءه ل/ من اجل	Dio/para
تم زيارته من قبل	La visita de
يمر عبر	Pasa a través de
تم تصميمه من اجل	Está diseñado para
تم انعقاده قبل	Se realizó por
يدفع	Pagar
تم بتاريخ	En
يتعين القيام به حتى	Para hacerlo
لديه قدر من	Tiene algunas
تم صنعه من	Se hace de
تم اعداده من قبل	Preparado por
تم تشغيله من قبل	Está a cargo de
تم تشغيله من قبل 	Está a cargo de 
تم دفعه في	Pagado
تم تجهيزه من اجل	Equipado para
يوقع	Signo de
يتحدث في وقت أو في مكان	Hablando en el momento o lugar
تم استخدامه من قبل	Fue utilizado por
تم حاجة من اجل	Es necesario para
يكتب	Escribir
تم ارتباطه مع	Ha asociado con
يقع محليا في	Ubicado localmente en
تم انعقاده بعد	Se llevó a cabo después de la
موجود في زمان أو مكان	Existen en el tiempo o lugar
تم دفعه من قبل	Pagado por
موجود في الوقت	Existen en el tiempo
الراعي البلاتيني للمؤتمر	Patrocinador Platinum de la Conferencia
كاتب البحث طالب  	Escritor de búsqueda estudiante  
الراعي كمقدم	Patrocinador un proveedor
عضو اللجنة العلمية	Miembro del Comité científico
آخر موعد لتسليم ملخصات الأبحاث	Fecha límite para entrega de resúmenes
المكتب الرئيسي للمؤتمر	Oficina principal de la Conferencia
مكان انعقاد المؤتمر	Lugar de la Conferencia
أفضل بحث تطبيقي	Mejor investigación aplicada
منظمي المؤتمر	Organizadores de la Conferencia
اللجنة التحضيرية	El Comité Preparatorio
الوثيقة	Documento
sig رسوم التسجيل للاشخاص الذين ليسوا أعضاء	Cuota de inscripción de SIG para las personas que no son miembros
الفندق	Hotel
جائزة لأفضل مقالة في المؤتمر	Premio mejor artículo en Conferencia
sigkdd رسوم التسجيل لأعضاء	Estylf08 de la matrícula para los miembros
لجنة لاختيار أفضل البحوث	El Comité para seleccionar el mejor trabajo de investigación
الراعي البرونزي للمؤتمر	Patrocinador bronce de la Conferencia
sigmod رسوم التسجيل لأعضاء	SIGMOD matrícula para miembros
المسؤول عن الموقع	Webmaster
عضو اللجنة التحضيرية	Miembro del Comité Preparatorio
الراعي لأفضل بحث طالب	Patrocinador del mejor estudiante de investigación
رسوم التسجيل لطالب	Cuota de inscripción para los estudiantes
المؤتمر acm sigkdd	ACM ESTYLF08 Conferencia
رسوم المؤتمر	Cuotas de la Conferencia
مراجع الحسابات المؤتمر	Conferencia de auditor
المحاضر المدعو	Registros de invitado
الراعى الفضى للمؤتمر	Patrocinador plata de la Conferencia
كاتب	Escritor
رسوم الرعاة	Cuotas de patrocinadores
آخر موعد للإخطار الباحثين	El plazo para la notificación de los investigadores
مستمع المؤتمر	Una conferencia
مدير المؤتمر	Conference Manager
لجان المؤتمر	Comités de la Conferencia
الراعي الذهبي للمؤتمر	Patrocinador de oro de la Conferencia
 آخر موعد لإرسال البحوث 	 El plazo para presentar la investigación 
جائزة لأفضل مقالة بحث	Premio para la mejor búsqueda de artículo
الرعاة	Pastores
جائزة أفضل بحث لطالب	Premio a la investigación estudiantil
كاتب البحث	Búsqueda de autor
لديه اسم المؤتمر	Tiene el nombre de la Conferencia
مؤرخ على	Fecha en la
لديه الجنسية	Tiene relaciones sexuales
رسوم التسجيل هي بالعملة	La cuota de inscripción es en moneda
مؤتمر عقد في مدينة	Una conferencia celebrada en la ciudad
يمكن البقاء في	Usted puede permanecer en
التي تمنحها	Otorgado por
رسوم التسجيل المدفوعة من قبل	Cuotas de inscripción pagadas por
دفع رسوم التسجيل	Pago de matrícula
قد قدم من جانب	Fue presentado por
إرسال البحث	Enviar búsqueda
آخر موعد المحدد من اجل	La fecha límite especificada para
موعد أول يوم من المؤتمر	La fecha de la primera jornada de la Conferencia
لديه السعر	Tiene un precio
لديه اسم الراعي	Tiene el nombre del patrocinador
موعد اليوم الأخير من المؤتمر	Fecha de la última jornada de la Conferencia
تنظيم المؤتمر	La organización de la Conferencia
مؤتمر منظم من قبل	Conferencia organizada por
لديه جائزة	Tiene el premio
الدعوة من اجل الراعي	Convocatoria de patrocinador
جائزة متحصل عليها	Atribución de premio
لديه آخر موعد لإرسال	Tiene el plazo de presentación
الرعاة مدعوين من قبل	Invitados por los patrocinadores
تحديد آخر موعد	Especificar la fecha del último
 تحديد آخر موعد	 Especificar la fecha del último
 يقدم الوثيقة	 Presentar un documento de
يقدم الوثيقة	Presentar un documento de
