ملخص البحث	Поиск резюме
متحدث المدعو	Приглашался для выступлений
جزء من المؤتمر	Частью Конференции
مساهمة المؤتمر	Вклад Конференции
الموضوع	Тема
سلسله المؤتمر	Серия конференций
كاتب المساهمة	Соавтор
مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر	Конференция заявитель, что побудило ранних Оргвзнос
شبكة الإنترنت العنكبوتية للمؤتمر	Паук веб-конференции
دعوة للمشاركة	Приглашение к участию
ملصق	Плакат
محضر المؤتمر	Минуты конференции
مشارك ايجابي في المؤتمر	Позитивное участие в Конференции
لديه اللقب	Имеет титул
تاريخ ارسال البحث كامل	Дата отправки весь вид
اليوم محطة	Сегодня станция
لديه الجنس	Занимается сексом
موقع المؤتمر	Сайт конференции
 موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	 Паук веб-сайта llmo'tmerho
موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	Паук веб-сайта llmo'tmerho
درجة خبرة المراجع	Степени опыт ссылки
isbn محضر	Минуты isbn
لديه الاسم الأول	Имеет имя
رقم حجم المحضر	Объем номер записи
انها اللجنة العلمية للمؤتمر	Это научный комитет
لديه البرنامج التعليمي	Он имеет учебник
لجنة المؤتمر هي	Комитет Конференции
لديه جزء	Часть
لديه تاريخ مهم	Важные даты
لديه موضوع ورشة عمل	Темой семинара
مدعو من المراجع	Приглашенные рецензент
تاريخ ارسال الملخصات	Дата подачи тезисов
درجة تفضيل مراجعة	Степень предпочтения редакция
تاريخ الارسال بعد إجراء التعديل	Дата отправки после повторного нанесения размеров
تاريخ البداية	Дата начала
تاريخ إخطار القبول	Дата уведомления о принятии
نشرت بتاريخ	Опубликовано
لديه رئيس اللجنة	Председатель Комитета
يساهم في المؤتمر	Участие в Конференции
لديه رئيس مشترك لللجنة	Председатель Комитета совместных
لديه الكاتب	Был автором
هو الرئيس المشترك للجنة	Председатель совместной комиссии
مساهمة المراجعة	Вклад аудита
يجعل العرض التقديمي	Создание презентации
هي لجنة المؤتمر	Комитет Конференции
مرسلة إلى	Направил
لديه ملخص	Имеет резюме
اللجنة المنظمة للمؤتمر هي	Организационный комитет Конференции
اللجنة التوجيهية للمؤتمر	Руководящий комитет Конференции
ينشر	Опубликовано
لديه مراجعة	Имеет обзор
مقدم من قبل	Представленный
تم تسنيد افضلية المراجعة	Секьюритизация аудита является приоритетом
اللجنة المنظمة للمؤتمر	Организационный комитет Конференции
لديه مساهمة	Вклад
لديه موضوع أو مساهمة مرسلة	Предмет или взносов прислал
يدعو المراجع المشترك	Звонки для общих ссылок
هو عضو في	Он является членом
لديه رئيس ورشة عمل	Председатель рабочего совещания
موضوع هو جزء من مؤتمر	Предмет является частью Конференции
لديه ورشة عمل	Он имеет мастерскую
تاريخ مهم من سلسلة المؤتمر	Дата конференции серии
لديه مساهمة مرسلة	Он послал вклад
موضوع مرتبط بافضلية المراجعة	Тема, связанная с обзором приоритет
لديه خبرة المراجعة	Опыт аудита
افضلية أو خبرة المراجعة هي	Предпочтений или опыт аудита
هو الجزء الأول من	Это первая часть
انه رئيس ورشة عمل ل	Он был Председателем рабочего совещания
لديه المسار	Путь
منشر المحضر هو	Сушка стойку запись
هو رئيس الجنة	Является главой рая
الجنة العلمية للمؤتمرهي	Научный комитет llmo'tmerhi
أفضلية أو خبرة المراجع	Ссылки на предпочтения или опыт
اللجنة التوجيهية للمؤتمر هي	Руководящий комитет Конференции
الجامعة	Университет
مشارك	Участник
الحدث	События
رحلة	Путешествие
حدث تسجيل الحدث المشاركين	Участники событий журнала событий
حدث عملي	Мои события
مساهمة	Вклад
المشرف	Администратор
منظمة	Организации
حدث إرسال نسخة بعد اجراء التعديل جاهزة للتصوير	Копирование событий после повторного нанесения размеров готовы к фотографии
شخص مشارك مع المؤتمر	Люди ассоциировать с конференции
الشركة	Компания
طالب	Студент
المساعد	Плагин
المدينة	Город
حدث المراجعة	Событие аудита
حدث نتائج المراجعة 	Результаты аудита событий 
الكاتب	Писатель
مأدبة	Banquet
الحدث الإداري	Административные события
بحث قصير	Короткий Поиск
عامل العلم	Деятель науки
حدث الارسال	Добавить событие
بحث	Поиск
مشارك منتظم في المؤتمر	Регулярный участник конференции
متطوع في المؤتمر	Волонтер Конференция
الحدث الاجتماعي	Социальные мероприятия
لاشيئ	Ничего не
طالب مشارك في المؤتمر	Студенты, участвующие в Конференции
بلد	Страна
استقبال	Прием
رئيس اللجنة الغلمية	Председатель Комиссии alghlmet
المشارك في المؤتمر لديه التسجيل مبكر	Ранняя регистрация Конференции имеет
لديه الرمز البريدي	Она имеет почтовый индекс
تحديد أقل عدد من الحدث	Определить минимальное количество событий
بدء يوم الحدث	Начать день мероприятия
لديه الفاكس	Имеется Факс
لديه ملاحظة	Записка
لديه قيمة ضريبة مضافة	Имеет добавленную стоимость налог
تحديد العدد الأقصى من الحدث	Укажите максимальное количество событий
البقاء في الشارع	Пребывание на улице
لديه الهاتف	Телефон
لديه الصفحة الرئيسية	Главная имеет
لديه كلمات البحث	Есть поиск по ключевым словам
بتوازي مع	Параллельно с
دراسة في الجامعة	Исследование в университете
لديه الحدث الإداري ذات الصلة	Имеет соответствующие административные события
كتب من قبل الكاتب	Книги по автору
المراجعين	Отзывы
متستخدمة من قبل	По mtstkhdmh
البقاء في البلد	Пребывание в стране
يتعامل مع الموضوع	Работа с предметом
لديه عنوان قصير	Имеет короткий URL
لديه عنوان 	Имеет титул 
لديه اتصال البريد الإلكتروني	Контакт по электронной почте
انتهاء يوم الحدث	К концу дня события
حدث يقام في	Мероприятие проводится в
تحديد عدد الخيار الافتراضي من الحدث	Выберите количество событий по умолчанию
تحديد عدد الخيار الافتراضي من الحدث 	Выберите количество событий по умолчанию 
خبير في الموضوع	Эксперт в теме
يتبع	Следуйте
لديه موضوع	Темой
البقاء في المدينة	Пребывание в городе
يكتب المساهمة	Написать свой вклад
مقدمة موجزة لرئيس الجلسة	Краткое введение Модератор
بيت المقدم	Полковник дом
منزل شركة كونها الراعي	Главная Компания пастух
دولة المقدم	Государство обеспечивает
ليس عضوا في iasted	Не является членом iasted
طالب  غير متحدث	Non студент спикер
غرفة الجلسة	Конференц-зал
المدينة حيث ينعقد المؤتمر	Город где Конференция
المستمع	Прослушиватель
مقدمة	Введение
رئيس الجلسة	Кресло
سيارات الأجرة	Такси
الموعد النهائي لتقديم النصي الكاميرا جاهزة	Крайний срок для представления камеры готовый скрипт
العامل الغير المتحدث	Нерабочий спикер
أيام المؤتمر	Дни конференции
 كوكتيل الاستقبال 	 Коктейль-прием 
جهاز عرض الإسقاط الضوئي شاشات الكريستال السائل	Оптической проекцией LCD проектор
غرف الفندق المفردة	Одноместные номера
وثيقة الدفع	Платежный документ
الحاسوب	Компьютер
اللجنة التقنية	Технический Комитет
نشاط	Деятельность
رسم لرحلة اضافية	Плата за дополнительный рейс
الموعد النهائي لحجز الفنادق	Крайний срок бронирования
رسوم التسجيل للعضو	Регистрационные сборы для члена
طالب المحاضر	Студента отчеты
ضريبة المغادرة	Выезд налог
النشاط البحثي	Научно-исследовательская деятельность
قيمة المضافة للضرائب	Налог на добавленную стоимость
الصك	Инструмент
كتابر المحضر	Ktaber запись
الارسال	Передатчик
جلسة	Сессия
سيارة	Автомобиль
المؤلف الذي سيستلم إجراءات وكتاب	Автор получит сборник
جولة ليوم كامل	Тур на полный день
جهاز عرض ضوئي	Проектор
مقدمة المتحدث	Спикер введение
نشر	Публикации
تحويل مصرفي	Банковский перевод
المعدات السمعية والبصرية	Аудио-визуальное оборудование
المتحدث الذي يقدم البرنامج التعليمي	Оратор предлагает учебник
العامل المحاضر	Рабочие записи
آخر موعد لإخطار القبول	Крайний срок для уведомления о принятии
آخر موعد للتسجيل	Крайний срок для регистрации
الشفافية العامة	Обеспечение прозрачности
بطاقة الائتمان	Кредитная карта
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر من اجل استلام محضر الابحاث على شكل كتاب	Регистрационные сборы, выплачиваемые настоящий писатель получить минут исследования в виде книги
مبنى المؤتمرات	Конференционное здание
المدينة حيث يأتي منها الراعي	Город, откуда пастух
قاعة المؤتمر	Конференц-зал
نشاط المحاكاة	Моделирование деятельности
نشاط القبول مخطوطة	Рукопись признание деятельности
نشاط يحدث خلال المؤتمر	Действие происходит во время конференции
رسوم التسجيل للطالب	Регистрационные сборы для студента
نشاط استلام مخطوطة	Действие получения рукописи
المبنى	Здание
رسوم	Сборы
الدولة حيث ينعقد المؤتمر	Государством, когда Конференция
رسوم التسجيل	Регистрационные сборы
النشاط الاجتماعي	Социальная активность
فندق المقدم	Отель
مبلغ من المال	Количество денег
رسالة الدعوة	Письмо-приглашение
الدولة	Государство
البند (بشكل عام)	Пункт (как правило)
محاضرة العامة	Публичная лекция
مؤتمر في يوم واحد  	Конференция в один день  
متنزه المؤتمر	На Конференции парк
محاضرة	Лекция
محاضر	Преподаватель
نشاط رفض مخطوطة	Активно отвергают рукописи
رسوم التسجيل لغير عضو	Не являющиеся членами регистрационный взнос
فندق المؤتمر	Отель Конференция
المدينة حيث يأتي منها المقدم	Город, где ведущий приходит от
اليوم المسندة من أجل رحلة	День, назначенный для поездки
الدولة الراعي	Государственный пастух
تأشيرة	Визы
استمارة التسجيل المؤتمر	Бланк регистрации участника конференции
استراحة القهوة	Кофе-брейк
استمارة المعلومات الكاتب	Информационная форма писатель
غيض	Подсказка
المقدم الذي يقدم فقط في يوم واحد	Заявил, что только за один день
آخر موعد	Крайний срок
مركبة النقل	ATV
شاحنة صغيرة	Небольшой грузовик
محاضرة ملقاة من قبل متحدث	Лекция, сбрасывали спикер
غرف الفندق المزدوجة	Двухместные номера
استمارة	Форма заявки
قرص المتابعة	Последующей диск
نشاط يجري قبل مؤتمر	Деятельность ведется по
العملة	Валюта
مطارالمؤتمر	Mtaralmo'tmer
آخر موعد للارسال	Крайний срок для отправки
الساعة	В
جامعة المقدم	Университет представил
الرعاية	Уход
عرض باور بوينت	Презентация PowerPoint
الكاتب الذي سيستلم محضر الابحاث على شكل قرص	Писатель, который получит минут исследования на
الراعي	Пастух
بطاقة	Карта
مأدبة عشاء	Ужин
حافلات مكوكية	Маршрутные автобусы
قائمة البريد الالكتروني	Список адресов электронной почты
الضرائب	Налоги
عضو في iasted	Член iasted
رسوم التسجيل من غير الكاتب	Регистрационные сборы от не писатель
مطعم المؤتمر	Ресторан конференции
فندق استمارة التسجيل	Форма регистрации Гостиницы
التسجيل	Регистрация
كلمة ترحيبية	Добро пожаловать
منطقة زمنية	Часовой пояс
مكان	Место
غرفة الفندق	Номер отеля
سجل الحضور	Рекорд посещаемости
نشاط النمذجة	Моделирование деятельности
أي نوع من وثيقة	Любой тип документа
المتحدث إعطاء محاضرة أمام الكنيست	Спикер дать лекцию перед Кнессета
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر مقابل استلام محضر الابحاث على شكل قرص	Регистрационные сборы, выплачиваемые настоящий писатель по сравнению получения запись исследований в форме диска
غير المتحدث	Но динамика
المتحدث	Спикер
المدينة التي هي مكان من أجل الرحلة	Город является местом для путешествия
النشاط الفني	Артистическая деятельность
مغادرة	Отпуск
رسوم فندق	Отель сборы
المخطوطة الأولية  	Первоначальный манускрипт  
نشاط يجري بعد مؤتمر	Деятельность после Конференции
(مندوب (شخص يسجيل ويزور المؤتمر	(Делегат (ysgil и посетить конференции
نشاط تأجير سيارة	Активность Прокат автомобилей
المخطوط النهائي	Окончательный вариант рукописи
مشغل شريط فيديو 	Видео проигрыватель 
 الفيديوعرض التقديمي	 Презентация Alvidioard
المكتب الرئيسي	Главный офис
تستعد / يعد	Зубчатых колес
يعطي	Давать
يحتاج	Потребности
يحصل 	Получает 
يحصل	Получает
تم انعقاده في	Он был проведен в
(يشغل (يعيش، يقيم	(Работает (живой,
تم إرساله قبل	Отправленные
تم استخدامه من اجل	Он используется для
تم كتابته من قبل	Написал
تم دفعه مع	Заплатил
تم إرساله بعد	После
يرسل	Отправить
تم اعطاءه من قبل	Задается
تم دفعه من اجل	Уделено
تم توقيعه من قبل	Подписано
تم إرساله من قبل	Отправленные
تم اعطاءه ل/ من اجل	Дал для /
تم زيارته من قبل	Посетил
يمر عبر	Проходит через
تم تصميمه من اجل	Предназначен для
تم انعقاده قبل	Он был проведен в
يدفع	Оплатить
تم بتاريخ	На
يتعين القيام به حتى	Для этого
لديه قدر من	Имеет некоторые
تم صنعه من	Изготовлен из
تم اعداده من قبل	Подготовленный
تم تشغيله من قبل	Он находится в ведении
تم تشغيله من قبل 	Он находится в ведении 
تم دفعه في	Выплачивается в
تم تجهيزه من اجل	Оборудованы для
يوقع	Знак
يتحدث في وقت أو في مكان	Выступая на время или место
تم استخدامه من قبل	Был использован
تم حاجة من اجل	Существует необходимость
يكتب	Написать
تم ارتباطه مع	Связан с
يقع محليا في	Расположенный локально в
تم انعقاده بعد	Он был проведен после
موجود في زمان أو مكان	Существует время или место
تم دفعه من قبل	Оплачивается
موجود في الوقت	Существует во времени
الراعي البلاتيني للمؤتمر	Платиновый спонсор конференции
كاتب البحث طالب  	Поиск студент писатель  
الراعي كمقدم	Спонсор поставщика
عضو اللجنة العلمية	Член научного комитета
آخر موعد لتسليم ملخصات الأبحاث	Срок доставки тезисов
المكتب الرئيسي للمؤتمر	Главный офис конференции
مكان انعقاد المؤتمر	Место проведения Конференции
أفضل بحث تطبيقي	Лучше всего прикладные исследования
منظمي المؤتمر	Организаторы конференции
اللجنة التحضيرية	Подготовительный комитет
الوثيقة	Документ
sig رسوم التسجيل للاشخاص الذين ليسوا أعضاء	SIG регистрационный взнос для лиц, не являющихся членами
الفندق	Отель
جائزة لأفضل مقالة في المؤتمر	Премия за лучшую статью в Конференции
sigkdd رسوم التسجيل لأعضاء	Sigkdd регистрационный взнос для членов
لجنة لاختيار أفضل البحوث	Комитет для выбора лучших исследований
الراعي البرونزي للمؤتمر	Бронзовый спонсор конференции
sigmod رسوم التسجيل لأعضاء	SIGMOD регистрационных сборов для членов
المسؤول عن الموقع	Для веб-мастеров
عضو اللجنة التحضيرية	Член Подготовительного комитета
الراعي لأفضل بحث طالب	Авторов лучших студенческих исследований
رسوم التسجيل لطالب	Регистрационный взнос для студентов
المؤتمر acm sigkdd	ACM sigkdd конференции
رسوم المؤتمر	Стоимость
مراجع الحسابات المؤتمر	Ревизора Конференция
المحاضر المدعو	Приглашенный эксперт записей
الراعى الفضى للمؤتمر	Серебряный спонсор конференции
كاتب	Писатель
رسوم الرعاة	Спонсоры сборов
آخر موعد للإخطار الباحثين	Крайний срок для уведомления о исследователей
مستمع المؤتمر	Одна конференция
مدير المؤتمر	Менеджер конференции
لجان المؤتمر	Комитеты Конференции
الراعي الذهبي للمؤتمر	Золотой спонсор конференции
 آخر موعد لإرسال البحوث 	 Крайний срок для представления исследований 
جائزة لأفضل مقالة بحث	Премия за лучший Поиск статьи
الرعاة	Пастухи
جائزة أفضل بحث لطالب	Студенческая премия
كاتب البحث	Поиск по автору
لديه اسم المؤتمر	Имя конференции
مؤرخ على	От на
لديه الجنسية	Занимается сексом
رسوم التسجيل هي بالعملة	Регистрационный взнос составляет в валюте
مؤتمر عقد في مدينة	На Конференции, состоявшейся в городе
يمكن البقاء في	Вы можете остановиться в
التي تمنحها	Награжден
رسوم التسجيل المدفوعة من قبل	Регистрационные сборы, выплачиваемые
دفع رسوم التسجيل	Оплата регистрационных сборов
قد قدم من جانب	Был представлен
إرسال البحث	Отправить Поиск
آخر موعد المحدد من اجل	Крайний срок, указанный для
موعد أول يوم من المؤتمر	Дата первого дня Конференции
لديه السعر	Имеет свою цену
لديه اسم الراعي	Имя спонсора
موعد اليوم الأخير من المؤتمر	Дата последнего дня Конференции
تنظيم المؤتمر	Организация конференции
مؤتمر منظم من قبل	Конференция, организованная
لديه جائزة	Есть приз
الدعوة من اجل الراعي	Вызов для спонсора
جائزة متحصل عليها	Наделение премии
لديه آخر موعد لإرسال	Есть крайний срок для представления
الرعاة مدعوين من قبل	Приглашенные авторы
تحديد آخر موعد	Укажите последнюю дату
 تحديد آخر موعد	 Укажите последнюю дату
 يقدم الوثيقة	 Отправить документ
يقدم الوثيقة	Отправить документ
