ملخص البحث	搜索摘要
مساهمة مراجعة	贡献审计
متحدث المدعو	邀请的演讲者
جزء من المؤتمر	会议的一部分
مساهمة المؤتمر	会议的贡献
الموضوع	主题
سلسله المؤتمر	会议系列
كاتب المساهمة	贡献的作者
مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر	申请人会议促使早期会议费
شبكة الإنترنت العنكبوتية للمؤتمر	蜘蛛 Web 会议
دعوة للمشاركة	受邀参与
ملصق	海报
محضر المؤتمر	分钟的会议
مشارك ايجابي في المؤتمر	在裁谈会的积极参与者
لديه اللقب	有标题
تاريخ ارسال البحث كامل	发送的整体外观的日期
اليوم محطة	今天站
لديه الجنس	发生性关系
موقع المؤتمر	会议现场
 موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	蜘蛛的网站 llmo'tmerho
موقع شبكة الإنترنت العنكبوتية للمؤتمرهو	蜘蛛的网站 llmo'tmerho
درجة خبرة المراجع	学历经验参考
isbn محضر	分钟的国际标准书号
لديه الاسم الأول	有一个名字
رقم حجم المحضر	卷数记录
انها اللجنة العلمية للمؤتمر	它是科学委员会
لديه البرنامج التعليمي	他有教程
لجنة المؤتمر هي	会议委员会是
لديه جزء	有部分
لديه تاريخ مهم	有个重要约会
لديه موضوع ورشة عمل	研讨会的主题
مدعو من المراجع	被邀请的审阅者
تاريخ ارسال الملخصات	摘要提交的日期
درجة تفضيل مراجعة	程度的偏好修订
تاريخ الارسال بعد إجراء التعديل	发送后重新标注日期
تاريخ البداية	开始日期
تاريخ إخطار القبول	接受的通知的日期
نشرت بتاريخ	张贴在
لديه رئيس اللجنة	有委员会的主席
يساهم في المؤتمر	参加会议
لديه رئيس مشترك لللجنة	已联合委员会主席
لديه الكاتب	有的作者
هو الرئيس المشترك للجنة	联合委员会主席
مساهمة المراجعة	贡献审计
يجعل العرض التقديمي	制作演示文稿
هي لجنة المؤتمر	是会议委员会
مرسلة إلى	发送到
لديه ملخص	有摘要
اللجنة المنظمة للمؤتمر هي	会议组织委员会
اللجنة التوجيهية للمؤتمر	督导委员会的会议
ينشر	出版
لديه مراجعة	已审查
مقدم من قبل	提交意见
تم تسنيد افضلية المراجعة	证券化审计是优先
اللجنة المنظمة للمؤتمر	会议组织委员会
لديه مساهمة	有贡献
لديه موضوع أو مساهمة مرسلة	有的主题或捐款派来的
يدعو المراجع المشترك	常见的引用调用
هو عضو في	他是的成员
لديه رئيس ورشة عمل	有主席的讲习班
موضوع هو جزء من مؤتمر	这个问题是会议的一部分
لديه ورشة عمل	他有一个工作坊
تاريخ مهم من سلسلة المؤتمر	会议系列日期
لديه مساهمة مرسلة	他已发送的贡献
موضوع مرتبط بافضلية المراجعة	与优先审查关联的主题
لديه خبرة المراجعة	审计工作经验
افضلية أو خبرة المراجعة هي	偏好或经验的审计
هو الجزء الأول من	是第一部分
انه رئيس ورشة عمل ل	他是讲习班的主席
لديه المسار	有一条路
منشر المحضر هو	干燥架记录是
هو رئيس الجنة	是天堂的头
الجنة العلمية للمؤتمرهي	科学委员会 llmo'tmerhi
أفضلية أو خبرة المراجع	偏好或经验的引用
اللجنة التوجيهية للمؤتمر هي	指导委员会的会议
الجامعة	大学
مشارك	参与者
الحدث	事件
رحلة	旅行
حدث تسجيل الحدث المشاركين	事件日志事件参与者
حدث عملي	我的事件
مساهمة	贡献
المشرف	管理员
منظمة	组织
حدث إرسال نسخة بعد اجراء التعديل جاهزة للتصوير	后重新标注准备好摄影复制事件
شخص مشارك مع المؤتمر	人们将与会议相关联
الشركة	公司
طالب	学生
المساعد	插件
المدينة	城市
حدث المراجعة	审核事件
حدث نتائج المراجعة 	事件审核结果
الكاتب	作家
مأدبة	宴会
الحدث الإداري	管理事件
بحث قصير	短的搜索
عامل العلم	科学工作者
حدث الارسال	提交事件
بحث	搜索
مشارك منتظم في المؤتمر	定期参加会议
متطوع في المؤتمر	志愿者会议
الحدث الاجتماعي	社会事件
لاشيئ	什么都不
طالب مشارك في المؤتمر	学生参加会议
بلد	国家
استقبال	接待处
رئيس اللجنة الغلمية	主席的委员会 alghalmih
المشارك في المؤتمر لديه التسجيل مبكر	会议早期注册了
لديه الرمز البريدي	它有一个 zip 代码
تحديد أقل عدد من الحدث	确定事件的最小数目
بدء يوم الحدث	开始一天的事件
لديه الفاكس	有一份传真
لديه ملاحظة	有的说明
لديه قيمة ضريبة مضافة	已添加一个值税
تحديد العدد الأقصى من الحدث	指定事件的最大数目
البقاء في الشارع	留在大街上
لديه الهاتف	有手机
لديه الصفحة الرئيسية	回家了
لديه كلمات البحث	具有一个关键字搜索
بتوازي مع	与并行
دراسة في الجامعة	大学一项研究
لديه الحدث الإداري ذات الصلة	有一个相关的行政事件
كتب من قبل الكاتب	书的作者
المراجعين	审阅者
متستخدمة من قبل	由 mtstkhdmh
البقاء في البلد	留在这个国家
يتعامل مع الموضوع	问题与处理
لديه عنوان قصير	有一个短的 URL
لديه عنوان 	有标题
لديه اتصال البريد الإلكتروني	有一个联系人的电子邮件
انتهاء يوم الحدث	年底的一天的事件
حدث يقام في	在举行活动
تحديد عدد الخيار الافتراضي من الحدث	选择默认选项的事件数目
تحديد عدد الخيار الافتراضي من الحدث 	选择默认选项的事件数目
خبير في الموضوع	在主题专家
يتبع	请按照
لديه موضوع	主题
البقاء في المدينة	留在城市
يكتب المساهمة	写的贡献
مقدمة موجزة لرئيس الجلسة	简要介绍了主持人
بيت المقدم	上校的房子
منزل شركة كونها الراعي	家公司被一只牧羊犬
دولة المقدم	规定的国家
ليس عضوا في iasted	不是协会的成员
طالب  غير متحدث	非学生扬声器
غرفة الجلسة	会议室
المدينة حيث ينعقد المؤتمر	城市在哪里会议
المستمع	侦听器
مقدمة	介绍
رئيس الجلسة	椅子
سيارات الأجرة	的士
الموعد النهائي لتقديم النصي الكاميرا جاهزة	相机准备好脚本提交截止日期
العامل الغير المتحدث	非工作扬声器
أيام المؤتمر	会议天数
 كوكتيل الاستقبال 	酒会
جهاز عرض الإسقاط الضوئي شاشات الكريستال السائل	光学投影投影机液晶电视
غرف الفندق المفردة	单人间
وثيقة الدفع	付款文件
الحاسوب	计算机
اللجنة التقنية	技术委员会
نشاط	活动
رسم لرحلة اضافية	额外的飞行费用
الموعد النهائي لحجز الفنادق	酒店预订截止日期
رسوم التسجيل للعضو	会员注册费
طالب المحاضر	学生记录
ضريبة المغادرة	离境税
النشاط البحثي	研究活动
قيمة المضافة للضرائب	增值税
الصك	文书
كتابر المحضر	Ktaber 记录
الارسال	变送器
جلسة	会议
سيارة	汽车
المؤلف الذي سيستلم إجراءات وكتاب	作者将收到诉讼书
جولة ليوم كامل	一日游
جهاز عرض ضوئي	投影仪
مقدمة المتحدث	演讲人介绍
نشر	发布
تحويل مصرفي	银行转帐
المعدات السمعية والبصرية	视听设备
المتحدث الذي يقدم البرنامج التعليمي	扬声器提供的教程
العامل المحاضر	工作记录
آخر موعد لإخطار القبول	接受的通知的截止日期
آخر موعد للتسجيل	报名截止日期
الشفافية العامة	公开透明
بطاقة الائتمان	信用卡
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر من اجل استلام محضر الابحاث على شكل كتاب	本文作者以书的形式接收研究纪要交纳登记费
مبنى المؤتمرات	会议大楼
المدينة حيث يأتي منها الراعي	牧羊人是从哪里来的城市
قاعة المؤتمر	会议大厅
نشاط المحاكاة	模拟活动
نشاط القبول مخطوطة	手稿验收活动
نشاط يحدث خلال المؤتمر	在会议期间发生的活动
رسوم التسجيل للطالب	学生注册费
نشاط استلام مخطوطة	活动收到手稿
المبنى	建设
رسوم	费用
الدولة حيث ينعقد المؤتمر	状态，其中会议
رسوم التسجيل	注册费
النشاط الاجتماعي	社交活动
فندق المقدم	酒店提供
مبلغ من المال	大量资金
رسالة الدعوة	邀请信
الدولة	状态
البند (بشكل عام)	项目 (一般)
محاضرة العامة	公益讲座
مؤتمر في يوم واحد  	在一天的会议
متنزه المؤتمر	会议公园
محاضرة	讲座
محاضر	讲师
نشاط رفض مخطوطة	积极拒绝一份手稿
رسوم التسجيل لغير عضو	非会员注册费
فندق المؤتمر	酒店会议
المدينة حيث يأتي منها المقدم	主讲人是从哪里来的城市
اليوم المسندة من أجل رحلة	一天分配之旅
الدولة الراعي	国家牧羊人
تأشيرة	签证
استمارة التسجيل المؤتمر	会议注册表单
استراحة القهوة	喝咖啡休息时间
استمارة المعلومات الكاتب	信息窗体的作家
غيض	小贴士
المقدم الذي يقدم فقط في يوم واحد	仅在一天之内提交，
آخر موعد	截止日期
مركبة النقل	亚视
شاحنة صغيرة	小卡车
محاضرة ملقاة من قبل متحدث	讲座演讲者被甩了
غرف الفندق المزدوجة	双人房
استمارة	申请表格
قرص المتابعة	后续的光盘
نشاط يجري قبل مؤتمر	活动进行的
العملة	货币
مطارالمؤتمر	Mtaralmo'tmer
آخر موعد للارسال	截止日期
الساعة	在
جامعة المقدم	大学提交
الرعاية	保健
عرض باور بوينت	PowerPoint 演示文稿
الكاتب الذي سيستلم محضر الابحاث على شكل قرص	将收到分钟研究的作家
الراعي	牧羊犬
بطاقة	卡
مأدبة عشاء	晚餐
حافلات مكوكية	穿梭巴士
قائمة البريد الالكتروني	电子邮件名单
الضرائب	税收
عضو في iasted	协会的成员
رسوم التسجيل من غير الكاتب	从非作家的注册费
مطعم المؤتمر	餐厅会议
فندق استمارة التسجيل	酒店登记表格
التسجيل	注册
كلمة ترحيبية	欢迎
منطقة زمنية	时区
مكان	地方
غرفة الفندق	酒店房间
سجل الحضور	考勤记录
نشاط النمذجة	活动建模
أي نوع من وثيقة	任何类型的文档
المتحدث إعطاء محاضرة أمام الكنيست	演讲者向以色列议会演讲
رسوم التسجيل مدفوعة من قبل الكاتب الحاضر مقابل استلام محضر الابحاث على شكل قرص	由本文作者支付的注册费比较研究在一个磁盘的形式接收记录
غير المتحدث	但扬声器
المتحدث	演讲者
المدينة التي هي مكان من أجل الرحلة	城市是为这次旅行地点
النشاط الفني	艺术活动
مغادرة	离开
رسوم فندق	酒店费用
المخطوطة الأولية  	最初的手稿
نشاط يجري بعد مؤتمر	会议结束后进行的活动
(مندوب (شخص يسجيل ويزور المؤتمر	(委托 (ysgil 和访问会议
نشاط تأجير سيارة	汽车租赁活动
المخطوط النهائي	最后的手稿
مشغل شريط فيديو 	视频播放器
 الفيديوعرض التقديمي	Alvidioard 演示文稿
المكتب الرئيسي	主要办公室
تستعد / يعد	齿轮是
يعطي	给
يحتاج	需要
يحصل 	获取
يحصل	获取
تم انعقاده في	它是在举行
(يشغل (يعيش، يقيم	(运行 (活着，
تم إرساله قبل	由发送
تم استخدامه من اجل	它用来
تم كتابته من قبل	发表于
تم دفعه مع	与支付
تم إرساله بعد	发送后
يرسل	发送
تم اعطاءه من قبل	给出了由
تم دفعه من اجل	支付给
تم توقيعه من قبل	由签署
تم إرساله من قبل	由发送
تم اعطاءه ل/ من اجل	给为
تم زيارته من قبل	访问的
يمر عبر	经过
تم تصميمه من اجل	为设计
تم انعقاده قبل	它是由举行
يدفع	工资
تم بتاريخ	关于
يتعين القيام به حتى	要这样做
لديه قدر من	有一些
تم صنعه من	是由
تم اعداده من قبل	备
تم تشغيله من قبل	它是由运行
تم تشغيله من قبل 	它是由运行
تم دفعه في	支付
تم تجهيزه من اجل	为装备
يوقع	标志
يتحدث في وقت أو في مكان	在时间或地点
تم استخدامه من قبل	采用
تم حاجة من اجل	需要
يكتب	写
تم ارتباطه مع	已与关联
يقع محليا في	位于本地的
تم انعقاده بعد	它举行了后
موجود في زمان أو مكان	存在在时间或地点
تم دفعه من قبل	由支付
موجود في الوقت	在时间里存在
الراعي البلاتيني للمؤتمر	白金赞助商的会议
كاتب البحث طالب  	搜索学生作家
الراعي كمقدم	赞助商
عضو اللجنة العلمية	科学委员会的成员
آخر موعد لتسليم ملخصات الأبحاث	截止日期为交货的文摘
المكتب الرئيسي للمؤتمر	会议的主要办公室
مكان انعقاد المؤتمر	会议地点
أفضل بحث تطبيقي	最好的应用的研究
منظمي المؤتمر	会议组织者
اللجنة التحضيرية	筹备委员会
الوثيقة	文档
sig رسوم التسجيل للاشخاص الذين ليسوا أعضاء	人不是成员的 Sig 注册费
الفندق	酒店
جائزة لأفضل مقالة في المؤتمر	在会议中最好的文章奖
sigkdd رسوم التسجيل لأعضاء	成员的旗舰注册费
لجنة لاختيار أفضل البحوث	委员会要选择最好的研究
الراعي البرونزي للمؤتمر	铜牌赞助商的会议
sigmod رسوم التسجيل لأعضاء	成员数据注册费
المسؤول عن الموقع	网站管理员
عضو اللجنة التحضيرية	筹备委员会成员
الراعي لأفضل بحث طالب	最好的研究学生的赞助商
رسوم التسجيل لطالب	学生注册费
المؤتمر acm sigkdd	Acm 会议
رسوم المؤتمر	会议费用
مراجع الحسابات المؤتمر	核数师会议
المحاضر المدعو	受邀者记录
الراعى الفضى للمؤتمر	银会议主办者之一
كاتب	作家
رسوم الرعاة	费赞助商
آخر موعد للإخطار الباحثين	截止日期为研究人员的通知的
مستمع المؤتمر	一次会议
مدير المؤتمر	会议管理器
لجان المؤتمر	会议委员会
الراعي الذهبي للمؤتمر	金牌赞助商的会议
 آخر موعد لإرسال البحوث 	申请研究的截止日期
جائزة لأفضل مقالة بحث	奖最佳文章搜索
الرعاة	牧羊人
جائزة أفضل بحث لطالب	学生研究奖
كاتب البحث	作者搜索
لديه اسم المؤتمر	有会议的名称
مؤرخ على	日上
لديه الجنسية	发生性关系
رسوم التسجيل هي بالعملة	注册费是在货币
مؤتمر عقد في مدينة	在该市举行的一次会议
يمكن البقاء في	你可以留在
التي تمنحها	被授予
رسوم التسجيل المدفوعة من قبل	交纳登记费
دفع رسوم التسجيل	缴付注册费
قد قدم من جانب	提出了
إرسال البحث	发送搜索
آخر موعد المحدد من اجل	为指定的截止日期
موعد أول يوم من المؤتمر	会议的第一天的日期
لديه السعر	有的价格
لديه اسم الراعي	有赞助商的名称
موعد اليوم الأخير من المؤتمر	会议的最后一天的日期
تنظيم المؤتمر	会议组织
مؤتمر منظم من قبل	主办的会议
لديه جائزة	有了奖
الدعوة من اجل الراعي	赞助商的电话
جائزة متحصل عليها	奖归属
لديه آخر موعد لإرسال	已申请的截止日期
الرعاة مدعوين من قبل	由提案国邀请
تحديد آخر موعد	指定的最后日期
 تحديد آخر موعد	指定的最后日期
 يقدم الوثيقة	提交文档
يقدم الوثيقة	提交文档
