person	Person
setting of minimal number of event	Einstellung der minimalen Anzahl von Ereignis
ngo	NGO
review rating	Digitalkamera Test
attendee	Teilnehmer
microelectronics topic	Mikroelektronik-Thema
place	Ort
computer networks security topic	Computer-Netzwerke-Sicherheit-Thema
computer networks management topic	Computer-Netzwerke-Management-Thema
single level conference	Single-Level-Konferenz
signal processing topic	Signal-Verarbeitung-Thema
government organization	staatliche Organisation
multimedia topic	Multimedia-Thema
presentation of a paper	Präsentation eines Papiers
powerline transmission topic	Powerline-Übertragung-Thema
non academic event	nicht akademischen Veranstaltung
computer networks applications topic	Computer-Netzwerke-Anwendungen-Thema
computer architecture topic	Computer-Architektur-Thema
wireless communications topic	drahtlose Kommunikation-Thema
closing talk	Vortrag schließen
personal publication history	persönliche Publikationsgeschichte
session chair	Sitzung Stuhl
travel grant	Reisezuschuss
event related to a conference	Ereignisses im Zusammenhang mit einer Konferenz
coffee break	Kaffeepause
computer networks topic	Computer-Netzwerke-Thema
communication theory topic	Kommunikation-Theorie-Thema
rated paper	bewertet Papier
computer networks optical topic	Computer-Netzwerke-optische-Thema
excursion	Ausflug
academic event	akademische Veranstaltung
presenter	Moderator
industrial organization	Industrieökonomie
free time	Freizeit
accept if room rating	akzeptieren, wenn Raum-Bewertung
weak reject rating	schwachen ablehnen Bewertung
communications topic	Kommunikation-Thema
performance topic	Leistung-Thema
textual review question	textliche Bewertung Frage
talk	reden
call for papers	Call für papers
mobile computing topic	mobile computing Thema
slide set	Foliensatz
dining place	Restaurants Platz
operating systems topic	Betriebssysteme-Thema
call for reviews	Forderung nach Bewertungen
academic organization	Akademische Organisation
break	Pause
conference dinner	Konferenz-dinner
accepted paper	akzeptierte Papier
computer networks sensor topic	Computer-Netzwerke-Sensor-Thema
mealtime	Essenszeit
menu	Menü
personal history	persönliche Geschichte
computer networks measurements topic	Computer-Netzwerke-Messungen-Thema
computer networks enterprise topic	Computer-Netzwerke-Enterprise-Thema
call for manuscripts	Aufruf für Manuskripte
radio communications topic	Radio-Kommunikation-Thema
cryptography topic	Kryptographie-Thema
published paper	veröffentlichten Papier
medicine topic	Medizin-Thema
review form	Formulare überprüfen
personal reviewing history	persönliche Überprüfung Geschichte
numerical review question	numerische Bewertung Frage
satellite and space communications topic	Raum und Satelliten-Kommunikation-Thema
withdrawn paper	genommenen Papier
menu (meal)	Menü (Menü)
rejected paper	Abgelehnte Papier
accommodation	Unterkunft
pending paper	ausstehende Papier
member of tpc	Mitglied des tpc
sponsorship	Sponsoring
contact information	Kontaktinformationen
test only topic	nur Thema zu testen
antennas topic	Antennen-Thema
cad topic	CAD-Thema
two level conference	zwei-Level-Konferenz
accept rating	Bewertung zu akzeptieren
parallel and distributed computing topic	parallele und verteilte IT-Thema
programme	Programm
conference venue	Tagungsort
computer networks switching topic	Computer-Netzwerke, Thema wechseln
call	Rufen Sie
organizational meeting	organisatorische treffen
welcome talk	Willkommen-Vortrag
meal	Mahlzeit
meeting room	Tagungsraum
conference session	Webkonferenz
active paper	aktive Papier
security topic	Thema Sicherheit
reject rating	Bewertung ablehnen
review question	Frage zu überprüfen
is reviewed by	wird von überprüft
is about paper	geht es um Papier
is review history of	Bewertung Geschichte
has program	hat Programm
has attendee	hat der Teilnehmer
is topic of	ist Thema des
is initiated by	wird vom initiiert
has related document	Dokument hat bezogen werden.
has call	hat der Aufruf
has rating	hat Bewertung
is written by	wird geschieben von
is reviewing	prüft
is location of	befindet sich
has location	Lage
has review history	Bewertung Geschichte
is provided by	wird durch bereitgestellt
is provider of	ist Anbieter von
is menu of	ist im Menü
has country	Land hat
initiates	initiiert
attendee at	Teilnehmer am
belongs to event	gehört zur Veranstaltung
relates to	bezieht sich auf
is presented in	ist in dargestellt.
conference manuscript date and time deadline	Konferenz-Manuskript-Datum und Uhrzeit-Frist
conference start date and time	Konferenz zu starten, Datum und Uhrzeit
has biography	hat Biographie
has amount of cost	hat die Höhe der Kosten
conference registration date and time deadline	Konferenz Datums- und Anmeldeschluss
has submission deadline	Einsendeschluss ist
has street	hat Straße
has end date and time	End-Datum und Zeit
has name (full name of conference)	hat der Name (voller Name der Konferenz)
has currency of cost	Währung der Kosten hat
has start date and time	hat Startdatum und Uhrzeit
conference end date and time	Konferenz Endedatum und Uhrzeit
has menu	Menü
writes	schreibt
for event	für Veranstaltung
conference paper date and time deadline	Konferenz-Papier-Datum und Uhrzeit-Frist
has last name	Nachname hat
has submission instructions	hat Vorlage Anweisungen
has city	Stadt hat
possible reviewer	mögliche Bearbeiter
positive review	positive Bilanz
oc member	OC-Mitglied
tutorial chair	Tutorial chair
research institute	Forschungsinstitut
submitted paper	Eingereicht von Papier
scientific event	wissenschaftliche Veranstaltung
session	Sitzung
programme brochure	Programmbroschüre
early registered participant	Frühe registrierte Teilnehmer
demo paper	Demo-Papier
flyer	Flyer
assigned paper	zugewiesenen Papier
oc chair	OC-Stuhl
late registered participant	späten registrierte Teilnehmer
workshop paper	Werkstatt Papier
organisation	Organisation
neutral review	neutrale Bewertung
negative review	negative Bewertung
academic institution	akademische institution
poster session	Poster-session
evaluated paper	ausgewerteten Papier
tutorial abstract	Tutorial abstrakt
conference participant	Konferenzteilnehmer
sc member	SC-Mitglied
poster paper	Poster-Papier
location	Lage
conference paper	Konferenzbeitrag
industrial session	Industriesitzung
conference banquet	Konferenz-und Veranstaltungsräume
conference trip	Konferenzreise
demo chair	Demo-Stuhl
paper author	Papier-Autor
research topic	Forschungsthema
camera ready paper	Kamera bereit Papier
proceedings	Verfahren
contributed talk	eingebrachte talk
regular paper	normales Papier
pc member	PC-Mitglied
workshop chair	Workshop-Stuhl
agency staff member	Agentur-Mitarbeiter
invited talk abstract	eingeladener Vortrag abstrakt
pc chair	PC Stuhl
organising agency	organisierenden Agentur
demo session	Demo-session
regular session	ordentliche Sitzung
individual presentation	Individuelle Präsentation
multi author volume	Multi-Autor-Band
track	Track
proceedings publisher	Verfahren-Verlag
industrial paper	Industrielle Papier
web site	Website
conference proceedings	Tagungsband
workshop session	Workshop Teil
updated version of	aktualisierte Version des
presentation of paper	Präsentation des Papiers
referenced in	in verwiesen wird
location of	Lage von
inverse of partof 7	Quantile Teil 7
hasevent	hasevent
covers topic	Abdeckungen-Thema
review of paper	Bewertung von Papier
scientifically organises	wissenschaftlich organisiert
topic covered by	Thema fallenden
reviewer of paper	Kritiker zu Papier
references	Referenzen
organised by	organisiert von
has reviewer	hat der Prüfer
review written by	Rezension geschrieben von
technically organises	technisch organisiert
has updated version	aktualisierte version
part of	Teil des
event on list	Ereignis auf Liste
held in	statt in
volume contains paper	Volume enthält Papier
paper in volume	Papier in Band
author of	Autor des
part of event	Teil der Veranstaltung
publisher of	Herausgeber der
organises	organisiert
scientifically organised by	wissenschaftlich organisiert von
lists event	Listen-Ereignis
paper presented as	Vortrag als
technically organised by	technisch organisiert von
deadline for registration	Anmeldeschluss
social activity	soziale Tätigkeit
city where a presenter comes	Stadt, wo ein Referent kommt
time	Zeit
activity of modelling	Aktivität der Modellierung
worker lecturer	Arbeitnehmer-Dozent
welcome speech	Begrüßungsrede
coctail reception	Cocktail-Empfang
main office	Hauptbüro
fee	Gebühr
hotel presenter	Hotel-Moderatorin
credit card	Kreditkarte
activity of simulating	Aktivität simulieren
cheque	Scheck
deadline	Frist
introduction	Einführung
computer	Computer
conference hotel	Tagungshotel
conference building	Konferenzgebäude
taxi	Taxi
hotel fee	Hotel Gebühr
currency	Währung
invitation letter	Einladungsschreiben
registration fee	Anmeldegebühr
city which is the location for a trip	Stadt, die den Speicherort für eine Reise
video cassette player	Video Cassette-player
final manuscript	endgültigen Manuskript
fee for extra trip	Gebühr für Extrafahrt
activity taking place after conference	Aktivitäten nach der Konferenz
audiovisual equipment	Audiovisuelle Ausstattung
deadline for submiting	Frist für submiting
member of iasted	Mitglied der IEEE
lecture	Vortrag
book proceeding	Buch-Verfahren
lcd projector	LCD-Projektor
activity taking place during conference	Tätigkeit während der Konferenz stattfindenden
conference hiker	Konferenz-Wanderer
conference days	Konferenztagen
activity of refusing a manuscript	Aktivität ein Manuskript zu verweigern
mailing list	Mailing-Liste
video presentation	Video-Präsentation
card	Karte
activity of receiving a manuscript	Aktivität ein Manuskript zu erhalten
state of the sponsor	Zustand des Sponsors
research activity	Forschungstätigkeit
single hotel room	einzelne Hotelzimmer
conference airport	Konferenz-Flughafen
student lecturer	Studenten-Lektor
conference registration form	Konferenz-Anmeldeformular
payment document	Zahlungsbeleg
car	Auto
van	van
shuttle bus	Shuttle-bus
item (in general)	Element (im allgemeinen)
city where a sponzor comes from	Stadt, wo ein Sponzor herkommt
brief introduction for session chair	kurze Einführung für Session chair
technical activity	Technische Tätigkeit
registration fee for a non member	Anmeldegebühr für ein nicht-Mitglied
hotel registration form	Hotel-Anmeldeformular
student who is not a speaker	Student, der sich keinen Lautsprecher
hotel room	Hotelzimmer
activity of renting a car	Aktivität ein Auto zu mieten
activity	Aktivität
introduction of speaker	Einführung des Lautsprechers
non speaker	nicht Lautsprecher
cd proceeding	CD-Verfahren
amount of money	Menge an Geld
departure	Abfahrt
state of the presenter	Zustand des Präsentators
worker who is not a speaker	der Arbeitnehmer kein Redner ist
sponsor	Sponsor
bank transfer	Banküberweisung
city where a sponzor comes	Stadt eine Sponzor kommt
speaker giving a lecture in front of the plenum	Lautsprecher geben einen Vortrag vor dem plenum
activity taking place before conference	Aktivität, die vor der Konferenz
initial manuscipt	anfängliche manuscipt
speaker who presents a tutorial	Lautsprecher, die eine Anleitung präsentiert
tip	Tipp
lecturer	Dozent
registration fee for a student	Anmeldegebühr für einen Studenten
powerpoint presentation	PowerPoint-Präsentation
registration fee paid by an attending author for receiving proceedings as book	Anmeldegebühr bezahlt von einem Oberarzt-Autor für den Empfang von Verfahren als Buch
conference restaurant	Konferenz-restaurant
form	Formular
author who will receive proceedings as book	Autor, die Verfahren als Buch erhalten
deadline for the hotel reservation	Frist für die Hotelbuchung
tax	Steuer
full day tour	Ganztägiger Ausflug
city where the conference takes place	Stadt, wo die Konferenz stattfindet
registration fee a non author	Anmeldegebühr nicht Autor
activity of accepting a manuscript	Tätigkeit der Annahme einer Handschrift
author who will receive proceedings as cd	Autor, die Verfahren als cd erhalten
double hotel room	Doppel Zimmer
delegate	Delegieren
presenter who presents only on one day	Moderator, der nur an einem Tag präsentiert
overhead projector	Overhead-Projektor
not member of iasted	nicht Mitglied des iasted
value added tax	Mehrwert Steuer
speaker	Lautsprecher
conference hall	Konferenzsaal
university of a presenter	Universität von Moderator
registration fee for a member	Anmeldegebühr für Mitglied
item	Element
departure tax	Ausreisegebühr
one conference day	ein Konferenztag
submission	Einreichung
dinner banquet	Abendessen-Bankett
city where a presenter comes from	Stadt, wo ein Referent kommt
delegate (person registering and visiting the conference)	Delegat (Person registrieren und Ihren Besuch auf der Konferenz)
plenary lecture	Plenarvortrag
time zone	Zeitzone
registration fee paid by an attending author for receiving proceedings as cd	Anmeldegebühr bezahlt von einem Oberarzt-Autor für den Empfang von Verfahren als cd
state	Zustand
state where the conference takes place	Staat, wo die Konferenz stattfindet
technical committee	Technischer Ausschuss
deadline for notification of acceptance	Frist für die Mitteilung der Annahme
day assigned for a trip	Tag zugewiesen für eine Reise
house of a presenter	Haus der Moderator
record of attendance	Anwesenheitsliste
listener	Listener
house of a company being a sponsor	Haus eines Unternehmens als sponsor
building	Gebäude
any kind of document	jede Art von Dokument
author information form	Autor Informationsformular
transport vehicle	Transportfahrzeug
registration	Registrierung
deadline for submitting the camera ready script	Frist für die Einreichung des Kamera bereit-Skripts
sponzorship	sponzorship
publication	Veröffentlichung
viza	Viza
lecture given by a speaker	Vortrag von Referent
overhead transparency	obenliegende Transparenz
session room	Sitzung Raum
is needed for	benötigt
goes through	durchläuft
is present in time	in der Zeit vorhanden ist
is sent by	wird gesendet
is connected with	ist mit verbunden
is occupied by	ist besetzt von
obtains	erhält
is locally situated in	Lokal liegt
pays	zahlt
signs	Zeichen
is present in time or space	gibt es in Zeit und Raum
is paid with	wird mit bezahlt
speaks at time or in place	spricht, Zeitpunkt oder Ort
is given by	ist gegeben durch
is paid in	wird jedoch in
is designed for	richtet sich an
sends	sendet
is made from	besteht aus
is prepared by	bereitet
is equipped for	ist ausgestattet für
gives	gibt
is held before	findet vor dem
is signed by	wird geschlossen
is used for	dient zur
is held after	findet nach
needs	Bedürfnisse
is paid by	wird bezahlt
is visited by	wird von besucht
occupies (lives resides)	belegt (Leben befindet)
is sent before	wird vor gesendet
is sent after	erfolgt nach
is held in	findet in
is paid for	ist bezahlt
is used by	wird von
is dated on	datiert auf
prepares	bereitet
is given to	erhält
has amount of	verfügt über
to be done till	sein till
sponzor for best student paper	Sponzor für beste Studentenzeitung
author of student paper	Autor der Studentenzeitung
award for conference paper	Award für das Konferenzpapier
author of paper	Autor des Papiers
sponzor	sponzor
registration fee for member of sigkdd	Anmeldegebühr für Mitglied des sigkdd
chair of conference	Vorsitzender der Konferenz
listener of conference	Listener der Konferenz
award for best student paper	Auszeichnung für beste Studentenzeitung
committee for best paper awards	Ausschuss für best Paper award
sponzor as exhibitor	Sponzor als Aussteller
program chair	Programm-Stuhl
platinum sponzor of conference	Platin Sponzor Konferenz
organizator of conference	Organisator der Konferenz
deadline of abstract submission	Deadline für Abstracteinreichung
silver sponzor of conference	Silber Sponzor Konferenz
bronze sponzor of conference	Bronze Sponzor Konferenz
registration fee for person not being member of sig	Anmeldegebühr für die Person, die nicht Mitglied einer sig
registration fee for student	Anmeldegebühr für Studenten
conference acm sigkdd	Konferenz Acm sigkdd
gold sponzor of conference	Gold Sponzor Konferenz
deadline of paper submission	Frist der Papier-Vorlage
member of organizing committee	Mitglied Organisationskomitee
sponzor fee	Sponzor Gebühr
main office of conference	Hauptsitz der Konferenz
conference fee	Tagungsgebühr
award for best research paper	Award für den besten wissenschaftlichen Aufsatz
award for best application paper	Award für die beste Anwendung Papier
registration fee for member of sigmod	Anmeldegebühr für Mitglied sigmod
deadline of author notification	Frist der Autor Mitteilung
webmaster	Webmaster
abstrakt	abstrakt
hall of conference	Halle der Konferenz
person active at conference	Person aktiv auf Konferenz
hotel	Hotel
has price	hat Preis
has sponzor name	hat Sponzor Namen
date of final day of conference	Datum der letzten Tag der Konferenz
conference takes place in city	Konferenz findet statt in der Stadt
has name of conference	hat der Name der Konferenz
has nationality	Staatsangehörigkeit besitzt
registration fee is in currency	Anmeldegebühr ist in Währung
has award	Award hat
registration fee paid by	Anmeldegebühr entrichtet
set up deadline	Termin einrichten
has deadline for submission	hat die Frist für die Einreichung
awarded by	verliehen von
sponzor are called by	Sponzor von aufgerufen werden
paid registration fee	bezahlte Anmeldegebühr
call for sponzor	Aufforderung zur sponzor
was presented by	präsentierte
presents document	Dokument vorlegt
stay in	bleiben Sie in
organize conference	Konferenz zu organisieren
submit of paper	Papier einreichen
obtained award	erhielt Auszeichnung
set up deadline for	richten Sie die Frist für die
conference organized by	Konferenz organisiert von
date of starting day of conference	Datum Tag der Konferenz zu starten
active participant	aktiver Teilnehmer
announcement	Ankündigung
serie	Serie
passive participant	passiver Teilnehmer
person involved	beteiligten Personen
student participant	studentische Teilnehmer
regular participant	regelmäßiger Teilnehmer
airport	Flughafen
activity taking place after	Aktivitäten nach
days	Tage
hall	Halle
hiker	Wanderer
registration form	Anmeldeformular
activity taking place before	Aktivität, die vor
activity taking place during	Aktivität stattfindet, während
restaurant	Restaurant
gold sponzor	Gold sponzor
platinum sponzor	Platin sponzor
silver sponzor	Silber sponzor
person active	Person aktiv
acm sigkdd	ACM sigkdd
bronze sponzor	Bronze sponzor
expertise degree reviewer	Kompetenz-Grad-Prüfer
volume number proceedings	Band Nummer Verfahren
date abstract submission	Datum-Abstracteinreichung
date acceptance notification	Datum-Akzeptanz-Benachrichtigung
degree review preference	Grad-Überprüfung-Präferenz
has topic submission contribution	hat Thema Unterwerfung Beitrag
is organizing committee	Organisationskomitee ist
contributes	trägt
important date serie	wichtiges Datum serie
date full paper submission	Datum volle Papier Vorlage
date cameraready submission	Datum Cameraready Einreichung
date of cameraready submission	Cameraready Abgabe
isbn proceedings	ISBN-Verfahren
published date	Veröffentlichungsdatum
url web is	Web-URL ist
is workshop chair	ist Workshop chair
is program committee	Programmkomitee ist
topic related review preference	Thema mit Bezug Bewertung Präferenz
is cochair committee	ist Mitvorsitzender Ausschuss
is cochair of committee	ist Mitvorsitzender des Ausschusses
invited reviewer	eingeladenen Überprüfer
preference expertise review is	Präferenz Fachwissen Review ist
program committee is	Programmkomitee ist
invites coreviewer	lädt coreviewer
committee is	Ausschuss ist
submitted	eingereicht
is part	ist Teil
is topic part	Thema gehört
preference expertise reviewer	Präferenz Fachwissen Rezensent
steering committee is	Lenkungsausschuss ist
has committee cochair	hat der Ausschuss cochair
is steering committee	ist der Lenkungsausschuss
presented	dargestellt
is chair committee	Vorsitzende Ausschuss ist
is first part	ist der erster Teil
is committee	Ausschuss ist
publisher proceedings is	Verleger-Verfahren ist
is member	ist Mitglied
organizing committee is	Organisationskomitee ist
maximal number assigned papers	maximale Anzahl Papiere zugewiesen
has website url	Website-Url hat
details entered	Angaben
written	geschrieben
has logo url	Logo-Url hat
hardcopy mailing manifests printed	Hardcopy Adressetiketten Manifeste gedruckt
set maximal number assigned paper	festgelegte maximale Anzahl zugewiesen Papier
virtual meeting enabled	virtuelles Treffen aktiviert
cowritten	Denkmal
cowritten by	Denkmal von
rejected	abgelehnt
read metareviewer	Metareviewer lesen
read by metareviewer	Lesen von metareviewer
member	Mitglied
added	hinzugefügt
cowrite	cowrite
mark conflict interest	Mark Interessenkonflikt
review criteria entered	Überprüfen der eingegebenen Kriterien
paper assignment finalized	Papier-Zuordnung abgeschlossen
assigned reviewer	zugewiesene Bearbeiter
accepted	angenommen
reviewer bidding started	Rezensent Ausschreibung gestartet
assigned	zugewiesen
has conflict interest respect	Konflikt Respekt Interesse
assigned admin	zugewiesene admin
read reviewer	Gutachter zu lesen
paper assignment tools run	Papier-Aufgabentools ausführen
adjusted	angepasst
member program committee	Mitglied Programmkomitee
enter details	Geben Sie details
event is being held	Veranstaltung findet statt
participant has early registration	Teilnehmer hat Frühbucher
setting default choice number event	Wahl-Nummer Standardereignis festlegen
starting day event	Start-Tages-Veranstaltung
setting minimal number event	minimale Anzahl Ereignis festlegen
is parallel	Parallel
stay city	Stadt zu bleiben
employed	Beschäftigte
written author	schriftliche Autor
stay country	Land zu bleiben
deals topic	Angebote-Thema
expert topic	Experten-Thema
setting maximal number event	Festlegen der maximalen Anzahl Ereignis
stay street	Straße zu bleiben
end day event	Ende-Tages-Veranstaltung
study university	Universität zu studieren
is paid	wird bezahlt
is designed	dient der
speaks time place	spricht Mal Platz
is given	ist gegeben
is present time space	ist der heutigen Zeit-Raum
is locally situated	lokal liegt
is occupied	ist besetzt
is connected	verbunden ist
is sent	wird gesendet
is present time	heutigen Zeit ist
is needed	ist erforderlich
is visited	wird besucht
is written	wird geschrieben
has amount	hat Betrag
be done till	werden till
is dated	ist datiert
is prepared	ist bereit
