puja	soumission
evaluación positiva	évaluation positive
acontecimiento científico	manifestation scientifique
actas de congreso	Actes du Congrès
participante con inscripción anticipada	participant à l'avance
editor de las actas	procédure éditeur
evaluación neutra	évaluation neutre
resumen de tutorial	tutoriel de présentation
moderador de la sesión	modérateur de la session
volumen de varios autores	volume de divers auteurs
sesión de pósters	session d'affiches
artículo revisado	article révisé
artículo de experiencias en la industria	Article rédigé par expériences dans l'industrie
participante del congreso	participant du Congrès
lugar de celebración	lieu de rendez-vous
contribución a conferencia	contribution à la Conférence
sesión industrial	industrielle session
sesión de conferencia	Session de la Conférence
presentación individual	présentation individuelle
versión actualizada de	mise à jour de
organización científica por	Organisation scientifique de
artículo en actas	article dans les procédures
parte de	partie de
tema tratado por	objet de
tiene evento	a événement
es revisión de	est l'examen de
referencia	Référence
revisión escrita por	examen écrit par
parte de evento	partie de l'événement
tiene revisión	a l'examen
artículo presentado como	article présenté comme
organiza técnicamente	organise techniquement
organiza	organise
inversa de parte de 7	inverser la partie 7
es revisor de artículo	est un critique musical pour l'article
organiza científicamente	organise scientifiquement
tiene parte	a part
tiene versión actualizada	a mis à jour version
autor de	auteur de
volumen contiene artículo	volume contient l'article
evento en la lista	Liste des activités
presentación de artículo	présentation de l'article
organización técnica por	Organisation technique de
referenciado en	référencé dans
tiene revisor	a l'examinateur
editor de	Rédacteur en chef du
celebrado en	tenue à
enumera eventos	listes d'événements
lugar de	lieu de
organizado por	organisé par
envío	marine marchande
fecha límite	Date limite
conferenciante	Maître de conférences
alquilando	Location
breve introducción al presidente de la sesión	brève introduction au Président de la session
incluye las el libro de las actas para autores	comprend le livre des records pour les auteurs
tasas de registro para los no autores	frais d'inscription pour les non-auteurs
cheque	vérifier
conferenciante plenario	Conférencier
transferencia bancaria	Virement bancaire
estudiante no orador	Étudiant pas de haut-parleur
ciudad del presentador	la ville hôte
actividad técnica	activité technique
presentación power point	présentation Power point
introducción	Introduction
manuscrito final	manuscrit définitif
miembro de iasted	Membre de l'iasted
zona horaria	fuseau horaire
excursión por la ciudad	Visite de la ville
presentador durante un día	Présentateur lors d'une journée
edificio de la conferencia	le bâtiment des conférences
fecha límite de registro	Date limite d'inscription
hotel de la conferencia	Hôtel de la Conférence
hora	temps
orador en tutorial	haut-parleur tutoriel
sala principal de la conferencia	Hall principal de la Conférence
vehículo de transporte	véhicule de transport
actividad	activité
formulario	formulaire
edificio	bâtiment
tarjeta de crédito	carte de crédit
día de excursión	excursion d'une journée
delegado	délégué
fecha límite de envío de propuestas	Date limite de soumission des propositions
rechazando el manuscrito	rejetant le manuscrit
oyente	écouteur
coche	voiture
salida	sortie
fecha límite de la notificación de aceptación	Date limite pour la notification d'acceptation
proyector	projecteur
estado del moderador	le statut de modérateur
record de asistencia	record d'affluence
tasas de registro par aestudiantes	frais d'inscription aestudiantes
oficina principal	bureau principal
introducción del conferenciante	introduction du Président
comité técnico	Comité technique
habitación de hotel	chambre d'hôtel
tasas de registro para miembros	frais d'inscription pour les membres
moneda	monnaie
propina	Astuce
saludo de bienvenida	message de bienvenue
sala de sesiones	salle de séance
ordenador	ordinateur
manuscrito inicial	manuscrit initial
reproductor de video casete	lecteur de cassette vidéo
simulando	simulant
formulario de registro al hotel	Formulaire d'inscription Hôtel
cd de las actas	le CD de la procédure
tasas	tarifs
trabajador no orador	travailleur pas de haut-parleur
ciudad de la conferencia	la ville de conférence
casa del moderador	Maison du modérateur
proyector lcd	projecteur LCD
conferencia de un día de duración	Conférence d'une journée
taxi	taxi
conferencia plenaria	Conférence plénière
tasas de salida	taux de sortie
recibiendo el manuscrito	recevant le manuscrit
días de duración de la conferencia	jours de la Conférence
tasas del registro	les frais d'inscription
tasas por un viaje extra	un taux supplémentaire de voyage
fecha límite de envío de la versión definitiva	Date limite pour le dépôt de la version finale
conferenciante estudiante	Haut-parleur de l'étudiant
aceptando el manuscrito	acceptant le manuscrit
tasas de autor, asistente y libro	tarifs du livre, auteur et Assistant
documento de pago	document de paiement
estado del patrocinador	État du commanditaire
no orador	Aucune enceinte
habitación individual	chambre simple
impuesto sobre el valor añadido	taxe sur la valeur ajoutée
visa	Visa
actividad antes de la conferencia	activité avant la Conférence
presentador del hotel	présentateur de l'hôtel
universidad del moderador	Université du modérateur
conferenciante trabajador	maître de conférences de travailleur
tarjeta	carte
aeropuerto de la conferencia	Aéroport de conférence
furgoneta	Van
incluye el cd de las actas para autores	Il comprend le cd de transcriptions pour auteurs
orador	haut-parleur
coctail de bienvenida	Cocktail de bienvenue
registro	enregistrement
tasas de registro para los no miembros	frais d'inscription pour les non-membres
ciudad del patrocinador	Ville du parrain
estado en que tiene lugar la conferencia	Affirmer que la Conférence se déroule
publicación	publication
tasas del hotel	tarifs de l'hôtel
no miembro de iasted	pas encore membre de l'iasted
formulario de registro	formulaire d'inscription
restaurante de la conferencia	restaurant de la Conférence
habitación doble	Chambre double
equipo audiovisual	équipement audiovisuel
formulario de información sobre el autor	informations sur la forme de l'auteur
presentación por vídeo	présentation vidéo
transparencia	transparence
empresa del moderador	compagnie de l'animateur
libro de las actas	la procédure
carta de invitación	Lettre d'invitation
autobús de ida y vuelta	bus d'aller-retour
fecha límite de reserva en el hotel	Date limite de réservation d'hôtel
investigación	Recherche
dinero	argent
lista de correos	liste de diffusion
excursión de todo el día	excursion d'une journée tous les
excursionista de la conferencia	randonneur de la Conférence
patrocinador	sponsor
tasas de autor, asistente y cd	auteur, tarifs assistante et cd
modelando	modélisation
estado	État
actividad después de la conferencia	activité après la Conférence
fechado en	daté à
está presente	est présent
utilizado para	utilisé pour
hecho de	faite de
enviar	Envoyer
preparar	préparer
firmado por	signé par
ocupado por	occupé par
pasar por	passer
estar equipado por	être outillé pour
utilizado por	utilisé par
preparado por	préparé par
tiene lugar después de	s'effectue après
pagado en	payé en
estar conectado con	être connecté avec
firmar	signe
pagado con	payé avec
estar designado por	être désigné par
se necesita para	est nécessaire pour
enviado después de	envoyé après
tiene lugar antes de	a lieu avant
pagar	payer
ocupar	faire face à
está presente en	est présent dans
dado a	compte tenu de
enviado por	envoyé par
necesitar	besoin
tiene cantida de	a le montant de
hacer hasta	faire jusqu'à
enviado antes de	envoyé avant
pagado por	payé par
tiene lugar en	a lieu dans
visitado por	la visite de
hablar en	parler en
dar	Donner
escribir	Écrire
obtener	Télécharger
pagado para	payé pour
situado en	Situé à
fecha límite de envío de resúmenes	Date limite de soumission des résumés
patrocinador de platino	Commanditaire platine
exhibidor	Exposant
presidente del programa	Président du programme
patrocinador de plata	Commanditaire argent
tasas de registro	frais d'inscription
autor del artículo	auteur de l'article
tasas del patrocinador	taux de sponsor
registro para estudiantes	inscription pour les étudiants
premio al mejor artículo de investigación	le prix du meilleur article recherche
comité de concesión del premio al mejor artículo	Comité pour le prix du meilleur article
premio al mejor artículo de aplicaciones	Prix pour le meilleur livre sur les applications
estudiante autor del artículo	Auteur de l'étudiant
patrocinador de oro	Commanditaire or
premio	Prix
fecha límite de envío de artículos	Date limite de soumission des articles
premio al mejor estudiante	Prix du meilleur étudiant
fecha límite de notificación al autor	Date de la notification à l'auteur
patrocinador de bronce	Commanditaire Bronze
patrocinador del premio al mejor artículo de un estudiante	sponsor du prix pour le meilleur article sur un étudiant
acm sigkdd	ACM sigkdd
tasas para miembros de sigkdd	tarifs pour membres sigkdd
tasas para no miembros	tarifs pour les non-membres
hotel	Hôtel
recibido por	reçus par
buscar	Trouver
enviar hasta	envoyer jusqu'à
puede quedarse en	Vous pouvez rester dans
presentado por	présenté par
nombre del patrocinador	nom du promoteur
principio de la conferencia	début de la Conférence
recibir	recevoir
premiado por	décerné par
precio	prix
nombre de la conferencia	nom de la Conférence
nación	nation
final de la conferencia	fin de la Conférence
buscado por	recherché par
notificación hasta el	notification à la
diseñado por	conçu par
diseñar	conception
