组织者	المنظمون
有一个指导委员会	وهناك لجنة توجيهية
被分配给审稿参考	يتم تعيين إلى مرجع استعراض الأقران
有一个专长	لديها خبرة
有一个开始日期	وهناك تاريخ بدء
有姓	يكون اسم العائلة
有一个结束日期	وهناك تاريخ انتهاء
有一个委员会联合主席	وهناك رئيس اللجنة المشتركة
有一个isbn	يكون ISBN
有一个摘要投稿日期	موعد تقديم الملخصات
有一个度	تتمتع بدرجة
有一个主题或者投稿	وهناك موضوع أو الترحيل
曾是一个组织委员会	وكان لجنة تنظيمية
有一个审稿意见	وهناك استعراض الأقران
有一个程序委员会	برنامج اللجنة
属于一个审稿参考	تنتمي إلى مرجع استعراض الأقران
曾是一个委员会	وكان اللجنة
有一个摘要	وهناك ملخص
发行	القضية
曾是一个指导委员会	وكان لجنة التوجيهية
有一个审稿参考或者专长	وكان نظير مراجعة مرجع أو الخبرة
曾是一个委员会联合主席	وكان رئيس اللجنة المشتركة
有成员	أعضاء
是会议卷册的一部分	جزء من وحدة المؤتمر
是由之作	من العمل
有一个组织委员会	لجنة تنظيمية
有一个研讨会教程主题	مواضيع حلقات عمل التعليمي
曾是一个程序委员会	مرة برنامج اللجنة
是投至	يتم تحويل إلى
是一个会议部分的主题	جزء من موضوع المؤتمر
有一个委员会	وهناك لجنة
有教程	البرنامج التعليمي
属于审稿人	ينتمي للمراجعين
曾是一个委员会主席	وكان رئيسا للجنة
有轨道	المسارات
有作者	كاتب
曾是一个研讨会主席	وكان رئيس الحلقة الدراسية
评审	استعراض
有一个审稿专长	وكان هناك خبرة استعراض الأقران
作报告	التقرير
属于一个会议卷册	ينتمون إلى وحدة تخزين المؤتمر
是第一部分	هو الجزء الأول
有投稿	تقديم
有一个出版商	ناشر
邀请联合审稿人	دعوة ومشتركة بين المراجع
有一个委员会主席	وهناك رئيس اللجنة
有部分	بعض
大会主席	رئيس الجمعية العامة
偏爱	الأفضلية
程序委员会成员	أعضاء لجنة البرنامج
副主席	نائب الرئيس
论文全文	ورقة كاملة
综合审稿意见	استعراض الأقران شاملة
非审稿人的作者	عدم-المراجع، المؤلف من
程序委员会主席	رئيس لجنة البرنامج
文件	الملف
主题领域	المجالات المواضيعية
拒收	رفض
论文摘要	خلاصة
合著者	شارك في تأليف
会议成员	أعضاء المؤتمر
投标	العطاء
决定	تقرر
用户	المستخدم
外部审稿人	المراجعين الخارجيين
管理人员	إدارة شؤون الموظفين
录用	استئجار
作者	كاتب
综合审稿人	توليف المراجعين
论文序号	رقم الرسالة
商标统一资源定址器	معالجة الموارد الموحد العلامات التجارية
每篇论文审稿意见数	كل التعليقات الورق
最多论文数	الحد الأقصى لعدد من الأوراق
电子信箱	البريد الإلكتروني
日期	تاريخ
姓名	الاسم
标题	العنوان
接受硬拷贝投稿	قبول الطلبات مطبوعة
网站地址	عنوان موقع ويب
由之增补	عن طريق تحديث
结束审稿	استعراض نهاية
录用论文	أوراق التجنيد
有主题领域	المجالات المواضيعية
由综合审稿人审阅	واستعرض خبراء الاستعراض العام
由之录用	من خلال التعاقد
论文分派工具由之运行	أداة تخصيص ورقة عن طريق تشغيل
审稿人投标始于	يبدأ المراجع العطاءات
由之录入审稿标准	بواسطة إدخال نظير مراجعة المعايير
撰写论文	أوراق الكتابة
分派给	تعيين إلى
修改投标	تعديل العطاءات
增补程序委员会成员	التصحيح لأعضاء اللجنة
有决定	قرار
论文分派由之定稿	وضع الصيغة النهائية للورقة التي عهدت بها
有分派论文	الأطروحة المعينة
指定外部审稿人	تعيين المراجعين الخارجيين
有合著者	شارك في تأليف
启用虚拟会议	تمكين اجتماعات افتراضية
是程序委员会成员	عضو في برنامج اللجنة
指定审稿人	مكان مخصص المراجعين
有程序委员会成员	أعضاء لجنة البرنامج
标注兴趣冲突	مارك تضارب في المصالح
由审稿人审阅	واستعرض بالمراجعين
设置最多论文数	تعيين الحد الأقصى لعدد من الأوراق
阅读论文	قراءة ورقة
拒收论文	الأوراق المرفوضة
是会议成员	الأعضاء في المؤتمر
由之打印硬拷贝邮件舱单	طباعة نسخة مطبوعة قوائم بريدية
修改后投标	تنقيح العطاء
有投标	العطاء
由管理人员指定	المحدد من قبل إدارة
由之启动虚拟会议	قبل بدء الجلسات الظاهري
运行论文分派工具	تشغيل أدوات إحالة ورقة
有兴趣冲突	تضارب في المصالح
由之录入详情	تفاصيل الدخول
由之拒收	برفضها
开始审稿投标	-البدء في استعراض العطاءات
打印硬拷贝邮件舱单	طباعة نسخة مطبوعة قوائم بريدية
录入审稿标准	إدخال معايير استعراض الأقران
撰写审稿意见	كتابة التعليقات
由之撰写	كتب بواسطة
合著	أول أكسيد الكربون-
有会议成员	أعضاء المؤتمر
由审稿人指定	المحدد بواسطة المراجع
录入会议详情	تسجيل تفاصيل الاجتماعات
论文分派定稿	توزيع الورقة النهائية
旅游	السفر
参加者	المشاركون
公司	الشركة
活动	الأنشطة
招待会	الاستقبال
城市	مدينة
报名注册活动	أنشطة التسجيل
科学工作者	عامل العلمية
宴会	اجتماعات ولائم
大学	كلية
管理活动	إدارة الأنشطة
助理	مساعد
学者	العلماء
学生	طالب
标准	القياسية
志愿者	المتطوعين
审稿活动	أنشطة استعراض الأقران
成员	الأعضاء
短论文	مقالة قصيرة
国家	البلد
投稿活动	أنشطة المساهمة
照相制版活动	الأنشطة فوتونجرافينج
社交活动	الأنشطة الاجتماعية
工作活动	أنشطة العمل
审稿结果活动	لاستعراض الأقران نتائج الأنشطة
有标题	العنوان
有简略标题	عنوان مختصر
结束于	في نهاية
有电子信箱	البريد الإلكتروني
有主页	الصفحة الرئيسية
场所	المكان
缺省项目	المشروع الافتراضي
有电话号码	رقم الهاتف
联系电子信箱	عنوان البريد الإلكتروني جهة الاتصال
有增值税	قيمة الضريبة المضافة
有邮编	الرمز البريدي
备注	وتلاحظ
最多选项	معظم خيارات
提前注册	التسجيل في وقت مبكر
有国家	الوطنية
审稿	المراجعين النظراء
有管理活动	إدارة الأنشطة
平行于	وبالتوازي مع
就学于	يدرسون في
受雇于	العاملين في
专家于	خبراء في
有传真号码	رقم فاكس
最少选项	خيارات الحد الأدنى
开始于	ويبدأ في
有街道名	اسم الشارع
有关键词	الكلمات الرئيسية
处理	تجهيز
有城市	مدينة
有主题	الموضوع
紧接着	بعد ذلك بوقت قصير
撰写	وكتب
接收投稿	الطلبات المستلمة
初稿	المسودة الأولى
鸡尾酒会	كوكتيل
旁听者	المراقبون
液晶投影机	جهاز عرض LCD
支票	تحقق
报告人城市	مدينة المتكلم
非作者注册费	رسوم تسجيل البلاغ عدم
不做报告的学者	بدلاً من تقرير للعلماء
货币	تحويل العملات
银行转帐	التحويل المصرفي
汽车	سيارات
学者演讲者	باحث متكلم
会议旅行者	اجتماع المسافر
分场会议主席的简短介绍	جلسات جانبية الرئيس مقدمة موجزة
信用卡	بطاقة الائتمان
作者信息表	ورقة معلومات الكاتب
附加税	ضرائب إضافية
学生演讲者	طالب رئيس
地点	الملعب
会议国家	المؤتمر الوطني
注册费	رسوم التسجيل
旅游城市	المدن السياحية
会议大楼	مبنى المؤتمرات
报告人	المتكلم
赞助者国家	الراعي الوطنية
作者与会者光盘注册费	مؤتمر نزع السلاح الكاتب تسجيل المشاركين
宾馆注册表	فندق التسجيل
讲座	محاضرة
宾馆预定截止日期	الموعد النهائي لحجز الفندق
技术委员会	اللجنة الفنية
单人间	غرفة مفردة
注册表	التسجيل
代表	نيابة عن
会议日期	مواعيد الاجتماعات
会议餐厅	المؤتمر لتناول الطعام
截稿日期	تاريخ الإغلاق
投影仪	جهاز الإسقاط
分场会议主席	رئيس جلسات جانبية
获得会记录光盘的作者	الحصول على كاتب القرص مضغوط-r
时间	الوقت
交通工具	النقل
介绍	مقدمة
出席记录	سجل الحضور
宾馆房间	غرفة في فندق
卡车	شاحنة
最后定稿	وضع الصيغة النهائية
研究	دراسة بشأن
时区	المنطقة الزمنية
班车	المكوك
透明度	الشفافية
税	الضرائب
付款文件	ملف الدفع
拒收投稿	الطلبات المرفوضة
技术活动	الأنشطة التقنية
注册截止日期	آخر موعد للتسجيل
报告人国家	البلدان المتكلم
会议宾馆	فنادق المؤتمر
单日报告人	المتكلم يوم واحد
注册	التسجيل
赞助者城市	مدينة مقدمي مشروع القرار
计算机	جهاز الكمبيوتر
幻灯片报告	تقرير الشريحة
会前活动	ما قبل
出租车	سيارة أجرة
会议录	وقائع المؤتمر
非报告人	عدم الناطقين
出版物	المنشورات
分场会议室	غرفة اجتماعات جانبية
获得会议录书的作者	الوصول إلى وقائع المؤتمر والمؤلف من
钱款	المال
离境税	ضريبة المغادرة
报告人的大学	مقدم الجامعة
全会讲座	المحاضرات العامة
住宾馆的报告人	متكلم الفندق
建筑物	بناء
会议录光盘	مؤتمر إجراءات مؤتمر نزع السلاح
酒电费	التعريفات النبيذ
作者与会者注册费	رسوم تسجيل البلاغ
不做报告的学生	الطلاب الذين لا يبلغون
演讲者	المتكلم
分场会议	جلسات جانبية
非iasted会员	الأعضاء إياستيد
赞助公司的房子	الشركات الراعية البيت
建模	النمذجة
非会员注册费	رسوم تسجيل الأعضاء عدم
会议活动	أنشطة المؤتمر
项目	المشروع
邀请信	رسالة دعوة
离开	يغادر
录用投稿	التوظيف-الترحيل
录用通知截止日期	مهلة الإخطار
赞助人	الراعي
会议日	يوم الاجتماع
主办事处	المكتب الرئيسي
模拟	المحاكاة
全会讲座演讲者	محاضرة عامة المتكلمين
会间休息	كسر دورة
会议大厅	قاعة المؤتمرات
欢迎致词	رسالة ترحيب من
全日游	جولة يوم كامل
额外旅行费用	تكاليف السفر الإضافية
旅游日	يوم السياحة
租赁	استئجار
晚宴	العشاء
报告人讲座	محاضرة المتكلم
会议城市	اجتماع المدن
会员注册费	رسوم تسجيل الأعضاء
视听设备	المعدات السمعية والبصرية
表格	الجدول
双人间	غرفة مزدوجة
视频报告	تقرير بالفيديو
iasted会员	الأعضاء إياستيد
邮件列表	القائمة البريدية
录像带播放器 	مشغل الفيديو 
讲演者介绍	مقدمة المتكلم
费用	التكاليف
小费	تلميح
截止日期	تاريخ الاستحقاق
教程主讲人	مقدم البرنامج التعليمي
报告人的房子	رئيس مجلس النواب
照相制版截止日期	الموعد النهائي فوتونجرافينج
卡	بطاقة
签证	فيزا
会后活动	الأنشطة بعد
会议机场	الاجتماع في مطار
赞助	رعاية
学生注册费	رسوم تسجيل الطلاب
举办于	المعقودة
发送	إرسال
之前举办	وعقد قبل
以之配备	مجهزة
准备	احصل على استعداد
写	الكتابة
之后举办	وبعد
由之写	كتب بواسطة
支付	الدفع
签名	التوقيع
需要	تحتاج إلى
用于	من أجل
由之组成	وتتألف من
为之设计	لتصميم
作报告于	وكما ورد في
由之参观	عن طريق زيارة
之后发送	أرسلت بعد
给	يعطي
由之签名	التوقيع عليها
由之准备	أعدها
占用	تناول
注明日期于	وحتى الآن في
截至	وكما في
有总计	إجمالي
由之给予	بإعطاء
由之发送	عن طريق إرسال
被用于	ستستخدم في
与之连接	الاتصال مع
由之支付	تدفعها
经过	بعد
支付于	دفع
为之支付	للدفع
位于	يقع في
由之占用	التي تحتلها
之前发送	قبل إرسال
获得	الوصول إلى
赞助费	رسوم الرعاية
sigmod成员注册费	رسوم تسجيل أعضاء سيجمود
宾馆	بيت الضيافة
全文截稿日期	النص الكامل للمواعيد النهائية
组织委员会	اللجنة التنظيمية
赞助者	مقدمي مشروع القرار
网站管理员	مسؤول موقع ويب
非成员注册费	رسوم تسجيل الأعضاء عدم
录用论文作者通知截止日期	الموعد النهائي لإعلام مقدم البلاغ ورقة العمالة
sigkdd成员注册费	رسوم تسجيل العضوية سيجكد
参展者	العارضين
计算机协会知识发现和数据挖掘会议	الكمبيوتر "المجتمع المعني" اكتشاف المعرفة والتنقيب عن البيانات
最佳论文奖委员会	اللجنة جائزة أفضل ورقة
最佳应用论文奖	جائزة لأفضل تطبيق ورقة
最佳研究论文奖	بجائزة أفضل ورقة بحثية
金牌纪赞助者	الذهب مقدمي جيمي
银牌级赞助者	الراعي المستوى الفضي
听众	الحضور
总办事处	رئيس مكتب
白金级赞助者	البلاتين مستوى مقدمي مشروع القرار
论文作者	الكتاب
最佳学生论文奖	بجائزة أفضل ورقة الطالب
最佳学生论文赞助者	أفضل مقدمي ورقة الطالب
学生论文作者	كتاب الطالب
组织委员会成员	أعضاء اللجنة التنظيمية
奖	جائزة
摘要截稿日期	الموعد النهائي مجردة
铜牌级赞助者	مقدمي المستوى البرونزي
会议名称	اسم الاجتماع
赞助者名称	اسم الراعي
会议结束日期	تاريخ نهاية الاجتماع
由之承办	استضافته
颁奖给	الجوائز إلى
可位于	يمكن أن يقع
制定	وضع
由之付费	الدفع بواسطة
由之寻找	التي تبحث عن
直到录用通知日期	حتى توجيه الإشعار بالقبول
价格	التكلفة
电子信件	ه-الرسائل
会议开始日期	تاريخ بدء المؤتمر
国籍	بلد الجنسية
由之作报告	حسب التقرير
承办	استضافة
付费	دفع
获奖	الحائز على جائزة
寻找	ابحث عن
投稿截止于	الموعد النهائي لتقديم ورقة في
获奖于	فوزه في الانتخابات الرئاسية
制定于	أنشئت في
