документ	document
национальность	de nationaliteit van de
цена	prijs
отправить до	verzenden
оплачивается	wordt betaald
начало конференции	begin van de conferentie
кем разработан	Wie ontwierp
название конференции	Conference titel
окончание конференции	einde van de conferentie
имя спонсора	naam van sponsor
поиск	Zoeken
отправить	Verzenden
кем найден	iedereen gevonden
уведомляет до	deelt de
кем награждён	die toegekend
поддерживается	ondersteund
платит	betaalt
может остановиться в	kan blijven in
поддерживает	ondersteunt
презентуется	wordt gepresenteerd
дизайн	ontwerp
hiker	wandelaar
