ملخص البحث	Resumo da pesquisa
sigmod رسوم التسجيل لأعضاء	SIGMOD taxas de inscrição para membros
المسؤول عن الموقع	Webmaster
عضو اللجنة التحضيرية	Membro da Comissão preparatória
الراعي لأفضل بحث طالب	Patrocinador do melhor aluno de pesquisa
رسوم التسجيل لطالب	Taxa de inscrição para estudantes
المؤتمر acm sigkdd	ACM sigkdd conferência
رسوم المؤتمر	Taxas de conferência
مراجع الحسابات المؤتمر	Conferência de auditor
المحاضر المدعو	Registros de convidado
الراعى الفضى للمؤتمر	Patrocinador prata da conferência
كاتب	Escritora
رسوم الرعاة	Patrocinadores honorários
آخر موعد للإخطار الباحثين	O prazo para a notificação dos investigadores
مستمع المؤتمر	Uma conferência
مدير المؤتمر	Gerente de conferência
لجان المؤتمر	Comissões da conferência
الراعي الذهبي للمؤتمر	Patrocinador ouro da conferência
 آخر موعد لإرسال البحوث 	 O prazo para apresentação de pesquisa 
جائزة لأفضل مقالة بحث	Prêmio para a melhor pesquisa de artigo
الرعاة	Pastores
جائزة أفضل بحث لطالب	Prêmio de pesquisa do aluno
كاتب البحث	Pesquisar autor
لديه اسم المؤتمر	Tem o nome da conferência
مؤرخ على	Com data de
لديه الجنسية	Tem sexo
رسوم التسجيل هي بالعملة	A taxa de inscrição é em moeda
مؤتمر عقد في مدينة	Uma conferência realizada na cidade
يمكن البقاء في	Você pode ficar no
التي تمنحها	Concedido pela
رسوم التسجيل المدفوعة من قبل	Taxas de inscrição pagas pelos
دفع رسوم التسجيل	Pagamento de taxas de inscrição
قد قدم من جانب	Foi apresentado por
إرسال البحث	Enviar pesquisa
آخر موعد المحدد من اجل	O prazo especificado para
موعد أول يوم من المؤتمر	A data do primeiro dia da conferência
لديه السعر	Tem um preço
لديه اسم الراعي	Tem o nome do patrocinador
موعد اليوم الأخير من المؤتمر	Data do último dia da conferência
تنظيم المؤتمر	A organização da conferência
مؤتمر منظم من قبل	Conferência organizada pela
لديه جائزة	Tem o prêmio
الدعوة من اجل الراعي	Chamada para o patrocinador
جائزة متحصل عليها	Prêmio aquisição
لديه آخر موعد لإرسال	Tem o prazo para apresentação
الرعاة مدعوين من قبل	Convidado pelos patrocinadores
تحديد آخر موعد	Especificar a data da última
 تحديد آخر موعد	 Especificar a data da última
 يقدم الوثيقة	 Apresentar um documento
يقدم الوثيقة	Apresentar um documento
