документ	Dokument
неакадемчический этап	Neakademčičeskij Bühne
производственная организация	Fertigungsorganisation
тема криптография	das Thema der Kryptographie
рецензионный вопрос	Frage zu überprüfen
государственная организация	Staatliche Organisation
этап перерыв	Phase-Pause
слайды	Folien
докладчик	Berichterstatter
персональная история	persönliche Geschichte
активная статья	ein aktiver Artikel
тема передача по линиям электропередач	Powerline-Übertragung-Thema
тема просто тест	Thema ist nur ein test
программа	Programm
конференц-ужин	Konferenz-dinner
светский раут	Rout
тема спутниковая и космическая связь	das Thema Raum und Satelliten-Kommunikation
тема управление компьютерными сетями	Sie haben gelesen, dass das Thema Verwalten von Computernetzwerken
оценка принять при условии	Bewertung Thema
тема приложени компьютерных сетей	das Thema der Anwendungen von Computer-Netzwerken
двухуровневая конференция	zwei-Ebenen-Konferenz
темаcad	temacad
персональная история рецензирования	persönliche Geschichte des Peer-review
отозванная статья	genommenen Artikel
тема промышленные компьютерные сети	das Thema der industriellen Computer-Netzwerk
место проведения обеда	Lage von Essen
тема компьютерные сети	das Thema von Computer-Netzwerken
этап докладывания	Phase, perfekte Berichterstattung
приглашение принять участие в рецензировании	Einladung zur Teilnahme an der Überprüfung
тема мультимедиа	Thema multimedia
секция конференции	Abschnitt Konferenz
принятая статья	angenommenen Artikel
одноуровневая конференция	monistisches Konferenz
перерыв на кофе	Kaffeepause
этап конференции	Phase der Konferenz
текстовый вопрос рецензирования	Text Frage basierte Bewertung
контактная информация	Kontaktinformationen
тема медицина	das Thema der Medizin
численный рецензионный вопрос	die numerische Bewertung-Frage
тема беспроводная связь	das Thema der drahtlosen Kommunikation
тема оптические компьютерные сети	das Thema der optischen Netzwerken
академический этап	akademischen phase
место	Ort
свободный перерыв	Kostenlose break
статья ожидающая решения	Artikel bis zu Entscheidung
оценка принять	Ergebnis zu
тема параллельные и распределённые вычисления	das Thema des parallelen und verteilten Rechnens
тема теория коммуникаций	das Thema der Kommunikationstheorie
приглашение	Einladung
этап питания	die Leistungsstufe
оцененные статьи	bewertet Artikel
тема измерения в компьютерных сетях	das Thema der Messung in Computer-Netzwerken
меню	Menü
бланк рецензирования	Formulare überprüfen
тема архитектура компьютера	das Thema der Rechnerarchitektur
вступительное слово	ein Vorwort
тема безопасность компьютерных сетей	das Thema des Computer-Netzwerk-Sicherheit
тема производительность	das Thema der Leistung
отклонённая статья	Gebrauchte Artikel
тема обработка сигналов	das Thema der Verarbeitung von Signalen
приглашение к публикации манускриптов	Einladung, Manuskripte zu veröffentlichen
персональная история статьи	persönliche Geschichte Artikel
перерыв на питание	eine Pause für Lebensmittel
место проживания	Wohnort
организационное собрание	Willkommenstreffen
оценка отклонить	Bewertung der ablehnen
доклад по статье	der Bericht über die Artikel
место проведения конференции	Ort der Konferenz
тема мобильные вычисления	das Thema mobile Computing
председатель секции	Leiter der Abteilung
спонсорство	Sponsoring
оценка рецензирования	Ergebnis der Überprüfung
тема микроэлектроника	das Thema der Mikroelektronik
тема антенны	Theme zum download
инициируется	wird eingeleitet
кем предоставлена	die gegeben
дата и время начала	Startdatum und Uhrzeit
история рецензирования	Geschichte-Bewertung
инициирует	initiiert
относится к этапу	bezieht sich auf die Stufe der
относится к	bezieht sich auf die
отностится к статье	Genießen Sie den Artikel
является местом проведения	ist die Website von der
связанная статья	in Verbindung stehende Artikel
регистрация до	Anmeldung zum
статья до	Artikel zu
последняя дата подачи заявки	Frist anwenden
дата и время окончания	End-Datum und Uhrzeit
манускрипт до	Manuskript
валюта	Währung
сумма	die Höhe der
правила подачи заявки	Regeln für die Anwendung
биография	Biografie
посетитель	Besucher
принадлежит этапу	gehört auf die Bühne
для этапа	für phase
кем написана	Was geschrieben steht
кем рецензируется	Wer unterliegt einer
связанный документ	das verknüpfte Dokument
предоставляет	bietet
объявление	AD
оценка	Partitur
конференц-банкет	Konferenz-und Veranstaltungsräume
автор статьи	der Autor des Artikels
председатель оргкомитета	Vorsitzender des Organisationskomitees
закреплённая статья	welche Artikel
полная статья	ganzen Artikel
секция демонстраций	Abschnitt Demonstrationen
поданая статья	Podanaâ Artikel
председатель демонстраций	Vorsitzender der Demonstrationen
индивидуальная презентация	Private Präsentation
научная тема	Das wissenschaftliche Thema
положительная рецензия	positive Bilanz
поздно зарегистрированный участник	späten registriertes Mitglied
демонстрационная статья	Demo-Artikel
академический институт	Akademische Institute
производственная секция	Produktionsabschnittes
рекламный листок	Flyer
организационнное агенство	Organizacionnnoe Agentur
производственная статья	Fertigung-Artikel
сборник трудов	Verfahren
член научного совета	Mitglied des wissenschaftlichen Beirats
светское мероприятие	eine weltliche Veranstaltung
издатель сборника трудов	Verlag Buch arbeitet
научное мероприятие	wissenschaftliche Veranstaltung
нейтральная рецензия	neutrale Bewertung
мероприятие	Ereignis
экскурсия конференции	Tour der Konferenz
часть	Teil
секция полных статей	Abschnitt des vollständigen Artikel
член агенства	Mitglied Agenturen
веб-сайт	Website
аннотация к обучающему курсу	Abstract für die Schulung
университет	Universität
статья в окончательной версии	Artikel in Endversion
доклад	Bericht
статья конференции	Artikel-Konferenz
председатель семинаров	Vorsitzender des Seminars
статья на семинаре	Artikel auf dem seminar
стендовая статья	Poster-Abschnitt
выпуск с несколькими составителями	Problem mit mehreren Autoren
отрицательная рецензия	negative Bewertung
досрочно зарегистрированный участник	Frühe registrierte Teilnehmer
обработанная статья	behandelten Artikel
потенциальный рецензент	mögliche Bearbeiter
член оргкомитета	Mitglied des Organisationskomitees
секция семинаров	Abschnitt Werkstätten
программный буклет	Programmbuch
секция стендов	Abschnitt der Stände
научно-исследовательский институт	Wissenschaftlichen Forschungsinstitut
аннотация к приглашённому докладу	Abstract für Priglašënnomu Bericht
председатель обучающих курсов	der Vorsitzende des Trainings
статья в выпуске	Artikel in dieser Ausgabe
кем организован	Wer organisiert
обновлённая версия	die aktualisierte version
мероприятие в списке	das Ereignis in der Liste
содержит ссылку в	enthält einen Verweis auf die
организует	organisiert
научно организовывает	die wissenschaftlichen und organisieren
инверсия часть 7	"Umkehren" Teil 7
мероприятние	meropriâtnie
презентация статьи	Präsentation von Artikeln
кем научно организовано	Was wissenschaftliche und organisiert
выпуск содержит статью	Ausgabe enthält einen Artikel
рецензия на статью	Buch-Review-Artikel
технически организовано	technisch organisiert
часть мероприятия	Teil der Veranstaltung
список мероприятий	eine Liste der Ereignisse
адресует тему	Adressen zum Thema
ссылается	Referenzen
рецензия написана	Rezension geschrieben von
технически организовывает	technisch organisiert
статья представленная как	Artikel, die als
рецензент статьи	Bearbeiter von Artikeln
город спонсора	Stadt-sponsor
микроавтобус	Kleinbus
чаевые	Tipp
доклад докладчика	Bericht des Berichterstatters
член iasted	IASTED Mitglied
список рассылки	Mailing-Liste
пригласительное письмо	Einladungsschreiben
транспортное средство	Fahrzeug
ресторан конференции	Restaurant-Konferenz
докладчик пленарного доклада	der Berichterstatter des Plenum Berichts
принятие манускрипта	Annahme des Manuskripts
спонсор	Sponsor
автор, книга сборника трудов включены	der Autor, das Buch ist ein Kompendium der Werke aufgenommen
докладчик обучающего курса	Berichterstatter des Kurses
чек	Überprüfen
налог на отправление	Steuerverwaltung
видео презентация	Video-Präsentation
часовой пояс	TimeZone
податель в гостинице	Geber im hotel
карта	Karte
дневной тур	Nachmittagstour
коктейль-вечеринка	Cocktail-party
ужин-банкет	Abendessen-Bankett
гостиничный регистрационный бланк	Hotel-Anmeldeformular
вступление	Eintrag
страна конференции	Land Konferenz
город экскурсии	Stadtrundfahrten
предмет	Ansicht
регистрация	Registrierung
последний срок	die Frist für die
аэропорт конференции	Airport Conference
студент-докладчик	Schüler-reporter
мероприятие до конференции	Ereignis-Konferenz
деньги	Geld
форма	Formular
регистрационный взнос	Anmeldegebühr
гостиничный номер	Hotelzimmer
регистрационный взнос автор, участник, книга	Anmeldegebühr, Buchautor, Mitwirkende/r
получение манускрипта	Erhalt des Manuskripts
представление докладчика	Präsentationsansicht
даты конференции	Termine der Konferenz
студент-не докладчик	der Student ist nicht der Berichterstatter
пленарный доклад	Plenum Bericht
презентация powerpoint	PowerPoint-Präsentation
потолочный проектор	Decke Projektor
welcome address	Grußwort
дом докладчика	Haus-Lautsprecher
работник-не докладчик	der Mitarbeiter ist nicht der Berichterstatter
информационная форма об авторе	Informationsanfrage über den Autor
главный оффис	Hauptbüro
первоначальный манускрипт	das Originalmanuskript
автор, диск сборника трудов включёны	der Autor, eine Scheibe von Werke
делегат	Delegieren
cтрана спонсора	Land-sponsor
банковский перевод	Banküberweisung
подача	Feed
налог	Steuer
мероприятие после конференции	Ereignis nach der Konferenz
город конференции	City-Konferenz
сертификат участия	Bescheinigung über die Teilnahme
кредитная карта	Kreditkarte
kонференц-зал	Konferenzraum
не авторский регистрационный взнос	Keine Anmeldegebühr Autor
виза	Visum
день экскурсии	Tagesausflüge
студенческий регистрационный взнос	Die Teilnahmegebühr für Studenten
гостиничный взнос	Hotel Gebühr
регистрационный бланк	Anmeldeformular
комната секции	Raumteiler
последний срок уведомления о принятии	die Frist für die Mitteilung der Annahme
документ об оплате	Nachweis über die Zahlung
слушатель	Listener
здание	Gebäude
технический комитет	der technische Ausschuss
прокат	Vermietung
моделирование	Modellierung
налого на добавленную стоимость	Mehrwert Steuer
последний срок подачи	die Frist für die Antragstellung
прозрачность	Transparenz
дом  спонсорской компании	Haus-Sponsor-Unternehmen
техническое мероприятие	Technische Veranstaltung
отклонение манускрипта	Ablehnung des Manuskripts
не членский регистрационный взнос	Kein Mitgliedsbeitrag
не доскладчик	nicht doskladčik
страна докладчика	der Land-Berichterstatter
последний срок окончательной версии манускрипта	Frist für die Endfassung des Manuskripts
светская программа	weltlichen Programm
аудиовизуальное оборудование	Audiovisuelle Ausstattung
публикация	Veröffentlichung
conference hiker	Konferenz-Wanderer
последний срок бронирования гостиницы	Hotel Reservierung Termin
автомобиль	Auto
мероприятие конференции	Ereignis Konferenz
регистрационный взнос aвтор, участник	Autor Anmeldegebühr, die Aussteller
один день конференции	eintägige Konferenz
симуляция	Simulation
работник-докладчик	Arbeitnehmer-Berichterstatter
здание конференции	Building Conference
время	Zeit
исследование	Studie
краткое вступление председателя секции	eine kurze Einführung des Abschnitts
взнос	Beitrag
один день докладчик	eines Tages er
университет докладчика	Universität von Berichterstatter
отправление	die Verwaltung des
книга сборника трудов	Die Buchsammlung von Werken
пригородный автобус	s-bus
город докладчика	Stadt-reporter
не член iasted	noch kein Mitglied bei der IEEE
житкокристаллический проектор	Žitkokristalličeskij Projektor
окончательный манускрипт	das endgültige Manuskript
диск сборника трудов	CD-Compilation von Werken
одноместный гостиничный номер	Hotel-Einzelzimmer
гостиница конференции	Hotel Konferenz
проигрыватель видео кассет	Video Cassette-player
последний срок регистрации	Anmeldeschluss
такси	Taxi
компьютер	Computer
взнос за дополнительную поездку	Gebühr für zusätzliche Reise
членский регистрационный взнос	Mitgliedschaft-Anmeldegebühr
двуспальный гостиничный номер	Doppelzimmer hotel
кем посылается	wem
занимает	nimmt
связан с	zugeordnet ist
используется	verwendet
до	bis zu
запланировано на	geplant für
кем подписывается	Wer abonniert
присутствует во время	während der
получает	Ruft die
производится из	hergestellt aus
происходить после	nach dem Auftreten der
посылает	sendet
кем оплачивается	Wer bezahlt ist
чем оплачивается	als bezahlt
кем пишется	Was geschrieben steht
оборудован	Funktionen
оплачивает	zahlt
кем посещается	besucht
требуется для	ist erforderlich für
используется для	wird verwendet, um
даёт	gibt
кем используется	Wer benutzt
готовит	bereitet
кем готовится	Wer bereitet
находится в	ist in
кем представлен	präsentiert von
докладывает в	Bericht in der
где оплачивается	wo zahlbar
кому представлен	Wer eingereicht
чем занимается	Was bedeutet
происходить до	treten vor
за что оплачивается	Was ist bezahlt
посылается после	gesendet, nachdem die
пристутствует в	Pristutstvuet in
разработан для	konzipiert für
происходит в	tritt in
посылается до	wird gesendet, um die
подписывает	Zeichen
требует	erfordert
вебмастер	Webmaster
конференц-зал	Konferenzsaal
регистрация sigkdd членов	SIGKDD Mitgliedschaft Anmeldung
награда	Award
платиновый спонсор	Platin-sponsor
награда за лучшую научную статью	Award für die beste Forschungsarbeit
регистрация не членов	Registrierung von Angehörigen der
последний срок уведомления авторов	die Frist für die Benachrichtigung der Autoren
автор статьи студент	der Autor des Artikels der Schüler
программный председатель	Programm-Stuhl
награда за лучшую студенческую статью	Auszeichnung für beste Studentenzeitung
программный комитет	Programmkomitee
комитет по наградам за лучшую статью	Ausschuss für Auszeichnungen für die besten Artikel
бронзовый спонсор	Bronze Sponsor
регистация студентов	Registrierung von Studenten
член организационного комитета	Mitglied des Organisationskomitees
регистрация sigmod членов	SIGMOD Mitglieder Registrierung
последний срок подачи статей	die Frist für die Einreichung von Artikeln
acm sigkdd	ACM sigkdd
награда за лучшую прикладную статью	Award für besten angewandte Aufsatz
спонсорский взнос	Sponsoring-Gebühr
последний срок подачи аннотаций	die Frist für die Einreichung von abstracts
спонсор награды за лучшую студенческую статью	Sponsor für best Student Paper award
золотой спонсор	Gold-sponsor
серебрянный спонсор	Silber sponsor
комитет	Ausschuss
гостиница	Hotel
экспонент	Aussteller
национальность	die Staatsangehörigkeit der
цена	Preis
отправить до	Senden Sie an
оплачивается	wird bezahlt
начало конференции	Beginn der Konferenz
кем разработан	Wen entwickelt
название конференции	Konferenz-Titel
окончание конференции	Ende der Konferenz
имя спонсора	Name des Sponsors
поиск	Suche
отправить	Senden
кем найден	jemand gefunden
уведомляет до	unterrichten die
кем награждён	Wer vergeben
поддерживается	unterstützt
платит	zahlt
может остановиться в	ausgestattet
поддерживает	unterstützt
презентуется	wird vorgestellt
дизайн	Design
hiker	Wanderer
