Util_x,Network_x,Interpreter_x,Error Handling_x,Lang_x,i18n_x,Setup_x,Logic_x,IO_x,Security_x,Event Handling_x,App_x,Author,prNumber,Util_y,Network_y,Interpreter_y,Error Handling_y,Lang_y,i18n_y,Setup_y,Logic_y,IO_y,Security_y,Event Handling_y,App_y
1,0,0,1,0,1,0,1,0,0,0,1,Urs Metz, 344,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,0,1,1,0,0,1,1,Vineet Kumar, 376 377,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,0,0,1,1,0,0,1,1,Federico Fissore, 1733 1799 995,1,1,0,1,0,1,1,1,1,0,1,1
1,0,0,0,0,1,0,1,0,0,0,0,Arend v. Reinersdorff, 1745 1092,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,0,0,Vladislav, 1125,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,0,1,0,0,1,1,Dimos Raptis, 896,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,0,1,1,0,0,0,1,Marcin Grzejszczak, 29 30 56 59,1,0,0,1,0,1,0,1,1,0,1,1
1,0,0,1,0,1,0,1,0,0,1,1,Philip P. Moltmann, 1307 1320 1339,1,1,0,0,0,1,0,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,Dmitry Timofeev, 1324,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,Bruno Bonanno, 1665,1,0,0,0,0,1,0,1,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,Ben Yu, 293 942 1157,1,1,0,1,0,0,1,1,1,0,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Dominik Stadler, 1781,1,0,0,0,0,0,0,1,0,0,0,1
1,1,0,1,0,0,1,1,0,0,1,1,Stuart Blair, 953,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Kurt Alfred Kluever, 1818,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,0,0,Christoph Wagner, 1720,0,0,0,1,0,0,0,1,0,0,0,1
1,1,1,1,0,1,1,1,1,0,1,1,Brice Dutheil, 1624 5 24 103 202 234 235 238 239 240 280 495 496 510 528 560 592 617 646 693 711 734 747 748 771 803 811 819 821 826 827 830 839 868 885 897 905,1,1,0,1,1,1,1,1,1,0,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Ravi van Rooijen, 1567,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Marcin Mikołajczyk, 1895 1896,1,0,0,1,1,1,0,1,1,0,0,1
1,0,0,1,0,1,1,1,0,0,0,1,Tim Cooke, 1091,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,0,0,1,0,0,0,1,Shyam Sundar J, 1893,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,0,1,David Genesis Geniza Cruz, 1714,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,0,0,1,0,0,0,0,Robert Stupp, 1426,1,1,0,1,0,1,0,1,0,1,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Pascal Schumacher, 382 441 442 446 452 455 456 458 459 460 464 467 468 469 479 498 501 502 503 504 512 513 514 515 516 519 523 572 573 574 578 579 587,1,1,0,1,1,1,1,1,1,0,1,1
1,1,0,1,0,1,1,1,1,0,0,1,Christian Schwarz, 1221 144 373 404 427 431 432 451 476 486 490 535 540 547 550 590 591 635 704 775 776 777 778 779 907 908 914 933 1076 1162,1,1,0,1,1,1,1,1,1,0,1,1
1,1,0,1,0,0,1,1,0,0,0,1,Evgeny Astafyev, 317,1,0,0,1,0,1,1,1,1,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,Frank Pavageau, 1718,1,1,0,1,0,1,0,1,0,1,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Piotrek Żygieło, 2158,0,0,0,1,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,David Xia, 532,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,0,0,Shaun Abram, 309,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,1,1,0,0,0,1,TDurak, 1387,1,0,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Jeffrey Falgout, 549 615,1,1,1,1,0,1,0,1,1,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,Przemyslaw Bielicki, 142,1,0,0,0,0,1,0,1,1,0,0,0
1,1,0,1,0,1,1,1,1,0,1,1,Allon Murienik, 1231 880 881 923 926 928 935 959 980 1009 1022 1023 1025 1040 1096 1118 1137 1199 1201 1209 1213,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,1,0,1,0,0,0,1,Allan Wang, 1484,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Hugh Hamill, 87,0,0,0,0,0,1,0,1,0,0,0,0
1,1,0,1,0,1,0,1,0,0,0,1,Tim Perry, 14 15,1,0,0,1,0,1,0,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,0,0,Artem Prigoda, 1953,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,Kayvan Najafzadeh, 1407,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,0,0,0,0,1,0,0,0,1,Alberto Scotto, 419,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0,Kamil Szymański, 36 37,1,1,0,1,0,1,0,1,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,Lukasz Szewc, 207 211 294 600 619,1,1,0,1,0,1,1,1,1,0,1,1
1,0,0,1,0,0,0,1,0,0,1,0,Max Zhu, 1809,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,1,1,0,0,1,1,Kengo TODA, 1404,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,0,0,1,0,0,0,1,Ismaël Mejía, 2279,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,1,Paweł Pamuła, 1639,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Jakob Jónasson, 831,1,0,0,1,0,1,0,1,0,0,1,1
1,0,0,1,0,0,0,1,0,0,0,0,Ahmad M, 1994,1,0,0,1,0,1,0,1,0,0,0,1
1,0,0,1,0,0,0,1,0,0,1,0,Dr. Thomas Tautenhahn, 1795,1,0,0,1,0,1,1,1,1,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Jesse Englert, 972,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,1,1,1,0,0,0,1,Bastien Jansen, 1521,1,1,0,1,0,0,1,1,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,0,Niklas Baudy, 1280,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,Gábor Lipták, 2135,1,0,0,1,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Gaëtan Muller, 705,0,0,0,1,0,1,0,1,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,Michal Kordas, 221 222 314,1,0,0,1,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Max Grabenhorst, 1544,1,0,0,0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,Deleted user, 1214,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Joseph Walton, 176,1,0,0,1,0,1,0,1,0,0,0,0
1,1,0,1,0,0,1,1,0,0,1,1,Jakub Vrána, 1706,1,1,0,1,0,0,1,1,0,0,1,1
1,1,0,1,0,0,0,1,0,0,1,1,Dennis Cheung, 1146,1,0,0,1,0,1,0,0,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Daniel Kroening, 2145,1,1,0,1,0,0,1,1,0,0,1,1
1,1,0,1,0,0,1,1,0,0,1,1,Krzysztof Wolny, 413 475,1,1,0,1,0,0,1,1,0,0,1,1
1,1,0,1,0,1,1,1,1,0,1,1,Szczepan Faber, 1272 1282 1310 1425 1429 1433 1452 1474 1475 1523 1543 1549 1552 1783 1788 1789 1806 499 507 555 568 569 623 626 628 683 698 724 735 754 795 807 842 843 854 858 865 1018 1121 1192 1203,1,1,1,1,0,1,1,1,1,1,1,1
1,1,0,1,0,0,1,1,0,0,1,1,Stefan Bohn, 2179,0,0,0,1,0,0,0,1,0,0,0,1
1,1,0,1,0,0,1,1,0,0,0,1,Matthew Ouyang, 1596,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,0,0,1,0,1,0,0,0,1,Nikolas Falco, 1585,1,1,1,1,0,1,0,1,1,0,0,0
1,0,0,1,0,0,0,1,0,0,0,1,Carlos Aguayo, 261 264,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,0,0,1,0,1,0,0,0,1,Philipp Jardas, 429,1,0,0,0,0,1,0,1,1,0,0,1
1,0,0,1,0,1,1,1,0,0,0,1,Xu Tan, 1619,1,1,1,1,0,1,1,1,1,0,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Stephan Schroevers, 1270 1693 782 783,1,1,1,1,0,1,1,1,1,0,1,1
1,0,0,1,0,0,0,1,0,0,0,1,Michael Pinnegar, 424,1,1,0,1,0,0,1,1,0,0,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Andrew Ash, 1739,1,0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,1,0,0,0,0,Myrle Krantz, 1119,1,0,0,1,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,Vinicius Scheidegger, 1938,1,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Tom Ball, 1715 306,1,1,0,1,0,1,0,1,1,0,0,1
1,0,0,1,0,0,0,1,0,0,0,1,Ivan Vershinin, 41,0,0,0,1,0,1,0,1,1,0,0,0
1,0,0,1,0,1,0,1,0,0,1,1,Marcin Zajączkowski, 252 861 1007 1008 1122 1202,1,1,1,1,0,1,0,1,1,0,1,1
1,0,0,0,0,1,0,1,0,0,0,0,Stefano Cordio, 1868,1,0,0,1,0,1,1,1,0,0,1,1
1,1,0,1,0,1,1,1,1,0,1,1,Rafael Winterhalter, 1257 1258 1355 1368 1369 1377 1378 1582 270 1955 1968 1971 1974 1989 1996 470 2003 2004 2006 2013 2017 2018 2020 2021 2023 2034 2042 2046 2051 2098 2194 648 2283 805 823 864 875 891 893 902 920 1012 1090 1128 1136 1181 1186 1216 1217,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,0,1,0,1,0,0,0,1,Ivo Šmíd, 1430,1,1,0,1,0,1,1,1,0,0,0,1
1,0,0,1,0,1,0,1,0,0,0,1,Ross Black, 113,0,0,0,0,0,1,0,1,1,0,0,1
1,0,0,1,0,0,0,1,0,0,1,1,Guillermo Pascual, 1773,0,0,0,1,0,0,0,1,0,0,0,0
1,1,0,1,0,1,1,1,0,0,1,1,Per Lundberg, 1670 1991 2175,1,1,0,1,0,0,1,1,1,0,1,1
0,0,0,1,0,0,0,1,0,0,0,0,Jean-Michel Leclercq, 1881,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Erhard Pointl, 1951 1058 1060 1075,1,1,0,1,1,1,1,1,1,0,1,1
1,1,0,1,0,0,1,1,0,0,1,1,Fabian Mendez, 1854,1,0,0,1,0,1,1,0,0,0,0,0
1,0,0,1,0,1,0,1,0,0,0,1,Gunnar Wagenknecht, 65,1,0,0,0,0,1,0,1,1,0,0,1
